h,coef,se,pvalor,ci_low_90,ci_high_90,ci_low_95,ci_high_95
0,0.11449023990021909,0.03374456993027053,0.0006916968486634554,0.05898042236492407,0.1700000574355141,0.04835088283688885,0.18062959696354933
1,0.16610999380875618,0.05636069410644023,0.0032059662395100105,0.07339665200366201,0.25882333561385035,0.055643033360133334,0.27657695425737905
2,0.14948662623765943,0.08530098207688518,0.07969460681062367,0.009166510721183324,0.28980674175413557,-0.01770329863303552,0.31667655110835435
3,0.1048687815500856,0.09819235002752025,0.2855234899196767,-0.056657634245185204,0.2663951973453564,-0.08758822450385408,0.2973257876040253
4,0.02342606077408739,0.10228082334456999,0.8188404029331424,-0.14482589362773024,0.19167801517590505,-0.1770443529812698,0.22389647452944456
5,-0.01501500098567262,0.12510210096145896,0.9044657418291866,-0.22080795706727263,0.19077795509592738,-0.26021511887013216,0.23018511689878693
6,-0.0439170825518129,0.1571717418697637,0.7799217703037994,-0.3024645979275742,0.21463043282394842,-0.35197369661654976,0.264139531512924
7,-0.06415986631580346,0.1655284627512992,0.6983074448036588,-0.33645418754169065,0.20813445491008375,-0.3885956533083499,0.260275920676743
8,-0.018337927611826146,0.1663560448889889,0.9122245833463756,-0.29199362145421287,0.2553177662305606,-0.34439577559424434,0.3077199203705921
9,-0.030884231668194553,0.173227679514678,0.8584976404730966,-0.31584376446983986,0.2540753011334508,-0.3704104835169634,0.3086420201805743
10,0.020590918466816377,0.18842643285425661,0.9129817651355671,-0.28937056357843577,0.3305524005120685,-0.3487248899275266,0.38990672686115935
11,0.0036247222141481874,0.1908725148313756,0.984848860647987,-0.3103605646834647,0.317610009111761,-0.370485406855348,0.3777348512836443
12,0.013695040660530773,0.1688514951352966,0.9353568473227483,-0.26406566883703214,0.2914557501580937,-0.3172538898046505,0.3446439711257121
