h,coef,se,pvalor,ci_low_90,ci_high_90,ci_low_95,ci_high_95
0,0.2690336359228022,0.011094766864565175,6.824848441969226e-130,0.2507827444305925,0.2872845274150119,0.24728789286825448,0.29077937897734996
1,0.3968413980855253,0.031227833866129914,5.342416891392395e-37,0.3454716113757416,0.448211184795309,0.3356348437079107,0.45804795246313995
2,0.43667315862971545,0.056216366494108425,7.990962307916926e-15,0.3441972357469071,0.5291490815125238,0.32648908030126295,0.5468572369581679
3,0.4341106531954104,0.06347384235962966,7.963357133668306e-12,0.3296961825138196,0.5385251238770012,0.30970192217053627,0.5585193842202846
4,0.44507938514247875,0.0653646550980313,9.815991438119615e-12,0.3375545275062173,0.5526042427787402,0.3169646611503374,0.5731941091346201
5,0.45649088535130844,0.07492246624526533,1.1092227058247993e-09,0.333243428377847,0.57973834232477,0.3096428515105884,0.6033389191920284
6,0.46433386872085114,0.0779290312564593,2.5468886508306515e-09,0.3361406123039756,0.5925271251377267,0.31159296745819093,0.6170747699835113
7,0.47751856025504597,0.07333140355838384,7.426143608222452e-11,0.3568884014015046,0.5981487191085874,0.3337890092806136,0.6212481112294783
8,0.455676487318009,0.07329948513915015,5.079142810542341e-10,0.335098834264107,0.576254140371911,0.31200949644527476,0.5993434781907433
9,0.4573171985489257,0.08006199043048193,1.1163060452354742e-08,0.32561522429078293,0.5890191728070685,0.3003956973051811,0.6142386997926703
10,0.48823033626392726,0.08516489030623232,9.880625619832753e-09,0.34813409171017506,0.6283265808176794,0.3213071512637119,0.6551535212641426
11,0.457537307185856,0.0788435913831158,6.509963316660241e-09,0.3278395993606305,0.5872350150110814,0.30300386807494906,0.612070746296763
12,0.4121924628660167,0.07851039408179429,1.5196366318034082e-07,0.2830428646014651,0.5413420611305683,0.2583120904656999,0.5660728352663335
