h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.068691901581052,0.031284316657991224,2.195729647286556,0.02811129982010553,0.017229200678656437,0.12015460248344756,269
1,0.13203225677299346,0.04378936612618279,3.015167115973574,0.0025683769868458787,0.059998749495422776,0.20406576405056415,268
2,0.12584776118350421,0.05986126386697964,2.102323824354195,0.03552491898423922,0.0273759821223227,0.22431954024468573,267
3,0.12790200229647625,0.07426096268545172,1.722331594841191,0.08500946744606494,0.00574271867890816,0.2500612859140443,266
4,0.1050420138272268,0.08770146741919434,1.1977224203689585,0.23102509796367388,-0.03922690007734789,0.2493109277318015,265
5,0.1494609109914177,0.10373483738893244,1.4407976602020858,0.14964185468208197,-0.021182896513376154,0.3201047184962116,264
6,0.13093266482419108,0.12514387075688663,1.0462571121725184,0.29544234077875087,-0.07492900257088742,0.3367943322192696,263
7,0.11445339447513223,0.12801781190657582,0.8940427333553977,0.37129902743898324,-0.096135906111185,0.32504269506144945,262
8,0.09868712871590801,0.1358933785596552,0.7262099872848905,0.4677100503091768,-0.12485747901472477,0.3222317364465408,261
9,0.07801870013886847,0.13524727222301236,0.5768596945173254,0.5640342400972707,-0.14446306266798686,0.3005004629457238,260
10,0.1152081084414579,0.14615193061665638,0.7882763365175012,0.4305350860053503,-0.12521181742294185,0.35562803430585765,259
11,0.14130805946396177,0.15257079971960932,0.9261802371335411,0.3543523212442775,-0.10967090607479554,0.39228702500271906,258
12,0.12733349927586823,0.15238363624949175,0.8356113714689817,0.40337356940083047,-0.12333758235454567,0.37800458090628214,257
13,0.15301065002552774,0.1553246667561503,0.9851020653773208,0.32457393896810083,-0.10249842678833951,0.40851972683939497,256
14,0.13478291680364662,0.14894472220537372,0.9049190519003422,0.36550827300091426,-0.11023115122419314,0.3797969848314864,255
15,0.14784508043878558,0.15277389663374852,0.9677378380497881,0.33317531582393656,-0.10346797952373071,0.3991581404013019,254
16,0.0898669528519914,0.14692611401073735,0.6116472449916148,0.5407711726505209,-0.15182650469567155,0.33156041039965434,253
17,0.0533809736686886,0.14372530398309152,0.3714097113683515,0.7103323934301988,-0.18304715138349695,0.2898090987208741,252
18,0.024156951439216562,0.1507618471205935,0.16023252500941806,0.8726979091370766,-0.22384628707415977,0.2721601899525929,251
19,0.0006118491937843525,0.1529710462808897,0.0039997712551488864,0.9968086527780619,-0.2510255219382792,0.25224922032584796,250
20,-0.02747153250048798,0.15257158489394035,-0.1800566764747494,0.8571080738238005,-0.27845178965101985,0.22350872465004387,249
21,-0.03705182955904662,0.14950972101296248,-0.2478222105426458,0.8042719693512843,-0.2829953206253699,0.20889166150727664,248
22,-0.025941618395967245,0.14207193920746863,-0.18259494831054934,0.855115848369811,-0.25964995839225313,0.20776672160031867,247
23,-0.03532152195704103,0.14043937275897134,-0.25150726084245256,0.8014219492363958,-0.2663442901455489,0.19570124623146684,246
24,-0.07172031118013014,0.13914200628361828,-0.5154468668069943,0.6062407895260524,-0.30060891151668223,0.15716828915642192,245
