h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.1108247665793869,0.020371347044218654,5.440227705061789,5.321251384450369e-08,0.07731390069164722,0.1443356324671266,269
1,0.18048341956257197,0.03721831602696789,4.849317186510968,1.2388718597574977e-06,0.11925928969820979,0.24170754942693415,268
2,0.1811999191555572,0.05577284182678907,3.248891632925945,0.001158556054790971,0.08945359435048916,0.2729462439606252,267
3,0.17066220069242907,0.07084799828393168,2.408850000369527,0.01600287368240151,0.05411724351536146,0.2872071578694967,266
4,0.19340729132505888,0.08358664444387878,2.313853996793892,0.02067573227931293,0.05590726121487827,0.3309073214352395,265
5,0.21288398762921268,0.09051321138654084,2.351965910479983,0.018674486294556213,0.06398975489835301,0.36177822036007234,264
6,0.2137550222042034,0.09571566547777059,2.233229233033403,0.025533831490236924,0.05630275249327077,0.371207291915136,263
7,0.22963113466345164,0.09763068971058705,2.352038435292857,0.018670845578840325,0.06902865008953593,0.3902336192373673,262
8,0.20417358340340072,0.10286295410783153,1.9849088058404873,0.047154618492381,0.034964023896017854,0.37338314291078356,261
9,0.2057357256583204,0.11343905136045161,1.8136234673242895,0.069735714977154,0.01912848617037749,0.3923429651462633,260
10,0.23022211829055747,0.12749006564075985,1.8058043749014523,0.07094890187136214,0.020500960311507527,0.4399432762696074,259
11,0.22293548215231296,0.13411974800836013,1.6622122056061173,0.09647023358307343,0.0023084966785605343,0.4435624676260654,258
12,0.20652841203605585,0.1399536699376679,1.4756912921828973,0.14002678465957177,-0.023695375011407838,0.43675219908351953,257
13,0.193069944586023,0.15212539809140688,1.26914997106541,0.20438758043987615,-0.057176335274341294,0.4433162244463873,256
14,0.15475492579828581,0.14621623154651478,1.0583977179650856,0.2898741594008878,-0.085770775095731,0.39528062669230263,255
15,0.15892733483229926,0.1476486597187827,1.076388604779741,0.2817534965121693,-0.08395471040509828,0.4018093800696968,254
16,0.1399629907123545,0.14787988088863366,0.9464640481943499,0.34391195106880024,-0.10329941334944787,0.38322539477415685,253
17,0.1321893629081524,0.1508692737729957,0.8761847896679752,0.38092958399235555,-0.11599059244842552,0.3803693182647303,252
18,0.11136081337749781,0.1591298057067586,0.6998111565768603,0.4840452464440047,-0.15040771701012012,0.37312934376511575,251
19,0.09981571872258148,0.163088727933345,0.612033216442626,0.5405157811113921,-0.16846523872777103,0.368096676172934,250
20,0.09277870204493356,0.16415170439161153,0.5652009669274852,0.5719370790823264,-0.1772508516792674,0.3628082557691345,249
21,0.12104412605260868,0.16945081618349608,0.7143319151766822,0.47502196171047006,-0.15770246656924242,0.39979071867445976,248
22,0.11026798848240733,0.17572169280026886,0.6275149455095542,0.5303217424986624,-0.17879419617403497,0.3993301731388496,247
23,0.09421461484500676,0.17456692669989782,0.539704837715184,0.5894006031896412,-0.19294797957632515,0.38137720926633867,246
24,0.06539904035866649,0.17866420617425446,0.366044445941688,0.7143319105362692,-0.2285035787979821,0.3593016595153151,245
