h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.1108247665793869,0.020371347044218654,5.440227705061789,5.321251384450369e-08,0.07731390069164722,0.1443356324671266,269
1,0.07023348205749974,0.02356918374700323,2.979886058482181,0.002883556196729164,0.03146217479367942,0.10900478932132006,268
2,0.0007034924380235566,0.02446616565382999,0.028753685721629625,0.9770610390311916,-0.03954335006252678,0.04095033493857389,267
3,-0.01022795573354436,0.02280821847408645,-0.44843290786454226,0.6538407965601098,-0.04774747512341657,0.02729156365632785,266
4,0.02036357625394946,0.024948063389241208,0.8162387571426166,0.4143635940047421,-0.02067598802135233,0.06140314052925125,265
5,0.017185152757535314,0.01875029745308727,0.9165269404675895,0.359390583959312,-0.01365908655279325,0.04802939206786388,264
6,-1.060777618042694e-05,0.0157980191163532,-0.0006714624221112874,0.9994642505404963,-0.025998349222581443,0.025977133670220587,263
7,0.01701857223649676,0.023851070739869737,0.7135349361086883,0.47551480269784996,-0.022216439130588957,0.05625358360358247,262
8,-0.025052294984678033,0.01378101334714402,-1.817884821210907,0.06908173872989329,-0.04772206194072995,-0.0023825280286261206,261
9,0.002683820017029122,0.01740844783373216,0.15416768012072352,0.877477525018569,-0.025953076669460284,0.03132071670351853,260
10,0.023947352406430342,0.020312464104333895,1.1789486634130668,0.23841861845703782,-0.009466651045198917,0.0573613558580596,259
11,-0.005551473693989058,0.018921522261875646,-0.29339466545852605,0.7692205024873097,-0.036677377814774495,0.025574430426796378,258
12,-0.01479626922545006,0.018169281956337928,-0.8143562998805646,0.41544086560167715,-0.04468473804362595,0.015092199592725833,257
13,-0.013432185444108619,0.02189401452831262,-0.6135094788915281,0.5395395171240756,-0.04944783934318288,0.022583468454965644,256
14,-0.036645892520633994,0.025545330552661883,-1.4345436808926086,0.15141717320833017,-0.07866796127976279,0.005376176238494804,255
15,-0.0022084832114948427,0.020686855192182156,-0.10675780300958738,0.9149811244107946,-0.03623836000263449,0.03182139357964481,254
16,-0.02289462479033335,0.019059889419170667,-1.2011939989172056,0.2296759567218567,-0.054248142884869094,0.008458893304202394,253
17,-0.007802243460477944,0.020558302754425106,-0.37951787915948154,0.7043033299634214,-0.041620651491507246,0.026016164570551354,252
18,-0.024851407281589605,0.022480225988112668,-1.105478534545462,0.2689522905561148,-0.06183137903203494,0.012128564468855733,251
19,-0.004794819579699368,0.014363338437425039,-0.3338234770828773,0.7385127665371809,-0.028422511309263557,0.018832872149864822,250
20,-0.012685010988339471,0.014167088867189608,-0.895385855715032,0.37058085902637417,-0.03598987217486638,0.010619850198187434,249
21,0.032163125085810554,0.015689229050025864,2.050013100277705,0.0403631524505881,0.006354343298518007,0.0579719068731031,248
22,-0.009404501271799466,0.014553107442516713,-0.6462194626780764,0.5181372368082169,-0.03334436301473946,0.014535360471140528,247
23,-0.01272461694545697,0.010223238325963831,-1.2446757612155455,0.21325095922968695,-0.029541843991667472,0.0040926101007535305,246
24,-0.027464022482309516,0.012304718537001737,-2.2319911178562895,0.02561554997989361,-0.04770528447567737,-0.00722276048894166,245
