h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.1610323873262208,0.019903065638162246,8.09083335470976,5.925788367636465e-16,0.12829184435144392,0.19377293030099768,269
1,0.09917689451728699,0.019963515073107025,4.967907412802709,6.767926069574148e-07,0.06633691222202594,0.13201687681254803,268
2,0.020811865512733445,0.03350690589117463,0.6211216750459514,0.5345195689465129,-0.034306994678248826,0.07593072570371572,267
3,-0.006487235104489975,0.02008119417270662,-0.3230502652729243,0.7466571749610262,-0.039520799518592366,0.02654632930961242,266
4,0.01797655232994761,0.023483163573472802,0.7655081170687921,0.44396903483868044,-0.020653251748415147,0.05660635640831037,265
5,0.02549987575466546,0.01691289140444545,1.5077182928025528,0.13162664167078791,-0.0023218306056473036,0.05332158211497823,264
6,-0.0044651315595329675,0.015066867901551203,-0.2963543311528776,0.7669594980629904,-0.029250129257584696,0.020319866138518765,263
7,0.0272605840729946,0.021022336829400107,1.2967437585183297,0.19471936771721754,-0.007321160011368573,0.061842328157357775,262
8,-0.026298107894811275,0.01700452848436808,-1.546535554866258,0.12197528014276189,-0.05427055725159677,0.0016743414619742152,261
9,0.006867562648214521,0.01570084917563691,0.4374007145340236,0.6618207660252142,-0.018960334245708196,0.032695459542137234,260
10,0.04286369226956798,0.021514190029143912,1.9923451550582778,0.04633320047816863,0.007472849671626244,0.07825453486750972,259
11,0.022678400236256373,0.024695681658377697,0.9183144061367917,0.35845428731989915,-0.017945996091774937,0.06330279656428768,258
12,-0.0021558757063409864,0.02387784350291378,-0.0902877056748407,0.9280585896981189,-0.04143492826863415,0.03712317685595218,257
13,-0.010322414043991486,0.019969494995173608,-0.5169091179564778,0.6052196023449387,-0.04317223331105207,0.022527405223069098,256
14,-0.008562306829477454,0.01903943301314153,-0.44971438086247206,0.6529164006087826,-0.039882174136095266,0.02275756047714036,255
15,0.023996314579245875,0.0228027709336038,1.052342044268102,0.2926426483399662,-0.013514243606532372,0.06150687276502412,254
16,-0.020757760227236157,0.027383975707460928,-0.7580258049082544,0.4484355347015446,-0.06580440026600938,0.02428887981153707,253
17,-0.02401020402004992,0.023443809357953434,-1.024159668484266,0.3057598650067682,-0.06257527041388332,0.014554862373783478,252
18,-0.029331874498330645,0.026294550981038927,-1.1155115186976168,0.2646312851688255,-0.07258641086213968,0.01392266186547839,251
19,-0.015176236866037387,0.014204910807286376,-1.0683795957559108,0.28534931721454404,-0.038543315144023475,0.008190841411948702,250
20,0.0018451674811275028,0.018298962683745208,0.10083453980517416,0.9196818077648298,-0.028256626133633365,0.03194696109588837,249
21,0.00886546364014381,0.00848721563282682,1.044566795952963,0.2962232324883487,-0.005096006075856309,0.022826933356143927,248
22,-0.05246991841465336,0.015324986181396329,-3.423815055595214,0.0006174862906258065,-0.07767952068305031,-0.027260316146256396,247
23,-0.026030102342187264,0.021374731580404375,-1.2177978583857763,0.2233007983712898,-0.06119153579195246,0.009131331107577932,246
24,-0.038413709655247916,0.013921791976641649,-2.759250369471075,0.0057934130258470926,-0.06131505745682343,-0.015512361853672402,245
