h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.12449098801591646,0.03847912095814938,3.23528669356338,0.0012152064589075748,0.06119283403976074,0.1877891419920722,269
1,0.09290336837145531,0.0333743879764478,2.783672570625622,0.005374726198140316,0.038002500150198675,0.14780423659271194,268
2,0.011391336565736971,0.043069604398480864,0.2644866774336744,0.7914049292919189,-0.059458162669764045,0.08224083580123799,267
3,0.01672499741697162,0.027431760536939822,0.6096946418896304,0.5420641045807979,-0.028400248666294387,0.06185024350023763,266
4,0.017702112687586563,0.02583614408743906,0.6851685231231127,0.4932375841750154,-0.024798344336250694,0.06020256971142382,265
5,0.024672916337018555,0.03066152937700238,0.8046864210082236,0.4210006574555707,-0.02576529948815036,0.07511113216218747,264
6,-0.027406143324637647,0.032765486954321715,-0.8364332678114775,0.40291120364252997,-0.08130536936449687,0.026493082715221574,263
7,-0.029774322813219185,0.031007665208902756,-0.9602245964868886,0.3369421902499262,-0.08078193208186421,0.021233286455425847,262
8,-0.03220095163628949,0.031167482686102695,-1.0331585633846396,0.30152970069762575,-0.08347146065492843,0.019069557382349445,261
9,0.02577979217834844,0.0319161885780634,0.8077340474190385,0.4192436991074032,-0.026722338032565855,0.07828192238926274,260
10,0.023987653153761425,0.022686175153245947,1.0573687715855118,0.2903433179635653,-0.013331104973328158,0.06130641128085101,259
11,0.03907443724552001,0.022709555081348084,1.7206165909262048,0.08532042082815759,0.0017172191367024123,0.0764316553543376,258
12,0.04953383796961772,0.0326884752945073,1.515330327381191,0.12968877178838542,-0.004238703889846797,0.10330637982908222,257
13,0.011233050214014984,0.04146324847707767,0.2709158261013969,0.7864557725946784,-0.05697399353077778,0.07944009395880774,256
14,-0.008080712386625097,0.01710383428661129,-0.4724503436606959,0.6366053773842799,-0.03621651978810067,0.020055095014850473,255
15,0.021748139465151542,0.02101750830757269,1.0347629769850313,0.30077961697653877,-0.012825661700805534,0.05632194063110862,254
16,-0.025582806092865826,0.021670857384780473,-1.1805165637254726,0.23779482657501327,-0.061231366490829706,0.010065754305098054,253
17,-0.02636589613494008,0.027088264864368033,-0.9733327795986608,0.3303879358603521,-0.0709260918368255,0.018194299566945335,252
18,0.02982961176013922,0.04826656934745797,0.6180180643335954,0.5365634309722522,-0.049568894816429135,0.10922811833670758,251
19,-0.02481323708998566,0.02783039514272353,-0.891587667466995,0.3726139827811199,-0.07059423709976587,0.020967762919794547,250
20,-0.0077094396501591125,0.024665488557608705,-0.31255977890537007,0.7546151398124776,-0.04828416832742543,0.032865289027107204,249
21,-0.004648102624290929,0.020402799755891207,-0.22781690159698856,0.8197885865975428,-0.03821070822273197,0.028914502974150106,248
22,-0.004848620188998655,0.025627763271242564,-0.18919404466481046,0.849940735045744,-0.04700629077019267,0.03730905039219536,247
23,-0.03748091337782641,0.029132327101790107,-1.286574644272867,0.19824258612547274,-0.08540359146027113,0.010441764704618321,246
24,-0.0345377666716533,0.024909141429631607,-1.3865498644030982,0.16557906514692522,-0.07551330432339728,0.0064377709800906915,245
