h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.011975465431170429,0.02310015904005315,0.5184148477249131,0.6041688574981117,-0.026024296189717,0.04997522705205786,269
1,0.05977151184514101,0.04314515490929197,1.385358610272791,0.1659428403307509,-0.01120226798064429,0.1307452916709263,268
2,0.09250961485905707,0.0648906514036573,1.4256231499911116,0.15397715024403372,-0.014235506699959183,0.1992547364180733,267
3,0.10598059345551102,0.07904674902554128,1.340733107458562,0.18000712133372254,-0.02405130869150439,0.2360124956025264,266
4,0.11796833194444044,0.08688846919470108,1.3576983578810107,0.17455941808199327,-0.02496319988084285,0.26089986376972374,265
5,0.1015200317242568,0.09741699517010806,1.042118282821022,0.29735684313091004,-0.05873092533057095,0.26177098877908456,264
6,0.06664862878429137,0.10867467181628622,0.6132857607976991,0.5396874068758328,-0.11212120635349945,0.2454184639220822,263
7,0.07834100553783735,0.1186860614306918,0.6600691319054812,0.5092094665024789,-0.11689756551565067,0.27357957659132537,262
8,0.08386966902025698,0.12549710813370574,0.6682996147680271,0.5039423591991322,-0.12257307385968895,0.2903124119002029,261
9,0.1094814245554823,0.13116461440541313,0.8346871986150864,0.40389385120605015,-0.1062843661414223,0.3252472152523869,260
10,0.1119282766371336,0.14585945203718456,0.7673707467967126,0.4428611161414022,-0.128010521964035,0.3518670752383022,259
11,0.09270262981041691,0.15911458390616362,0.5826155436832078,0.5601521392545863,-0.16904086071522226,0.35444612033605605,258
12,0.0830126826993072,0.1721017793829577,0.48234645218042116,0.6295598536582445,-0.20009474438565825,0.3661201097842727,257
13,0.04520086822832271,0.18393288188809032,0.24574653408531993,0.8058784475352796,-0.25736872247758585,0.34777045893423125,256
14,0.033887852864558865,0.18691662297812026,0.1812992997874012,0.8561326556101957,-0.27358999193444894,0.34136569766356667,255
15,0.03791617617575641,0.1943812151150873,0.19506090726569117,0.8453452661594949,-0.2818409226885622,0.35767327504007507,254
16,0.021799265495906342,0.19899855291639684,0.10954484430379068,0.9127703551468439,-0.3055533540515665,0.34915188504337913,253
17,0.003342690306380139,0.2013633209278258,0.01660029389154866,0.9867554900996666,-0.32789997261989334,0.3345853532326536,252
18,-0.006705868653353004,0.20341314619704373,-0.03296674172109365,0.9737011094792885,-0.34132049414748994,0.32790875684078397,251
19,-0.034509548372061244,0.21008307696393608,-0.16426619826205863,0.8695215900788271,-0.3800962099777361,0.31107711323361364,250
20,-0.05743978903033858,0.21106820327502646,-0.27213852271008954,0.7855155100680105,-0.4046469834177571,0.28976740535707995,249
21,-0.09341007871633604,0.21002244471808465,-0.44476236262139207,0.6564914963921474,-0.4388970002775853,0.2520768428449132,248
22,-0.1026254042393638,0.20759312578844674,-0.4943583938513789,0.6210530921496853,-0.44411609616135866,0.2388652876826311,247
23,-0.12323455474717288,0.20503448180978165,-0.6010430716795349,0.5478112988170951,-0.4605162773242637,0.21404716782991795,246
24,-0.1813267686144161,0.2081340878893635,-0.8712016875909476,0.38364403864610186,-0.5237073431924191,0.16105380596358687,245
