h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,-0.01642372133164593,0.019889304452096895,-0.8257564446862499,0.40894226602100514,-0.04914162715534533,0.01629418449205346,269
1,0.021908989770268936,0.039138592724285534,0.5597797019583278,0.5756297104046988,-0.04247399526118077,0.08629197480171864,268
2,0.042769208534752676,0.06469429684257365,0.661097045985781,0.5085500795939114,-0.06365290977128098,0.14919132684078634,267
3,0.06149797772712745,0.08090882909629504,0.7600898247326576,0.44720089444003375,-0.0715970461362779,0.1945930015905328,266
4,0.0606913413036752,0.08930248852214687,0.679615342282694,0.4967480525679364,-0.08621125231525639,0.2075939349226068,265
5,0.048656685011270344,0.09926415685010453,0.49017376014934744,0.6240109470890045,-0.11463285300715162,0.21194622302969232,264
6,0.013488775683919813,0.10907599925573076,0.12366401202793587,0.9015813071218624,-0.16594124309175728,0.19291879445959692,263
7,0.007498405709200507,0.11986460506515866,0.06255729708636137,0.9501190347654624,-0.18967886962298547,0.2046756810413865,262
8,0.014096006437231997,0.12582699202975944,0.11202688874496927,0.9108020866282098,-0.1928893954517223,0.22108140832618628,261
9,0.028472984584372946,0.1321694858045845,0.21542782292783433,0.8294337796542824,-0.1889458195641686,0.24589178873291448,260
10,0.027529092891786733,0.14589639046518516,0.18868933497265597,0.8503363108963873,-0.21247046942344286,0.2675286552070163,259
11,0.007579805969522213,0.15823377286866686,0.0479025800377863,0.9617938831803803,-0.25271475039943475,0.2678743623384792,258
12,-0.008113339086992195,0.17473982967763835,-0.04643096597930625,0.9629667558379768,-0.2955603589067073,0.2793336807327229,257
13,-0.03133738770219978,0.1895520107277772,-0.16532342538536607,0.8686894217195564,-0.34315044534939326,0.2804756699449937,256
14,-0.04126531596946605,0.19152371835530765,-0.2154579930038335,0.829410259647857,-0.3563218326639471,0.27379120072501506,255
15,-0.03815262326231897,0.19602503295664322,-0.1946313829762628,0.8456815328014359,-0.36061380247599706,0.2843085559513592,254
16,-0.0642056519832756,0.20035191467934074,-0.3204643793199355,0.7486163288446908,-0.3937845516307911,0.2653732476642399,253
17,-0.08146520231275939,0.20217106565764448,-0.40295183708786586,0.686983656057373,-0.4140366053195846,0.2511062006940658,252
18,-0.08955733286041154,0.20654951392795756,-0.4335877202385877,0.6645878535572014,-0.42933128327190173,0.2502166175510786,251
19,-0.11801947048198155,0.21142550609812902,-0.558208291232398,0.5767021598140656,-0.4658144280134038,0.2297754870494407,250
20,-0.1507254915067734,0.20914569908874925,-0.720672202027039,0.471111219245975,-0.4947701665077659,0.19331918349421912,249
21,-0.19578672925835303,0.20763345595336283,-0.9429440374114337,0.34570952830888213,-0.5373437643016349,0.1457703057849288,248
22,-0.1880294483390455,0.20332936326376427,-0.9247530475720257,0.3550943788159111,-0.5225062509079377,0.14644735422984673,247
23,-0.21407871831788045,0.19607349434081386,-1.0918289544315969,0.2749082898107512,-0.5366196165085193,0.10846217987275836,246
24,-0.27423716842610846,0.19929864342285217,-1.3760112147088686,0.1688181612386126,-0.6020834368567003,0.05360910000448338,245
