h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.10710485323452107,0.052786962154715684,2.0290020274438723,0.04245808381026848,0.02027030049001377,0.19393940597902837,269
1,0.24042421689189852,0.10538703436280415,2.2813453129748105,0.02252802135013174,0.06706254536508569,0.41378588841871133,268
2,0.3451734615176353,0.15142805705320597,2.2794551302758554,0.022640024327739823,0.09607430766511146,0.5942726153701591,267
3,0.3579916807121793,0.15926986479842553,2.2477050581116473,0.02459500326438926,0.09599275311876931,0.6199906083055893,266
4,0.35668960009872785,0.16637770721399023,2.1438545227694714,0.03204454505926477,0.08299827173171392,0.6303809284657418,265
5,0.3583459825582888,0.17726336810557772,2.021545604080244,0.043223316498140076,0.06674774202461348,0.6499442230919641,264
6,0.3216818985149014,0.18462049928810642,1.7423953448035374,0.0814392899361986,0.01798117718596637,0.6253826198438365,263
7,0.356873536170801,0.205398966037951,1.7374651053738142,0.08230510812103942,0.018992237038371607,0.6947548353032303,262
8,0.44171472271655615,0.21842797699986571,2.0222442600236494,0.04315112389720614,0.08240070055177706,0.8010287448813352,261
9,0.46525459363342225,0.24149498409370707,1.9265600707172037,0.054034478828722275,0.0679953447992741,0.8625138424675705,260
10,0.4788459545462887,0.26175887805685094,1.8293398798962188,0.06734870790335386,0.04825260014276889,0.9094393089498085,259
11,0.38272868948845556,0.2830567469667563,1.3521270684757967,0.17633466942806753,-0.08289965927185855,0.8483570382487697,258
12,0.2925230226100648,0.30019805687721735,0.9744334312254004,0.32984137691333804,-0.20130278095295773,0.7863488261730873,257
13,0.17478995640211098,0.30128268718704343,0.5801526733383031,0.5618116655805685,-0.32082006402057545,0.6703999768247975,256
14,0.1909277340593075,0.3068905384114508,0.6221362673727302,0.5338522690969858,-0.31390720162752905,0.6957626697461441,255
15,0.2650771940757718,0.3367725043102497,0.7871105588583651,0.43121714885190965,-0.28891357551458896,0.8190679636661325,254
16,0.30956184746020465,0.34381797203794207,0.9003655208170529,0.36792576329384363,-0.2560187165422101,0.8751424114626194,253
17,0.3489657382330179,0.3428221362446052,1.0179206688801135,0.30871565824145986,-0.21497667588935765,0.9129081523553935,252
18,0.29271473386384117,0.3343685626653649,0.8754254034246313,0.3813424825297699,-0.25732155172068416,0.8427510194483665,251
19,0.1516976467091589,0.3385438270081489,0.44808865088391486,0.6540892183818596,-0.4052069487192461,0.7086022421375638,250
20,-0.005269621325597928,0.3458595434125808,-0.015236304522936705,0.9878436581982226,-0.5742085702392934,0.5636693275880975,249
21,-0.03621545775329377,0.3529519499074997,-0.10260733157242787,0.9182746238031906,-0.6168214153511307,0.5443904998445432,248
22,0.02040345691468285,0.3450237267464812,0.05913638782782912,0.9528434760482121,-0.5471605735832787,0.5879674874126444,247
23,0.02823161553004199,0.355367492894836,0.07944343839687268,0.9366799189552509,-0.5563479102819633,0.6128111413420472,246
24,-0.10005141181711678,0.39925439582329864,-0.25059564243695237,0.8021267510774035,-0.756824892946443,0.5567220693122095,245
