h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.4637950967626079,0.04057356895297005,11.430966235684263,2.9283204174590067e-30,0.39705157583497214,0.5305386176902436,140
1,0.5826128060745939,0.08654027816483682,6.732273323236463,1.6703248850141465e-11,0.4402540484934373,0.7249715636557504,139
2,0.5006680002966853,0.131668906451851,3.8024770903658323,0.0001432565174181946,0.2840726491833905,0.7172633514099802,138
3,0.5033930761568312,0.14105879219180067,3.5686756446372856,0.0003587902823614917,0.271351363001319,0.7354347893123433,137
4,0.6283994039655891,0.16340922397677177,3.845556503315349,0.00012027914269573117,0.3595912305237996,0.8972075774073787,136
5,0.6483272077221962,0.20064579965153767,3.231202491396025,0.0012327057715224837,0.31826486729541675,0.9783895481489757,135
6,0.7655134727595471,0.2169530846173259,3.528474711985787,0.00041796187933070136,0.40862564856404593,1.122401296955048,134
7,0.7692179093364124,0.22613779017698205,3.4015451762149085,0.0006700605266982015,0.39722124449527696,1.141214574177548,133
8,0.6976388146790716,0.25984715661925284,2.68480449721181,0.007257224310761963,0.2701902420404007,1.1250873873177425,132
9,0.706591143934472,0.2764871922532937,2.5556017194718885,0.010600437333342417,0.2517697126778038,1.1614125751911402,131
10,0.8236694177373248,0.2951643020003211,2.790545510264411,0.005261930211927716,0.3381241409467966,1.309214694527853,130
11,0.7898040335519252,0.3276782482055969,2.4103035153446446,0.015939254246654287,0.25077331525371827,1.328834751850132,129
12,0.70717140820924,0.33724159585767133,2.096928187078361,0.03599993289721966,0.15240898302337058,1.2619338333951093,128
