h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.1729896395356387,0.11202807432787261,1.5441632874037436,0.12254878021821321,-0.01129654273371175,0.3572758218049892,140
1,0.45858047577976924,0.21508243061473248,2.132114996418298,0.032997394097766794,0.10476987741853433,0.8123910741410041,139
2,0.8321502455358822,0.2591834863591163,3.2106607455032132,0.001324301779646589,0.4057934104751359,1.2585070805966285,138
3,1.0407159441728653,0.2894864917281538,3.595041474854597,0.00032433990237829376,0.5645106652800522,1.5169212230656783,137
4,1.0695063926893118,0.3072208214254271,3.481230170946982,0.0004991163847830149,0.5641281414444842,1.5748846439341393,136
5,1.179702104184278,0.3448141660845793,3.4212692523047594,0.0006232959134869366,0.612482800975145,1.746921407393411,135
6,1.3911873937585744,0.3305602867822996,4.20857389525071,2.569874883090075e-05,0.8474157220016916,1.9349590655154572,134
7,1.564494233816628,0.3662224793925331,4.271977614295313,1.937470300113569e-05,0.9620582552159112,2.166930212417345,133
8,1.421062106480088,0.3615913870668002,3.9300220008215008,8.493808939909813e-05,0.8262442747552016,2.015879938204974,132
9,1.3180279641363306,0.36676699611704405,3.5936384082817434,0.00032609230074792,0.7146962555237931,1.921359672748868,131
10,1.0383400555845093,0.37761721584179203,2.749715881649676,0.005964695785188391,0.4171597355247614,1.6595203756442571,130
11,0.893816833588735,0.4288376478075916,2.084277903673624,0.03713489605898633,0.18837890294524684,1.599254764232223,129
12,1.162984445294562,0.48063572294337703,2.419679582226083,0.015534188293185302,0.37233868105270673,1.953630209536417,128
