h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.0323581342724573,0.021497522827558527,1.5052029264960765,0.13227191301589852,-0.003005290778876471,0.06772155932379108,269
1,0.10064504443373547,0.04003275154182465,2.5140676210723476,0.011934754777772035,0.03479116814743391,0.16649892072003702,268
2,0.13059588266711428,0.058620250874680216,2.227828791560536,0.02589193412126622,0.03416556997826532,0.22702619535596325,267
3,0.14647778262252675,0.06925825357234744,2.1149505664262165,0.034434160749964735,0.03254795549601522,0.2604076097490383,266
4,0.1508918579591317,0.07414157951562747,2.0351853702729237,0.04183222453414867,0.028928959655924513,0.2728547562623389,265
5,0.15224388261929064,0.08239946462702,1.8476319392173288,0.06465560598982688,0.016696763307842755,0.28779100193073853,264
6,0.11619032062639673,0.09113620586762397,1.2749084682674199,0.20234164140122246,-0.033728738025844696,0.26610937927863815,263
7,0.12340752477268574,0.10151981572990305,1.2156003622092428,0.224137196116019,-0.043592572103004795,0.2904076216483763,262
8,0.12464178857490597,0.10685808157238186,1.1664236035388496,0.24344321993678453,-0.05113975561166219,0.30042333276147415,261
9,0.14055855549455348,0.11309808636939261,1.2428022436690176,0.21394071553746186,-0.04548779658309737,0.32660490757220434,260
10,0.15221109805896216,0.12592424654934464,1.2087513106486347,0.22675840238528833,-0.05493428751470977,0.35935648363263406,259
11,0.14194428777327073,0.13445379571989527,1.055710528760231,0.29110048540986233,-0.079232206185957,0.36312078173249845,258
12,0.12750764787465588,0.14726725820921763,0.8658248236923788,0.3865862339347098,-0.11474699187950713,0.3697622876288189,257
13,0.10334251442326074,0.16129577890062113,0.6407019150013403,0.521716369746819,-0.16198904186826102,0.36867407071478253,256
14,0.09042206308945798,0.16607216198705174,0.5444745344888565,0.5861149676594171,-0.18276664337924214,0.36361076955815813,255
15,0.10599153801986001,0.17417381739154045,0.6085388700047404,0.5428301340951693,-0.18052439158922406,0.39250746762894406,254
16,0.07708049125904641,0.1786951138995667,0.4313519803477588,0.6662124600252788,-0.21687297110574077,0.3710339536238336,253
17,0.054342451589254916,0.17848747466038148,0.3044608687116867,0.7607768007453213,-0.2392694442270726,0.34795434740558245,252
18,0.036687094170371456,0.17684577777832097,0.2074524743042456,0.8356565052512142,-0.25422421027496656,0.3275983986157095,251
19,0.0056391800950639,0.18077426365897872,0.03119459585077841,0.9751143497049933,-0.2917344836239561,0.30301284381408394,250
20,-0.025014277102517222,0.18085265806125958,-0.13831301884456806,0.8899930368518563,-0.3225168996132893,0.2724883454082548,249
21,-0.06231351683579582,0.17995612557763443,-0.3462706069925544,0.7291393560452172,-0.3583413434110045,0.23371430973941282,248
22,-0.0688839346992988,0.18156074387934612,-0.37939883494349824,0.7043917155856079,-0.3675513583808232,0.2297834889822256,247
23,-0.10049877753852161,0.1816175149656518,-0.5533539953871097,0.5800210341944143,-0.3992595896570188,0.1982620345799756,246
24,-0.1653725112872482,0.18240407615921433,-0.9066272792220944,0.3646039310350824,-0.46542721656915576,0.1346821939946594,245
