h,coef_pre2015,se_pre2015,pvalor_pre2015,ci_low_pre2015,ci_high_pre2015,coef_pos2015,se_pos2015,pvalor_pos2015,ci_low_pos2015,ci_high_pos2015,diff_pos_menos_pre,pvalor_wald_diff,nobs
0,0.09882255867542049,0.027166719638834318,0.00027515500480952107,0.05413330486953803,0.14351181248130296,0.05971565287873716,0.0378476489445662,0.11461379604461587,-0.0025437296350742378,0.12197503539254856,-0.03910690579668333,0.3206806978283855,269
1,0.2431614230674718,0.05550572362082176,1.1822531270994599e-05,0.15185450771122,0.3344683384237236,0.09891542560971213,0.052054312272751285,0.05740228827237393,0.013286081921036266,0.18454476929838798,-0.14424599745775968,0.03883047150403798,268
2,0.2777967760684488,0.07844543180812084,0.0003981996727263914,0.14875404074409004,0.4068395113928076,0.08056758714612156,0.06894535249396354,0.2425762394395603,-0.03284751770644846,0.19398269199869156,-0.19722918892232727,0.039003994055603966,267
3,0.29940060714643046,0.09047593997568963,0.000935717427712197,0.15056768588642103,0.44823352840643993,0.07678274066216849,0.08575960756195092,0.37061325518579136,-0.06429181377724076,0.21785729510157775,-0.22261786648426196,0.04707403758184743,266
4,0.31930329575543687,0.11063210565689917,0.003899588661274972,0.13731348194983772,0.501293109561036,0.04117796887112402,0.09734657985635153,0.67229252098839,-0.11895715499257425,0.20131309273482229,-0.27812532688431285,0.04245775647951693,265
5,0.37316664864616966,0.13285234056967374,0.004971374758654302,0.15462454840905637,0.591708748883283,0.08271158921401262,0.11759291148552842,0.4818238035657083,-0.11072875017968165,0.2761519286077069,-0.29045505943215705,0.09230412950064779,264
6,0.36684364117839396,0.1534200980319475,0.01679772497122363,0.11446757991584033,0.6192197024409476,0.060569517118557833,0.14322774577749897,0.672375846690315,-0.17504012468542796,0.29617915892254365,-0.3062741240598361,0.1311873122972202,263
7,0.30831564034586884,0.1645055833900124,0.060903470558630574,0.03770395566929846,0.5789273250224392,0.056874895872620665,0.15041768033621927,0.7053465748014737,-0.19056218828046007,0.30431198002570137,-0.25144074447324816,0.2521049637135828,262
8,0.29099138045149275,0.17577561239936287,0.09782905004760051,0.00184049805454084,0.5801422628484447,0.03928086235082945,0.1631767029033635,0.8097675463626786,-0.22914481392520353,0.3077065386268624,-0.2517105181006633,0.290719484727339,261
9,0.2739845664045022,0.1931332525480896,0.15600700495633685,-0.043719634037105215,0.5916887668461096,0.017614795096937162,0.1635074039598401,0.9142091802422552,-0.2513548844169998,0.2865844746108741,-0.25636977130756505,0.32050677800190736,260
10,0.29400091914887666,0.21764379937945796,0.17674820913152756,-0.06402313083033168,0.652024969128085,0.06009725292935128,0.1780141163059603,0.7356659662585998,-0.2327359683939534,0.352930474252656,-0.23390366621952538,0.41839488370907696,259
11,0.3217624367109191,0.23944043260791448,0.17900984987360147,-0.07211707492910024,0.7156419483509384,0.08571283850951715,0.18299392419295837,0.6395044896792614,-0.21531216678789938,0.3867378438069337,-0.23604959820140192,0.4397874517720567,258
12,0.31272615898730094,0.25265934798727696,0.21581310240985774,-0.10289846845176964,0.7283507864263715,0.07027601898020026,0.1864541351192207,0.7062421202077789,-0.2364410332909178,0.3769930712513183,-0.2424501400071007,0.4556553665773444,257
13,0.35223224104732087,0.27299038799649433,0.19695574282364392,-0.09683694720691233,0.8013014293015541,0.09160014801771686,0.19432714133093523,0.6373759351462589,-0.2280679994716716,0.41126829550710536,-0.260632093029604,0.4616453326925427,256
14,0.349974150421374,0.3012131501764433,0.24528338201506505,-0.14552148161887524,0.8454697824616232,0.06850516658223994,0.18368195582377891,0.7091816819873691,-0.23365165074787636,0.3706619839123562,-0.28146898383913405,0.4519215354384388,255
15,0.376116667501851,0.3284873210599375,0.2522108158153378,-0.16424497564174612,0.9164783106454482,0.07748350033679166,0.18436212657520645,0.6742817673663101,-0.22579219787942298,0.38075919855300633,-0.2986331671650594,0.45118750963528154,254
