h,coef_pre2015,se_pre2015,pvalor_pre2015,ci_low_pre2015,ci_high_pre2015,coef_pos2015,se_pos2015,pvalor_pos2015,ci_low_pos2015,ci_high_pos2015,diff_pos_menos_pre,pvalor_wald_diff,nobs
0,0.16711719000435257,0.0323579677395311,2.409046814955676e-07,0.11388833307282392,0.22034604693588122,0.15977403078818433,0.02224809754339775,6.896614265108729e-13,0.12317591032929504,0.19637215124707363,-0.007343159216168238,0.8411394013336776,269
1,0.28596875194886895,0.06795705356778474,2.5754912269558826e-05,0.17417939882986305,0.39775810506787485,0.2544619252904398,0.037987400867826024,2.104438281066371e-11,0.19197265086286602,0.3169511997180136,-0.03150682665842913,0.6746958631651012,268
2,0.27501072032258284,0.09705935675934428,0.0046051649415814275,0.11534807845346148,0.43467336219170416,0.28189362040538146,0.0686470458012396,4.018380738726725e-05,0.16896923006234232,0.3948180107484206,0.006882900082798626,0.9522162007605821,267
3,0.24632509373025976,0.11358516709182555,0.030110188439048353,0.059477493864206726,0.43317269359631283,0.2797105398931631,0.08557911058605132,0.0010814053317471436,0.13893290297910865,0.4204881768072175,0.033385446162903315,0.8073477400148268,266
4,0.30541194280707556,0.13013479498392663,0.01893088419709239,0.09134020505851626,0.5194836805556349,0.290326057540366,0.09507925980502338,0.00226176529943551,0.13392067516110254,0.4467314399196295,-0.015085885266709564,0.9210175039802166,265
5,0.3594805640494803,0.15300519241947055,0.018800339039951673,0.10778702251945127,0.6111741055795094,0.31062351403516264,0.09945373746212081,0.0017883746435425384,0.1470221159099739,0.47422491216035134,-0.04885705001431767,0.778673140954308,264
6,0.33217800776739836,0.16707954263365124,0.04679588703261266,0.057332160135042054,0.6070238553997547,0.31247363469992384,0.11046535818517572,0.004673712299917972,0.13075812048530977,0.4941891489145379,-0.019704373067474523,0.9187029015790441,263
7,0.2824240388559336,0.17407722023935202,0.10471630729979577,-0.003932988437800489,0.5687810661496677,0.354291062369435,0.11369187373818064,0.0018317368659795054,0.16726793007012783,0.5413141946687421,0.07186702351350138,0.7243038379058607,262
8,0.22295260623188506,0.1852216665929725,0.2287028674507915,-0.0817370353135547,0.5276422477773248,0.33443393261400567,0.12406183225977442,0.007024012914111307,0.13035221854667675,0.5385156466813346,0.1114813263821206,0.611205644186294,261
9,0.21553507854640452,0.20357878746173758,0.2897225174315705,-0.11935202682815377,0.5504221839209629,0.3435478204426551,0.12612410094670135,0.006451854383473957,0.13607367438533136,0.5510219664999788,0.12801274189625056,0.5787967967097787,260
10,0.2416987261569737,0.22429456424691918,0.2812144843813008,-0.12726583202920838,0.6106632843431558,0.389261942534334,0.12094360395161108,0.0012884456970006942,0.19030971403393376,0.5882141710347342,0.1475632163773603,0.5507960349961442,259
11,0.20324107812998135,0.25423036142822675,0.42403724415482147,-0.21496786641945168,0.6214500226794144,0.4234726413173867,0.12380944714084444,0.0006253876029436708,0.21980610077069762,0.6271391818640758,0.22023156318740536,0.42188664516804175,258
12,0.16645590371339108,0.2759528326346432,0.5463728634806377,-0.287486505970597,0.6203983133973792,0.4274800924532703,0.13861928403653456,0.002043454827612271,0.19945137021317094,0.6555088146933696,0.2610241887398792,0.4007233698445718,257
13,0.15855252590417568,0.3140454349618989,0.6136492355986332,-0.35805221460814807,0.6751572664164994,0.41685221758309765,0.14973844281704016,0.005371471462223681,0.17053247914906658,0.6631719560171287,0.25829969167892197,0.4711940452270216,256
14,0.14077879638443377,0.3602931724381102,0.6959938563200584,-0.4519034722762575,0.7334610650451251,0.4090555590120105,0.14212564736090375,0.004000449811401368,0.17525886910332386,0.6428522489206971,0.2682767626275767,0.5017674544036523,255
15,0.2193170519826696,0.3854213515551779,0.5693344775860048,-0.4147010713255981,0.8533351752909373,0.4319392170234518,0.14935637999960405,0.0038279332914545193,0.1862479719241031,0.6776304621228004,0.21262216504078219,0.620692608760253,254
16,0.25245214565261576,0.39069882473241724,0.5181787362448657,-0.39024742103221066,0.8951517123374422,0.40410652491302707,0.15973845259488087,0.011412717905430417,0.14133677039444803,0.6668762794316061,0.1516543792604113,0.7302114315872819,253
17,0.22813313172715374,0.4015258248100091,0.569922577147191,-0.43237685008531124,0.8886431135396188,0.38023386072652393,0.16897816222578158,0.024436552672224693,0.10226478386511323,0.6582029375879346,0.1521007289993702,0.7370033557674436,252
18,0.17448242272949757,0.42355022951187826,0.6803745043073522,-0.5222577048175422,0.8712225502765373,0.3598834300370757,0.17545561452378003,0.04025364737091441,0.07125894414545753,0.6485079159286938,0.1854010073075781,0.6941250714467144,251
19,0.14135223461920612,0.4463309406076801,0.751472565219335,-0.5928621626804277,0.8755666319188399,0.33946021164049445,0.16878530563395028,0.044304833134156126,0.061808383872646255,0.6171120394083427,0.19810797702128832,0.6861872039828782,250
20,0.13541811075991195,0.4508688506080272,0.7639107877335325,-0.6062611484902929,0.8770973700101168,0.3492941199422612,0.17151106794710774,0.04169325442774654,0.06715841316926902,0.6314298267152534,0.21387600918234928,0.669801386908361,249
21,0.1655349994104156,0.4721574339010727,0.7258938547079558,-0.611163979356849,0.9422339781776802,0.35083546423747947,0.1720674957349601,0.04145592071336311,0.0677844337534701,0.6338864947214888,0.18530046482706386,0.7257082423238914,248
22,0.1355774644970634,0.5032793151070987,0.7876310334078518,-0.6923170088541138,0.9634719378482407,0.2951284571330076,0.1829807245749221,0.10676760504891451,-0.005874834792739259,0.5961317490587545,0.15955099263594422,0.7822229853489002,247
23,0.13950040583292767,0.5219906898087145,0.7892790499481658,-0.7191742789024078,0.9981750905682631,0.26234128405347124,0.19586783730690072,0.18044729575793794,-0.059861308316380424,0.5845438764233228,0.12284087822054357,0.8392604848766275,246
24,0.15281866589299797,0.5396762566313986,0.7770485973762421,-0.7349487762656528,1.0405861080516488,0.22579331717279827,0.1940985393459218,0.24471096859664587,-0.09349878005124312,0.5450854143968397,0.0729746512798003,0.9067089374570965,245
