h,coef_pre2015,se_pre2015,pvalor_pre2015,ci_low_pre2015,ci_high_pre2015,coef_pos2015,se_pos2015,pvalor_pos2015,ci_low_pos2015,ci_high_pos2015,diff_pos_menos_pre,pvalor_wald_diff,nobs
0,0.3953439071284255,0.14487137538305794,0.006354010403148538,0.15703049462329516,0.6336573196335558,0.500381461893209,0.12445621392622734,5.8064342901501435e-05,0.29565098998456496,0.705111933801853,0.10503755476478349,0.40681951554004603,269
1,1.0176114676601595,0.2621905813066363,0.0001039465815281653,0.5863079614107428,1.4489149739095764,0.8286885277300464,0.21759805260213805,0.00013989980869126182,0.47073973119952933,1.1866373242605635,-0.1889229399301131,0.4359824849693925,268
2,1.4186608442708777,0.37150046357110744,0.00013413919560216454,0.8075425816964059,2.0297791068453495,0.7880628679873655,0.31090472281471926,0.011253057463940223,0.2766245989571523,1.2995011370175786,-0.6305979762835122,0.0842477741765783,267
3,1.8540645113887264,0.4191410653071442,9.712106022130467e-06,1.1645774589584743,2.5435515638189785,0.7868947489995308,0.30275750841328497,0.009347060078608525,0.28885864765967706,1.2849308503393846,-1.0671697623891956,0.018959403236658977,266
4,2.2636899483456965,0.44328635627781676,3.2799202604932337e-07,1.5344838922686879,2.992896004422705,0.7507405952874494,0.3052157640284373,0.01390514440247588,0.24866066346067006,1.2528205271142288,-1.512949353058247,0.0036971904961130672,265
5,2.5674687279103496,0.5113276438143337,5.135469663786907e-07,1.7263347538357707,3.4086027019849285,0.7094091083521219,0.3346241833117334,0.03400457358945578,0.15895232680432048,1.2598658898999233,-1.8580596195582277,0.002830406867783721,264
6,2.705530493710851,0.5924244034050324,4.9503986430322655e-06,1.7309923501095725,3.680068637312129,0.5656344141857332,0.38732479196374814,0.1441906061469069,-0.07151486859463241,1.2027836969660988,-2.1398960795251174,0.004555691651274442,263
7,2.7442155061660287,0.6571694677932763,2.9692625147877183e-05,1.6631717316460892,3.825259280685968,0.44857669325074556,0.4339149252849634,0.30123458180546736,-0.2652133588430192,1.1623667453445103,-2.295638812915283,0.007280533997151702,262
8,2.7483685187956777,0.6898098163919253,6.76961585390882e-05,1.6136313708309606,3.883105666760395,0.4452130770510746,0.4991098573777615,0.372385324578252,-0.375822638335343,1.266248792437492,-2.303155441744603,0.014712859561828918,261
9,2.7886914761766253,0.6995188793597668,6.70311187469591e-05,1.637982919629809,3.9394000327234417,0.519857428826141,0.5961932394963183,0.3832294932693493,-0.46088045014530254,1.5005953077975847,-2.2688340473504844,0.025226614695527973,260
10,2.938730418717124,0.7372234697773159,6.713600223592788e-05,1.7259978109334395,4.151463026500808,0.605550323764746,0.6071371512660186,0.3185770011739606,-0.39319029006785466,1.6042909375973466,-2.333180094952378,0.025492288436980943,259
11,2.8786040687016294,0.8054564631201178,0.00035173130155870296,1.5536281868690358,4.203579950534223,0.6141321374974902,0.6053629925255889,0.310351019341472,-0.3816899852071035,1.609954260202084,-2.264471931204139,0.043426870820478136,258
12,2.666748852969475,0.8919723096614797,0.0027923184919847292,1.199454403576341,4.13404330236261,0.7469515295553804,0.6606442772702371,0.2582062085941258,-0.3398083065541597,1.8337113656649204,-1.9197973234140948,0.12420158427463984,257
13,2.5181121214117583,0.9767880874471452,0.009938800361307036,0.9112957175612044,4.1249285252623125,0.8547639418861044,0.7274100919211954,0.23996332117436692,-0.3418256593242621,2.0513535430964707,-1.663348179525654,0.22245622989652986,256
14,2.396053913862117,1.0507482471138472,0.022588058187498875,0.6675730473598382,4.124534780364396,0.8249202147029342,0.7817358256521812,0.2913148128108043,-0.46103521849490403,2.110875647900772,-1.5711336991591827,0.27524652375441094,255
15,2.4311814621585968,1.1278299098880453,0.031112743133317033,0.5759012603927622,4.286461663924431,0.8740890224423137,0.818987974052634,0.2858456715506503,-0.47314619487426923,2.2213242397588964,-1.557092439716283,0.28788931246921806,254
16,2.4705234115850105,1.1893638878509065,0.03778490787658095,0.5140198160702694,4.427027007099752,0.7890678302731682,0.7652717656312573,0.3024963096190221,-0.46980422419025003,2.0479398847365866,-1.6814555813118424,0.2495274075706361,253
17,2.5737449714771823,1.2390394301336856,0.03778219048631397,0.5355251089072697,4.611964834047095,0.7437728402278303,0.6739641366956266,0.2697756939808048,-0.3648981646364755,1.852443845092136,-1.829972131249352,0.2139817838442912,252
18,2.764351909080003,1.2600080318950393,0.028241441630022825,0.6916386966126633,4.837065121547342,0.8136788500503682,0.5768253707208068,0.15835799762770908,-0.1351988847853589,1.7625565848860953,-1.9506730590296346,0.18899728766591548,251
19,2.768837299897236,1.2376658092567123,0.025276895127802127,0.7328770436699443,4.8047975561245275,0.6222831683043472,0.5428814469419765,0.25168767907584255,-0.2707568119152042,1.5153231485238985,-2.1465541315928887,0.14008776618703647,250
20,2.8590638400103927,1.2522695703929496,0.022424140735066628,0.7990803967139906,4.919047283306795,0.6344933290951451,0.49473267729253,0.19966824706641317,-0.17934192505106672,1.448328583241357,-2.224570510915248,0.12066759727613686,249
21,2.9220493297237025,1.2690684710723177,0.021306140330058284,0.8344316948097399,5.009666964637665,0.5865926722351842,0.4764315502047934,0.21824010735893118,-0.19713722785170096,1.3703225723220693,-2.3354566574885185,0.10149167324299382,248
22,3.0423673053271605,1.2908032102546052,0.018425394008954987,0.9189960244583348,5.165738586195986,0.5142874486792332,0.42814461294995787,0.229673502962771,-0.19001043962344755,1.218585336981914,-2.5280798566479272,0.07462330878239533,247
23,3.096953867636153,1.2999584958487989,0.017202619742990467,0.9585221419648793,5.235385593307427,0.4459079684754332,0.4128537839876265,0.2801142648645648,-0.2332365061842125,1.1250524431350788,-2.65104589916072,0.06100591167098338,246
24,2.991687218584079,1.3053531757953742,0.021913701449842962,0.8443812444006884,5.13899319276747,0.4279968783335166,0.3888695147881545,0.2710628465597724,-0.21169347349299766,1.0676872301600309,-2.5636903402505626,0.06724217686772563,245
