h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.014307139178377087,0.01924809909303144,0.7433014091015786,0.4572992186662349,-0.01735598382965963,0.045970262186413806,266
1,0.06383533623364646,0.033028356932064004,1.9327433200794486,0.05326782577866285,0.009503689080401168,0.11816698338689174,265
2,0.08298101557143803,0.04444208261696419,1.8671720739694355,0.06187756205873444,0.009873789666531935,0.15608824147634412,264
3,0.08837964605022187,0.05175619114960267,1.7076149555665354,0.08770781150642369,0.0032407116091254795,0.17351858049131827,263
4,0.06783069189928206,0.05739908143907929,1.1817382821931461,0.23730956338481135,-0.026590797068003366,0.1622521808665675,262
5,0.09175176750621862,0.06430832839142715,1.4267478225798498,0.15365259576074244,-0.01403543269767904,0.19753896771011628,261
6,0.07399624520386291,0.07231431890428013,1.0232585513501011,0.3061856156080781,-0.044960809393677886,0.19295329980140372,260
7,0.0643277556279865,0.07555836131672214,0.8513651501564506,0.39456654444205963,-0.05996574873802142,0.18862125999399443,259
8,0.06390402334300287,0.07651842821371663,0.8351455307539561,0.40363577366356784,-0.061968791068561,0.18977683775456672,258
9,0.042402172453392145,0.08114439930024141,0.5225520531182982,0.6012860139491211,-0.09108036439550496,0.17588470930228925,257
10,0.042605773355515165,0.09119628496559497,0.4671875983938246,0.640365665645748,-0.10741211541288856,0.19262366212391888,256
11,0.0434756122022937,0.10140428192265814,0.42873546735879353,0.668115746515702,-0.12333443156047894,0.21028565596506635,255
12,0.02051559199181479,0.11282999615916,0.18182746335358488,0.855718131132855,-0.16508975169000342,0.20612093567363302,254
13,0.008877598836936137,0.1163602228796913,0.07629410306402543,0.9391851172450238,-0.18253496780015604,0.20029016547402834,253
14,-0.0014332509469262497,0.12205731186506291,-0.011742442341436626,0.9906311018551567,-0.20221752896495476,0.19935102707110225,252
15,-0.026376032935886806,0.12158424922883196,-0.21693626520853745,0.8282580149652852,-0.22638212291731538,0.17363005704554177,251
16,-0.0471407722563844,0.12562287183071644,-0.3752562854948032,0.7074698736819958,-0.25379039641791296,0.15950885190514413,250
17,-0.04359189479353192,0.13294849779468385,-0.3278855761187473,0.7429981799949528,-0.26229217366578683,0.175108384078723,249
18,-0.04078326238372848,0.14323464476138237,-0.28473043272226617,0.7758506733432096,-0.2764042530162025,0.1948377282487455,248
19,-0.036063969997379264,0.14773051392632225,-0.24411997927094112,0.8071378993527546,-0.2790806654061794,0.20695272541142085,247
20,-0.005784681659034049,0.1511304411258183,-0.03827608532035063,0.9694675579602352,-0.2543942573110052,0.24282489399293705,246
21,-0.010279241387430698,0.15159319244855188,-0.06780806724496745,0.9459384218128923,-0.25965004296529853,0.23909156019043715,245
22,0.0010902903602810765,0.14448060871961546,0.0075462746865701215,0.9939790010816257,-0.23658031098348636,0.23876089170404852,244
23,0.028940290973188725,0.13124932958554802,0.2204985813228517,0.8254828771323155,-0.18696485619503778,0.24484543814141524,243
24,0.012447994221047379,0.12675601832676067,0.0982043644583254,0.921770016882328,-0.1960656559264739,0.2209616443685687,242
