h,coef_iv,se_iv,t_iv,pvalor_iv,ci_low,ci_high,nobs,first_stage_f,first_stage_pvalue,metodo
0,0.37166474658349735,0.28324844172314995,1.3121510724735652,0.18946916659146218,-0.09427894005108434,0.8376084332180791,266,129.22848039295238,4.291065254200023e-24,2SLS_manual_aproximado
1,1.0207278415001666,0.5946577642938212,1.7164962820460603,0.0860712478741101,0.042515819236830676,1.9989398637635025,265,128.58838355816607,5.512009065638052e-24,2SLS_manual_aproximado
2,1.2771804323340998,0.8313635997534882,1.536247717259696,0.12447763694756767,-0.09041268926038826,2.644773553928588,264,127.93617118359023,7.108297271456759e-24,2SLS_manual_aproximado
3,0.9442688458340152,0.8608397010743963,1.0969160049838462,0.27267811159059885,-0.47181246243336683,2.360350154101397,263,127.59651535123271,8.28497226927736e-24,2SLS_manual_aproximado
4,0.36190820428834897,0.908524776491201,0.3983470937205134,0.6903743508285585,-1.1326150530396766,1.8564314616163746,262,126.92682929823246,1.0745001440325006e-23,2SLS_manual_aproximado
5,0.07996527341240085,1.0166390762545385,0.07865650187970911,0.937305844705129,-1.592406007026315,1.7523365538511166,261,125.03246035592491,2.0732318051019808e-23,2SLS_manual_aproximado
6,-0.10916931071056893,1.100076597279118,-0.09923791759645063,0.9209493695447108,-1.918795313234718,1.7004566918135802,260,123.94403480727289,3.081749193335343e-23,2SLS_manual_aproximado
7,-0.15238315838662983,1.1314825708047611,-0.1346756568050784,0.8928683208712384,-2.013671987360462,1.7089056705872023,259,122.10245264849912,5.858947567486771e-23,2SLS_manual_aproximado
8,0.20644486773614723,1.1848174534985139,0.1742419198219603,0.8616753421362924,-1.7425798432689081,2.1554695787412026,258,122.28832593578665,5.749691102626287e-23,2SLS_manual_aproximado
9,0.4473727706709261,1.2082816951410016,0.37025535723167563,0.711192233574067,-1.5402506178360216,2.434996159177874,257,121.87057881974712,6.87144149542556e-23,2SLS_manual_aproximado
10,0.3143358101250905,1.275146647227517,0.2465095373999014,0.8052878224190749,-1.7832804245641753,2.411952044814356,256,121.04634663901716,9.375794793034693e-23,2SLS_manual_aproximado
11,-0.0666973073127427,1.3752228055969649,-0.04849927374771126,0.9613183432277013,-2.32893882251975,2.1955442078942644,255,119.86069907242926,1.439719758714395e-22,2SLS_manual_aproximado
12,-0.46802519024853195,1.3751533845908948,-0.34034399034531587,0.7335974927846514,-2.730152507900554,1.79410212740349,254,119.2514381361577,1.8316173419198406e-22,2SLS_manual_aproximado
13,-0.4424819703082213,1.370969299906387,-0.32275118803786124,0.7468836824607328,-2.6977264686542277,1.8127625280377853,253,118.68535157030945,2.2975659884192903e-22,2SLS_manual_aproximado
14,-0.5912949269968957,1.4722258381766016,-0.4016333035760554,0.6879539163250075,-3.0131064307974054,1.830516576803614,252,115.99451340751095,5.786294349632114e-22,2SLS_manual_aproximado
15,-0.15331942101602342,1.482516132596556,-0.10341838287283377,0.9176309229505075,-2.592058459137358,2.285419617105311,251,113.84101206591163,1.2256059428117595e-21,2SLS_manual_aproximado
16,0.5029035448054997,1.5547780799279909,0.3234568015190898,0.7463493179857201,-2.0547063966760453,3.0605134862870447,250,113.42871344218038,1.4614476924068547e-21,2SLS_manual_aproximado
17,0.8989768837503241,1.7678440633678314,0.5085159389215179,0.6110915640616117,-2.0091266004897586,3.807080367990407,249,113.36425428147767,1.553519897804031e-21,2SLS_manual_aproximado
18,1.7462662225777223,1.8176286480277253,0.9607387210102366,0.3366835568440951,-1.243732903427886,4.736265348583331,248,112.21390957953355,2.364332494389896e-21,2SLS_manual_aproximado
19,1.7328186474399179,1.8470261684328162,0.9381668094665913,0.3481586922941087,-1.305539399632065,4.771176694511901,247,112.61880431622374,2.152373117502415e-21,2SLS_manual_aproximado
20,1.2026402622567236,1.9548896874410275,0.6151959724290086,0.5384253072936613,-2.0131532735837667,4.4184337980972135,246,109.78337101168039,5.725301545471494e-21,2SLS_manual_aproximado
21,0.9021419414693638,2.0623099059545837,0.4374424711167686,0.6617904887653334,-2.490357853825927,4.294641736764654,245,110.06796188553251,5.416835167344287e-21,2SLS_manual_aproximado
22,1.025451652182924,2.1451199180263867,0.47803931312445636,0.632622224319529,-2.503270612970482,4.55417391733633,244,109.24190330192556,7.409052465391206e-21,2SLS_manual_aproximado
23,1.2073459979979624,2.13711045872304,0.564943189094387,0.5721124062083836,-2.308200706601438,4.722892702597363,243,108.08612222757523,1.1308978464559779e-20,2SLS_manual_aproximado
24,0.9987182213432071,2.3148441906297865,0.43144079648466166,0.6661478915959993,-2.8092004722427917,4.806636914929205,242,108.18193486513674,1.1389925818582613e-20,2SLS_manual_aproximado
