h,coef_iv,se_iv,t_iv,pvalor_iv,ci_low,ci_high,nobs,first_stage_f,first_stage_pvalue,metodo
0,0.029048762658205406,0.03759760864227152,0.7726226137038268,0.4397457572783473,-0.032799303558331244,0.09089682887474206,266,130.0566072925364,3.2834809548007612e-24,2SLS_manual_aproximado
1,0.12411218160747002,0.06498548291609224,1.9098447228240316,0.056153209048303954,0.017211062210498285,0.23101330100444176,265,128.9440475640562,4.912976160090281e-24,2SLS_manual_aproximado
2,0.16107084452431797,0.08889572412338585,1.811907671743066,0.07000046380856262,0.01483737834134824,0.3073043107072877,264,128.17447121992456,6.580704836359725e-24,2SLS_manual_aproximado
3,0.1718806310026687,0.10327009856770236,1.6643794611078664,0.09603662190665009,0.002001318858798312,0.3417599431465391,263,128.04757902909287,7.160617793037126e-24,2SLS_manual_aproximado
4,0.1331013815345086,0.11404834798589551,1.1670610217955055,0.2431857273616279,-0.054508150902289526,0.3207109139713067,262,127.24279327929109,9.700921463178838e-24,2SLS_manual_aproximado
5,0.1738172015667311,0.12746181599754577,1.363680567442079,0.1726681226621004,-0.0358574857492317,0.3834918888826939,261,126.31356126951334,1.3683572571559817e-23,2SLS_manual_aproximado
6,0.14793095317852498,0.1420925097036475,1.04108903056927,0.2978342300965342,-0.08581122528397517,0.3816731316410251,260,125.34972633364944,1.9521834551160182e-23,2SLS_manual_aproximado
7,0.12872688727611664,0.14881550362536108,0.8650099226232706,0.3870333426356122,-0.11607461618760234,0.3735283907398356,259,123.26711165993336,4.00732620866708e-23,2SLS_manual_aproximado
8,0.13923331953333268,0.15174378625197585,0.9175553277821268,0.35885171438758146,-0.1103852088511676,0.38885184791783295,258,122.93201827009753,4.662232754404026e-23,2SLS_manual_aproximado
9,0.101589010653972,0.15950058300671033,0.636919368813204,0.524177365766346,-0.16078944839206652,0.3639674697000105,257,122.88622119838492,4.9375775626442644e-23,2SLS_manual_aproximado
10,0.09334817927300518,0.17932010966302647,0.5205672662615619,0.6026682573333231,-0.2016334011226734,0.38832975966868377,256,122.45007891451756,5.93708087436997e-23,2SLS_manual_aproximado
11,0.09751286414192292,0.19708730333470528,0.49476989380853637,0.6207625581198131,-0.22669574984366728,0.42172147812751315,255,121.28500587649644,9.047934846621483e-23,2SLS_manual_aproximado
12,0.0498341696020239,0.22022504601143053,0.22628747503786337,0.8209778392349074,-0.3124360310867793,0.41210437029082714,254,120.56364164451321,1.1937413192176303e-22,2SLS_manual_aproximado
13,0.023403397880790062,0.2279206078663276,0.10268223702928979,0.9182151719131687,-0.35152600205931883,0.3983327978208989,253,119.95957764875418,1.5159892331594514e-22,2SLS_manual_aproximado
14,0.012020060137359262,0.2384797205293349,0.05040286071570056,0.9598013567644272,-0.3802790801333966,0.4043192004081152,252,117.64959880945497,3.3608286555482566e-22,2SLS_manual_aproximado
15,-0.03923894634770467,0.2357971296683589,-0.16640977098785295,0.867834485029446,-0.4271252246521551,0.3486473319567457,251,115.32014574673217,7.522507746999876e-22,2SLS_manual_aproximado
16,-0.08221143492387945,0.24249919023305058,-0.3390173585522956,0.734596653482865,-0.48112260285724767,0.3166997330094888,250,115.02235729491689,8.639673236564733e-22,2SLS_manual_aproximado
17,-0.07695850576632396,0.2548869887248526,-0.3019318724401414,0.762703998253229,-0.4962476022187065,0.3423305906860586,249,114.86785797621079,9.46676846814546e-22,2SLS_manual_aproximado
18,-0.07320088950219594,0.26989304176854123,-0.27122184781989533,0.7862204104047328,-0.5171749432114463,0.37077316420705436,248,113.80926025090419,1.396524534931434e-21,2SLS_manual_aproximado
19,-0.07377983417487231,0.27738233310838545,-0.2659860610013807,0.79024994416903,-0.5300737721381664,0.38251410378842177,247,114.64376728034486,1.1058967152613703e-21,2SLS_manual_aproximado
20,-0.024604179518709426,0.2849001986956969,-0.08636069624152581,0.9311796900150531,-0.4932650063731308,0.444056647335712,246,112.68960308091738,2.1891058703407022e-21,2SLS_manual_aproximado
21,-0.03334048660359802,0.2829274205240598,-0.11784112880201653,0.9061935404944367,-0.49875609336567633,0.4320751201584803,245,112.61637950335381,2.335286167608605e-21,2SLS_manual_aproximado
22,-0.0219719363765003,0.268996004966866,-0.08168127396243943,0.9349001698063486,-0.46447036454699486,0.42052649179399426,244,112.27757030086032,2.718930157108701e-21,2SLS_manual_aproximado
23,0.018362940798773958,0.2440153606836315,0.07525321663082393,0.9400132436017009,-0.3830423275257998,0.4197682091233478,243,111.10773320150962,4.16074456149043e-21,2SLS_manual_aproximado
24,-0.008636874448000736,0.23552039547694825,-0.036671450175303724,0.9707469727851555,-0.3960679250075806,0.3787941761115792,242,111.3903120440248,3.948837778616614e-21,2SLS_manual_aproximado
