h,nobs,first_stage_f,first_stage_pvalue,coef_instrumento,pvalor_instrumento,r2_first_stage
0,266,127.10254376451482,8.554565543425317e-24,0.5355167880472899,1.7641848850470237e-29,0.6184729939292053
1,265,126.27170914080523,1.1695170227042076e-23,0.5343074475551991,2.681390039197851e-29,0.6186552558355846
2,264,125.707228758545,1.4660586979699537e-23,0.5329062113953607,3.5636364117338425e-29,0.6188631822689874
3,263,125.46620047070569,1.6540555902771755e-23,0.5324280325908495,4.0238555449088243e-29,0.6183051718119539
4,262,124.86518216239278,2.0982924618137784e-23,0.5318950609371528,5.447265109448761e-29,0.6184022504987907
5,261,123.02209151976923,3.991842471291133e-23,0.5307827162054111,1.3790485683497586e-28,0.6170180350909924
6,260,121.87490970959092,6.055341471629095e-23,0.5328848622358895,2.4586084954238503e-28,0.6171999517894798
7,259,120.01924237990669,1.1595952371408265e-22,0.5313213814723845,6.265001572009042e-28,0.617725642405206
8,258,120.01373219080308,1.209980595167254e-22,0.5316490626950203,6.282427951633327e-28,0.6178072775321293
9,257,119.80324871882186,1.3506706355189218e-22,0.5315723636773403,6.9856767801277355e-28,0.6176693904330678
10,256,119.10022941163388,1.7721225233073269e-22,0.5307758866028955,9.956911229042158e-28,0.6179087942395189
11,255,118.11615451801569,2.5500013802613315e-22,0.5303151262477923,1.6352579119332688e-27,0.6173410809637307
12,254,117.21355766006826,3.5730799869398616e-22,0.5298478820557248,2.577633823835849e-27,0.616941489582183
13,253,116.7589550911099,4.321029671135723e-22,0.5290417784469628,3.24165575925242e-27,0.6173204747460905
14,252,114.41992757866483,9.72729324831775e-22,0.5255151381326904,1.0543907507371254e-26,0.6174449530206506
15,251,112.71471333367987,1.780012668605279e-21,0.52444398648188,2.4916649249507977e-26,0.6167518167929952
16,250,112.06400562417753,2.2970771879139208e-21,0.5244331912693588,3.4595914797465993e-26,0.6166897323772836
17,249,111.81026495848867,2.598383303049762e-21,0.5244066350226123,3.9319475053739587e-26,0.6163642230599102
18,248,110.73558745858624,3.860291097118272e-21,0.5322803254114487,6.761329337899154e-26,0.6195688021444004
19,247,111.28271723008173,3.3477005082574406e-21,0.5336971419106771,5.130652297517669e-26,0.6208085935588934
20,246,108.82711154855652,7.870958670017148e-21,0.5312893986504639,1.7707676740095585e-25,0.6188179340066603
21,245,108.92085258763704,7.928581811570716e-21,0.5316399807958095,1.6889714132890526e-25,0.618868233669307
22,244,108.93240800720483,8.210839380371795e-21,0.5306222839767882,1.6791536596377837e-25,0.6191943969065792
23,243,107.91379951110926,1.1976131774143546e-20,0.529517972435447,2.8072592363828767e-25,0.6188278459003268
24,242,108.06855446728999,1.1826766670529392e-20,0.5296361915141329,2.596403831908951e-25,0.6184409235008713
