h,nobs,first_stage_f,first_stage_pvalue,coef_instrumento,pvalor_instrumento,r2_first_stage
0,266,128.4877317962079,5.4545954391455896e-24,0.5361696564658439,8.778819110180507e-30,0.6164588049997166
1,265,127.76206614315844,7.204265526323009e-24,0.5350693530825161,1.2653881806834582e-29,0.6164793945881997
2,264,127.17354085962637,9.101370725369682e-24,0.5336579666880227,1.702189274222428e-29,0.6166620192907344
3,263,126.85769890222551,1.0524856991229288e-23,0.5332031850924555,1.9958313513817608e-29,0.6160839065707053
4,262,126.17643998486764,1.3702487314831405e-23,0.532633512521175,2.8132531964706287e-29,0.6162155808917202
5,261,124.39686287202149,2.549314979277956e-23,0.5316508734124702,6.897252410879428e-29,0.6147863327160672
6,260,123.26448743983416,3.845397850505025e-23,0.5341304422316437,1.2204590115982084e-28,0.6151755786694467
7,259,121.37135254988206,7.441552998832906e-23,0.5325438399163909,3.168985649809735e-28,0.6156890067232811
8,258,121.3925536866771,7.702650225846197e-23,0.5328624492880528,3.1353005374908305e-28,0.6157586998565567
9,257,121.21831340566717,8.500728839406365e-23,0.532835524573065,3.423118518336851e-28,0.6156133306309464
10,256,120.53781745809343,1.1068784761867983e-22,0.5320800196912912,4.823838650420113e-28,0.6154614091345052
11,255,119.60450511638315,1.5655064591057195e-22,0.5317629223604008,7.721823207551564e-28,0.6148431741201034
12,254,118.68447692633143,2.204928086353301e-22,0.5313230814033143,1.2278666731920413e-27,0.6144393273384392
13,253,118.33117958579113,2.57977508295926e-22,0.5304875580045129,1.4672550967659028e-27,0.6148913557174933
14,252,116.19328145507356,5.420013628498471e-22,0.5266787448829815,4.3116011391729826e-27,0.6152882350141791
15,251,114.65295095783192,9.372697073902603e-22,0.5257124238713351,9.374903737886592e-27,0.6145466526620195
16,250,114.02407575559482,1.2005130146653462e-21,0.5258857900941001,1.2873588944803442e-26,0.6144936021855827
17,249,113.7686200834934,1.3594607772380935e-21,0.5258578787354248,1.464367117030298e-26,0.6141675256996834
18,248,112.50905845145964,2.1444648134633258e-21,0.5338056554149591,2.763992371289248e-26,0.6173702514983106
19,247,113.30931797003792,1.7143232481959568e-21,0.5353825888290812,1.8460767553647705e-26,0.618702079516982
20,246,110.78307485912359,4.109024462828273e-21,0.5326982487381919,6.601290452517568e-26,0.6169590032835737
21,245,110.87144594494211,4.151623789292746e-21,0.5330743652636982,6.313484935777794e-26,0.6170399940205391
22,244,111.20335996351628,3.872355646029353e-21,0.5321423748430071,5.34019398956741e-26,0.6178376875242253
23,243,110.2235831725061,5.5693018146090044e-21,0.5307597117675835,8.753894510830929e-26,0.6182511703701321
24,242,110.21453419736456,5.814505886754508e-21,0.5307097731346342,8.793945845741024e-26,0.6178547875841813
