h,nobs,first_stage_f,first_stage_pvalue,coef_instrumento,pvalor_instrumento,r2_first_stage
0,266,129.22848039295238,4.291065254200023e-24,0.5368659711647022,6.044424566907777e-30,0.6136486071008191
1,265,128.58838355816607,5.512009065638052e-24,0.5356685842888995,8.344731340065556e-30,0.6134817326281912
2,264,127.93617118359023,7.108297271456759e-24,0.5343471103422048,1.1591138306489025e-29,0.6136553120853995
3,263,127.59651535123271,8.28497226927736e-24,0.5338814969706486,1.3754663833144762e-29,0.6131180243807115
4,262,126.92682929823246,1.0745001440325006e-23,0.5333770671047297,1.927506537997574e-29,0.6133503415784556
5,261,125.03246035592491,2.0732318051019808e-23,0.5323785004457937,5.006892652709198e-29,0.6119670408341387
6,260,123.94403480727289,3.081749193335343e-23,0.5351559073858771,8.665350098038212e-29,0.612427108111409
7,259,122.10245264849912,5.858947567486771e-23,0.5333399711064737,2.192201143751431e-28,0.6130270980846042
8,258,122.28832593578665,5.749691102626287e-23,0.533841622472328,1.9961511342113735e-28,0.613125324200763
9,257,121.87057881974712,6.87144149542556e-23,0.5336664799360782,2.4639813344644087e-28,0.6130079937306647
10,256,121.04634663901716,9.375794793034693e-23,0.533295072133797,3.7330811308094145e-28,0.6129035236881863
11,255,119.86069907242926,1.439719758714395e-22,0.532744232469953,6.786265790091755e-28,0.6123651289759048
12,254,119.2514381361577,1.8316173419198406e-22,0.5324932597659227,9.226118005375245e-28,0.6118802786275954
13,253,118.68535157030945,2.2975659884192903e-22,0.5315406951248858,1.2273253683051628e-27,0.6123980867515739
14,252,115.99451340751095,5.786294349632114e-22,0.5274058729537853,4.766132926579967e-27,0.6133184544401957
15,251,113.84101206591163,1.2256059428117595e-21,0.5259774114523174,1.4118691450046208e-26,0.612716017857348
16,250,113.42871344218038,1.4614476924068547e-21,0.5266845977785277,1.7381951487945892e-26,0.6127634162976432
17,249,113.36425428147767,1.553519897804031e-21,0.5266794176075114,1.795630654109319e-26,0.6124432142632763
18,248,112.21390957953355,2.364332494389896e-21,0.534719553241011,3.207659590121298e-26,0.6157236845110272
19,247,112.61880431622374,2.152373117502415e-21,0.5356616263435005,2.6151567310879576e-26,0.616762725772163
20,246,109.78337101168039,5.725301545471494e-21,0.5327476004584122,1.0930650817270844e-25,0.6146481214526831
21,245,110.06796188553251,5.416835167344287e-21,0.5330936400130987,9.468812318770115e-26,0.614768883192514
22,244,109.24190330192556,7.409052465391206e-21,0.531294130241219,1.436412327653019e-25,0.6162174574961703
23,243,108.08612222757523,1.1308978464559779e-20,0.5299095564409031,2.573491740506756e-25,0.6160077643065145
24,242,108.18193486513674,1.1389925818582613e-20,0.5300090948211073,2.45204439526175e-25,0.615611598253434
