h,nobs,first_stage_f,first_stage_pvalue,coef_instrumento,pvalor_instrumento,r2_first_stage
0,266,130.0566072925364,3.2834809548007612e-24,0.5368245478066493,3.982566318768654e-30,0.6159540511496296
1,265,128.9440475640562,4.912976160090281e-24,0.5354113557713946,6.975736930931145e-30,0.6160288879905542
2,264,128.17447121992456,6.580704836359725e-24,0.5336058598330109,1.0279734023714677e-29,0.6169570134625671
3,263,128.04757902909287,7.160617793037126e-24,0.5336206182521742,1.0958421846740935e-29,0.6162704012565067
4,262,127.24279327929109,9.700921463178838e-24,0.5329236788201704,1.643816940606593e-29,0.6164848097920468
5,261,126.31356126951334,1.3683572571559817e-23,0.5322785857483787,2.625433690337014e-29,0.6150113649122458
6,260,125.34972633364944,1.9521834551160182e-23,0.535272173136113,4.2671017785948356e-29,0.6155856553077648
7,259,123.26711165993336,4.00732620866708e-23,0.533510156569784,1.2188459134951266e-28,0.6162120283828407
8,258,122.93201827009753,4.662232754404026e-23,0.5334896668445549,1.4430961873542238e-28,0.6162010357480112
9,257,122.88622119838492,4.9375775626442644e-23,0.5335357366497128,1.4767930236465248e-28,0.6160571374000234
10,256,122.45007891451756,5.93708087436997e-23,0.5331348461762576,1.8398680694951543e-28,0.6157593019906956
11,255,121.28500587649644,9.047934846621483e-23,0.5325779058107478,3.309956643743755e-28,0.6152147602769038
12,254,120.56364164451321,1.1937413192176303e-22,0.5322541077203123,4.7614512997570595e-28,0.6147613652173898
13,253,119.95957764875418,1.5159892331594514e-22,0.531091017153404,6.456296450592346e-28,0.6156279677712302
14,252,117.64959880945497,3.3608286555482566e-22,0.5264784180865425,2.0689165313388793e-27,0.6172132882777415
15,251,115.32014574673217,7.522507746999876e-22,0.5249232755636856,6.696507441003184e-27,0.616649444122013
16,250,115.02235729491689,8.639673236564733e-22,0.5253186417063161,7.781519389537362e-27,0.6166434347801338
17,249,114.86785797621079,9.46676846814546e-22,0.5253238407253217,8.412024031683029e-27,0.6163141050279907
18,248,113.80926025090419,1.396524534931434e-21,0.533604024305163,1.434659437893208e-26,0.6196558404562729
19,247,114.64376728034486,1.1058967152613703e-21,0.5351384856061734,9.418421674355657e-27,0.6207960770744232
20,246,112.68960308091738,2.1891058703407022e-21,0.5327859977294858,2.5234216152409282e-26,0.6189128985338562
21,245,112.61637950335381,2.335286167608605e-21,0.5330525301555158,2.618356995316754e-26,0.618918594041673
22,244,112.27757030086032,2.718930157108701e-21,0.531190994805274,3.106300520456159e-26,0.6205676505248454
23,243,111.10773320150962,4.16074456149043e-21,0.5298728915678694,5.604097892076154e-26,0.6202661814575426
24,242,111.3903120440248,3.948837778616614e-21,0.5301527245010342,4.8596213102990227e-26,0.6199043588974992
