modelo,resposta,h,first_stage_f,first_stage_pvalor,r2_primeiro_estagio,nobs
bloco_F_lpiv_oil_supply_news_dln_petroleo_brl_para_dln_diesel,dln_diesel,3,76.35766427428824,5.200721737009771e-16,0.6074901980403777,266
bloco_F_lpiv_oil_supply_news_dln_petroleo_brl_para_dln_diesel,dln_diesel,6,75.96049958064027,6.412790573050146e-16,0.6083395494252015,263
bloco_F_lpiv_oil_supply_news_dln_petroleo_brl_para_dln_diesel,dln_diesel,12,73.19157979508716,2.061334321891445e-15,0.60851304817223,257
bloco_F_lpiv_oil_supply_news_dln_petroleo_brl_para_dln_diesel,dln_diesel,24,69.08585177000754,1.2390804794954976e-14,0.6122639718499121,245
bloco_F_lpiv_oil_supply_news_dln_petroleo_brl_para_dln_gasolina_refinaria,dln_gasolina_refinaria,3,79.01462809189489,1.907093794862158e-16,0.6117358890503364,266
bloco_F_lpiv_oil_supply_news_dln_petroleo_brl_para_dln_gasolina_refinaria,dln_gasolina_refinaria,6,78.54562846927855,2.4206580730095765e-16,0.6134252024719804,263
bloco_F_lpiv_oil_supply_news_dln_petroleo_brl_para_dln_gasolina_refinaria,dln_gasolina_refinaria,12,75.64808882842028,8.144095871422772e-16,0.6138567375082835,257
bloco_F_lpiv_oil_supply_news_dln_petroleo_brl_para_dln_gasolina_refinaria,dln_gasolina_refinaria,24,69.69001358081104,9.850947262638699e-15,0.6163726966337647,245
bloco_F_lpiv_oil_supply_news_dln_petroleo_brl_para_ipca_transporte_mensal,ipca_transporte_mensal,3,79.72521092811537,1.4605575828142774e-16,0.6103176802064059,266
bloco_F_lpiv_oil_supply_news_dln_petroleo_brl_para_ipca_transporte_mensal,ipca_transporte_mensal,6,79.32507620526691,1.8075871152498502e-16,0.6118446675404876,263
bloco_F_lpiv_oil_supply_news_dln_petroleo_brl_para_ipca_transporte_mensal,ipca_transporte_mensal,12,76.47380401974557,5.971310062083027e-16,0.6121400069885327,257
bloco_F_lpiv_oil_supply_news_dln_petroleo_brl_para_ipca_transporte_mensal,ipca_transporte_mensal,24,71.8596425261967,4.3411086456628304e-15,0.6182014693342153,245
bloco_F_lpiv_oil_supply_news_dln_petroleo_brl_para_ipca_geral_mensal,ipca_geral_mensal,3,74.31718984896732,1.130781448170812e-15,0.6170810126903272,266
bloco_F_lpiv_oil_supply_news_dln_petroleo_brl_para_ipca_geral_mensal,ipca_geral_mensal,6,73.73422663368386,1.4944840724621935e-15,0.619440697139525,263
bloco_F_lpiv_oil_supply_news_dln_petroleo_brl_para_ipca_geral_mensal,ipca_geral_mensal,12,71.56628714055245,3.827797603800089e-15,0.6189720576218154,257
bloco_F_lpiv_oil_supply_news_dln_petroleo_brl_para_ipca_geral_mensal,ipca_geral_mensal,24,67.87577162894797,1.964829856769949e-14,0.6256278164467735,245
