h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.5177904481854086,0.12212371379245912,4.239884557272456,2.2363476780452442e-05,0.31689693899681337,0.7186839573740039,266
1,0.9851990422171415,0.20762629933268476,4.745059009304658,2.0844556062260276e-06,0.6436537798148751,1.3267443046194078,265
2,1.2869786517248374,0.3097201197452434,4.155295602957362,3.248672545136496e-05,0.7774890547439121,1.7964682487057626,264
3,1.1863582311111958,0.3413915305364597,3.475066382715947,0.0005107269483613606,0.6247691633787196,1.747947298843672,263
4,1.117180748650544,0.36918857187889326,3.0260436908025916,0.0024777649693748047,0.5098655479097647,1.7244959493913234,262
5,1.0531080373647093,0.4542306874383957,2.3184431754350268,0.02042524786942475,0.30589855652854836,1.8003175182008702,261
6,1.0917014490393653,0.5693792608070646,1.9173537292031624,0.05519300834189199,0.15507256501174405,2.0283303330669864,260
7,1.1739426782585443,0.623214439302287,1.8836897931518066,0.05960694786618066,0.14875492560628212,2.1991304309108064,259
8,1.401247159693604,0.6630022886036689,2.1134876663016238,0.03455904956377088,0.3106083949405687,2.491885924446639,258
9,1.377673540234077,0.7126855488861903,1.9330734885632983,0.053227145464606114,0.20530581231629386,2.55004126815186,257
10,1.483259781413385,0.7649550342811436,1.9390156479030938,0.05249943280126539,0.2249087500209037,2.7416108128058663,256
11,1.4037633287898192,0.7692373658041997,1.8248766781138537,0.06801964134042288,0.13836786204191087,2.6691587955377276,255
12,1.0841768329018107,0.7347347328029289,1.4756030775431022,0.14005047848002933,-0.1244618025590074,2.2928154683626287,254
