h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.1475146344131568,0.05529981176250935,2.6675431563252574,0.007640807537850016,0.0565464440638289,0.23848282476248467,266
1,0.2768735101817474,0.09931300400986322,2.7878877790691927,0.0053052918008337415,0.11350361858552238,0.4402434017779724,265
2,0.30188391739346926,0.1276952090522895,2.364097444484795,0.018074057910657887,0.09182529850245302,0.5119425362844855,264
3,0.23772750056773592,0.1302133285075407,1.8256771660204436,0.06789890463173515,0.023526575172831493,0.4519284259626404,263
4,0.16958245633126828,0.13188610803945924,1.2858250110810048,0.1985041393174164,-0.04737019139364218,0.38653510405617875,262
5,0.18874724561362372,0.14885025509510344,1.268034411449475,0.2047856620603299,-0.05611142401782146,0.43360591524506886,261
6,0.17754972470183714,0.17594131737112095,1.009141726086565,0.3129066691858565,-0.11187374237365685,0.4669731917773311,260
7,0.13412401772474833,0.1906050987690736,0.7036748680435114,0.4816352748870084,-0.17942136975037778,0.4476694051998744,259
8,0.14158168349555644,0.19529704540752052,0.72495558342996,0.46847927964403135,-0.1796819561998148,0.4628453231909277,258
9,0.06480923193632185,0.2037644059043381,0.3180596319003234,0.7504397038673722,-0.2703832157763143,0.40000167964895805,257
10,0.05511817606744307,0.21345385701333336,0.2582205673800503,0.7962366855743374,-0.29601341871949033,0.40624977085437647,256
11,0.016307182664993616,0.23516119630822854,0.06934470023540619,0.9447152457059367,-0.37053298526204237,0.40314735059202955,255
12,-0.06279357717974719,0.26743653259646466,-0.2347980530935783,0.8143654789122462,-0.5027266733009316,0.37713951894143716,254
