h,coef_iv,se_iv,t_iv,pvalor_iv,ci_low,ci_high,nobs,first_stage_f,first_stage_pvalue,metodo
0,0.3658484264547218,0.28067224766116283,1.3034720372367794,0.192413656864731,-0.09585742094789107,0.8275542738573347,266,125.6862316210125,1.6065852180561113e-23,2SLS_manual_aproximado
1,1.0017778283660317,0.5848253622269781,1.7129520931707285,0.0867213534328618,0.039740107502652666,1.9638155492294107,265,124.85899026809746,2.1934785315278117e-23,2SLS_manual_aproximado
2,1.249066517509673,0.8158532073971944,1.5309941864352696,0.12577082946230977,-0.09301200865871184,2.5911450436780576,264,124.35706746388168,2.694347496310163e-23,2SLS_manual_aproximado
3,0.9096591476044255,0.8461606437347758,1.0750430835324372,0.282355439738205,-0.4822751113392808,2.3015934065481316,263,124.15014414247544,3.007151488416594e-23,2SLS_manual_aproximado
4,0.32297588941381955,0.9022081288947552,0.35798379450369094,0.7203554411018779,-1.161156482618053,1.807108261445692,262,123.55940485685619,3.802032466440457e-23,2SLS_manual_aproximado
5,0.04807070744808462,1.0158625202404814,0.047320091538277265,0.96225811528634,-1.6230231383475073,1.7191645532436766,261,121.84104639478112,6.937898368387316e-23,2SLS_manual_aproximado
6,-0.1735039106797537,1.113686767065932,-0.1557923788004226,0.876196678110644,-2.005518642503212,1.6585108211437045,260,120.69505977864715,1.0514696461476579e-22,2SLS_manual_aproximado
7,-0.24073861373537248,1.149854826315073,-0.20936435472194767,0.8341638169285304,-2.1322498030236674,1.6507725755529226,259,118.71825987549124,2.0927085005407435e-22,2SLS_manual_aproximado
8,0.10888646135885915,1.2068272967616964,0.09022538821506304,0.9281081097246848,-1.8763444418141315,2.09411736453185,258,118.87898557593161,2.0689076519830163e-22,2SLS_manual_aproximado
9,0.3406187934193765,1.2246860190342646,0.27812744501482434,0.7809145284920168,-1.6739897078919888,2.3552272947307418,257,118.40725701672287,2.5163421382064468e-22,2SLS_manual_aproximado
10,0.19679960676087427,1.268365086717795,0.1551600629990072,0.8766951320360162,-1.8896609608898984,2.283260174411647,256,117.59129411240373,3.425612393936008e-22,2SLS_manual_aproximado
11,-0.18409388922415842,1.351246670882418,-0.13624003166197463,0.8916315294962176,-2.4068946628257364,2.038706884377419,255,116.56066619526689,5.003982298811629e-22,2SLS_manual_aproximado
12,-0.6101839886543038,1.3664636243902721,-0.4465424309604825,0.6552054698454048,-2.8580166507763014,1.6376486734676936,254,115.90900791777263,6.456144984636169e-22,2SLS_manual_aproximado
