h,coef_iv,se_iv,t_iv,pvalor_iv,ci_low,ci_high,nobs,first_stage_f,first_stage_pvalue,metodo
0,0.028260997208277006,0.03641477938522014,0.7760859103199028,0.43769826226678044,-0.031641314880410124,0.08816330929696414,266,127.3226784720803,9.453559557433268e-24,2SLS_manual_aproximado
1,0.12211678512104313,0.06225422522553244,1.9615822810201666,0.04981113685766853,0.019708584625042255,0.22452498561704398,265,126.10922368159135,1.461963261727571e-23,2SLS_manual_aproximado
2,0.1592795851021957,0.08505886294228546,1.8725806999121402,0.06112630852182796,0.01935775556213612,0.29920141464225525,264,125.44995122858141,1.8897945446628587e-23,2SLS_manual_aproximado
3,0.1709287474330756,0.09893651098551486,1.7276609588355205,0.08404902688960034,0.008178186861903664,0.3336793080042475,263,125.43038138920213,1.985796547639876e-23,2SLS_manual_aproximado
4,0.13309111765002712,0.10914213705313082,1.219429280418413,0.22268130220571125,-0.04644769780237307,0.3126299331024273,262,124.62901688496746,2.687680841052834e-23,2SLS_manual_aproximado
5,0.17640876340347827,0.12165126514462649,1.4501186090728504,0.14702544660299602,-0.023707567759432308,0.37652509456638883,261,123.72374917469028,3.762490035222737e-23,2SLS_manual_aproximado
6,0.1462985744649471,0.13519853452339917,1.0821017770693868,0.2792073062755742,-0.07610301482604453,0.3687001637559387,260,122.85787118971787,5.2009337731084156e-23,2SLS_manual_aproximado
7,0.12180654360164023,0.1409617364500358,0.864110691803338,0.3875270861248775,-0.11007551285866865,0.35368860006194913,259,120.72187082926332,1.0869387488913653e-22,2SLS_manual_aproximado
8,0.1315176027088878,0.14225034733369515,0.9245503098869055,0.3551998704060626,-0.10248421865504073,0.36551942407281635,258,120.3637738956429,1.2740366152601568e-22,2SLS_manual_aproximado
9,0.08884890360640485,0.14923944098176875,0.5953446556882958,0.5516131118587771,-0.15664997680860474,0.3343477840214144,257,120.34059298461294,1.3391734506074405e-22,2SLS_manual_aproximado
10,0.0789257474804824,0.1665506866949467,0.4738842513753327,0.635582450185451,-0.19505013213270492,0.3529016270936697,256,119.89943891171136,1.6128864426592817e-22,2SLS_manual_aproximado
11,0.08786303031580292,0.1832907399802185,0.4793642620750261,0.6316795130055055,-0.2136502369516565,0.3893762975832623,255,118.82686776033661,2.3857043124645306e-22,2SLS_manual_aproximado
12,0.03375512726531027,0.20855089179487196,0.16185558822021912,0.8714195770375073,-0.30931108973725413,0.37682134426787467,254,118.11422710487354,3.138953543436554e-22,2SLS_manual_aproximado
