h,nobs,first_stage_f,first_stage_pvalue,coef_instrumento,pvalor_instrumento,r2_first_stage
0,266,123.40662386346087,3.377142140578943e-23,0.5359005751051477,1.1360889099017733e-28,0.6191028506077115
1,265,122.40445002200744,4.885657643615739e-23,0.5345676612648227,1.8826714232786194e-28,0.6192211058741186
2,264,121.99943424091751,5.813455253830158e-23,0.5332855290676224,2.309037366983037e-28,0.6194855041177724
3,263,121.89481288383881,6.270318319839454e-23,0.5327896248238395,2.4340671705403097e-28,0.6189633343660863
4,262,121.38739432215871,7.715651563264707e-23,0.5322977234705972,3.1434648018255074e-28,0.6191171573972287
5,261,119.74478881594882,1.3768143371814016e-22,0.5311090412126491,7.194608728106894e-28,0.6177859106513124
6,260,118.53901158027452,2.13071792073898e-22,0.533428937450821,1.3212974826856575e-27,0.6180700356476124
7,259,116.56013276988787,4.256764236101727e-22,0.5318975093763763,3.583476880646503e-27,0.6184897613089673
8,258,116.52677298601436,4.479710874916759e-22,0.5323601092992236,3.64426311390512e-27,0.6186264853711599
9,257,116.29020069699659,5.0417534183027675e-22,0.5323253755677013,4.105960522561349e-27,0.6184821391233211
10,256,115.63066728805138,6.522769141930607e-22,0.5316394586803541,5.725919481156862e-27,0.6188668130378274
11,255,114.81728689032359,8.87816819440074e-22,0.5311025468815834,8.629306614432722e-27,0.618350917896827
12,254,113.88337803600362,1.2575882495385805e-21,0.5307269968092512,1.3820232775853632e-26,0.6179031424081775
