h,nobs,first_stage_f,first_stage_pvalue,coef_instrumento,pvalor_instrumento,r2_first_stage
0,266,125.6862316210125,1.6065852180561113e-23,0.5370599880143926,3.6015427678056045e-29,0.6142549270361584
1,265,124.85899026809746,2.1934785315278117e-23,0.5357997357399666,5.464289083992648e-29,0.6140399418890672
2,264,124.35706746388168,2.694347496310163e-23,0.5345620011762358,7.036974640708752e-29,0.6142755434233351
3,263,124.15014414247544,3.007151488416594e-23,0.5340780085123942,7.810428064992258e-29,0.6137770771786002
4,262,123.55940485685619,3.802032466440457e-23,0.5336090754895126,1.0518937290416014e-28,0.6140730134449401
5,261,121.84104639478112,6.937898368387316e-23,0.5325359653884836,2.5009332162182326e-28,0.6127474099356185
6,260,120.69505977864715,1.0514696461476579e-22,0.5355474027536222,4.456249126094109e-28,0.6133342538064643
7,259,118.71825987549124,2.0927085005407435e-22,0.5337917369525513,1.2071313710333688e-27,0.6138160603182121
8,258,118.87898557593161,2.0689076519830163e-22,0.5344639902238968,1.113177346719547e-27,0.6139757929945895
9,257,118.40725701672287,2.5163421382064468e-22,0.5343280044637694,1.412044304689884e-27,0.6138421926990483
10,256,117.59129411240373,3.425612393936008e-22,0.534047912939277,2.130637454346316e-27,0.6138734356402873
11,255,116.56066619526689,5.003982298811629e-22,0.5334328798379077,3.582513186821599e-27,0.6133892441233324
12,254,115.90900791777263,6.456144984636169e-22,0.5332767540246383,4.97612075962558e-27,0.6128837288880624
