h,nobs,first_stage_f,first_stage_pvalue,coef_instrumento,pvalor_instrumento,r2_first_stage
0,266,127.3226784720803,9.453559557433268e-24,0.5371999961344709,1.5789645462453557e-29,0.6170803661030896
1,265,126.10922368159135,1.461963261727571e-23,0.5357754362094345,2.9101716040315163e-29,0.6170826489599854
2,264,125.44995122858141,1.8897945446628587e-23,0.5339838035170557,4.0569397003385563e-29,0.6181614768334613
3,263,125.43038138920213,1.985796547639876e-23,0.5339392937229838,4.0971460604795945e-29,0.6174778872438316
4,262,124.62901688496746,2.687680841052834e-23,0.533178638182908,6.135725223052965e-29,0.6177816640267324
5,261,123.72374917469028,3.762490035222737e-23,0.5324521707246361,9.682796607606802e-29,0.6163543479854432
6,260,122.85787118971787,5.2009337731084156e-23,0.5356796458299189,1.4980457471068572e-28,0.6170970836322504
7,259,120.72187082926332,1.0869387488913653e-22,0.5340284520406532,4.396428887562801e-28,0.6175787621851494
8,258,120.3637738956429,1.2740366152601568e-22,0.5341157452276564,5.266166791975656e-28,0.617572945211254
9,257,120.34059298461294,1.3391734506074405e-22,0.5342366333493,5.328064059076759e-28,0.6174412246978398
10,256,119.89943891171136,1.6128864426592817e-22,0.5338504669727788,6.655023117498135e-28,0.6172577752800411
11,255,118.82686776033661,2.3857043124645306e-22,0.5331821049725239,1.1428132878191769e-27,0.6167740401060042
12,254,118.11422710487354,3.138953543436554e-22,0.5329623275312303,1.636847718262772e-27,0.6162889776364455
