h,nobs,first_stage_f,first_stage_pvalue,coef_instrumento,pvalor_instrumento,r2_first_stage
0,266,128.71903292798797,6.0246448367212374e-24,0.5366822588661285,7.81312900630757e-30,0.6181740835624511
1,265,127.70206182614214,8.73728293530711e-24,0.535276506709977,1.3042294906656742e-29,0.6182312347563306
2,264,127.06774754175747,1.1201761157817218e-23,0.5339339966572154,1.795388980150843e-29,0.6185300347240232
3,263,126.99540941199167,1.1982157922262626e-23,0.5334255912463788,1.8620372322752956e-29,0.618027027930574
4,262,126.23204588695748,1.601392159036793e-23,0.5328053515578831,2.7355202659647226e-29,0.6182792662560939
5,261,124.78455836650835,2.669227870126415e-23,0.5318926789864216,5.673144417277461e-29,0.6168725529246694
6,260,123.23440369524972,4.6031848614345094e-23,0.5341994841688877,1.2391046208722252e-28,0.6171463933405273
7,259,120.82529133396075,1.0509115331326437e-22,0.5322074395632185,4.173107646925904e-28,0.6177616632809162
8,258,120.80421185001096,1.1038335458800014e-22,0.5326842647104825,4.217685805752655e-28,0.6178947656651319
9,257,121.04556884945963,1.0649916125385241e-22,0.5329534702644534,3.7345449966569747e-28,0.6178175462865197
10,256,120.26614450946627,1.4316632556310753e-22,0.5320279403069335,5.531818870865416e-28,0.6176283345688678
11,255,119.56678289805798,1.8752640975783643e-22,0.5316364332567284,7.870068755456418e-28,0.617052904426091
12,254,118.87517509733075,2.4502165102223918e-22,0.5313933731997886,1.1153178238256389e-27,0.6165766613107138
