h,coef,se,t,pvalor,ci_low,ci_high
0,0.7277472228511257,0.15488806369861802,4.698536513873528,2.620323471309809e-06,0.47295635806689906,0.9825380876353523
1,1.45310354638894,0.2718667110400092,5.344911632726871,9.046117499613057e-08,1.0058828067281247,1.9003242860497551
2,1.9785621572396968,0.41637051883854687,4.7519266319787405,2.0148748861319814e-06,1.2936326537502871,2.6634916607291066
3,1.9359382142333617,0.49000355316325156,3.950865665638095,7.786902499928135e-05,1.1298823692798128,2.7419940591869105
4,2.004233864146165,0.5138614514841543,3.900339008418437,9.605808528440864e-05,1.158931776454731,2.849535951837599
5,1.975406683720662,0.5817271869770945,3.395761325829944,0.000684380084623522,1.0184654611433417,2.9323479062979825
6,2.073294324667972,0.6433192144558715,3.2228080213982007,0.0012694060102024997,1.0150342168880633,3.1315544324478806
7,2.1466559966037653,0.6367049452420254,3.3715082828322855,0.0007475779071163054,1.0992763616806336,3.194035631526897
8,2.282704476258571,0.6073777268931074,3.758294674279857,0.00017107533914615978,1.2835681155194094,3.2818408369977328
9,2.3251053386058755,0.6117052505322855,3.801022365890511,0.00014410029287483748,1.3188502014802659,3.3313604757314854
10,2.377272122100716,0.6826543942560128,3.482394813691301,0.0004969504114824649,1.2543056435495747,3.5002386006518567
11,2.0424470121591147,0.7063373583816969,2.891602699365363,0.0038328230023608415,0.8805220576212234,3.204371966697006
12,1.919935518609578,0.710063102956495,2.7038942181554404,0.006853210219531029,0.7518817142461436,3.087989322973012
