h,coef,se,t,pvalor,ci_low,ci_high
0,0.42385756012139664,0.28682437552046536,1.4777598987264378,0.13947205543671454,-0.04796853760976888,0.8956836578525622
1,1.517840063140279,0.47725440817015435,3.180358394089735,0.0014709300944061496,0.7327565617003752,2.302923564580183
2,1.832339852486029,0.6298857556238353,2.909003475830772,0.0036258282875845124,0.7961777844848199,2.868501920487238
3,1.8671409201714175,0.7034850661016527,2.6541301445361714,0.007951315308557964,0.7099079864341988,3.024373853908636
4,1.5140799835577508,0.7966927542334856,1.9004565756525276,0.05737322844856036,0.2035204028436668,2.824639564271835
5,1.6493705401035381,0.8128595582150119,2.0290965683241167,0.04244845537759463,0.31221656683984356,2.9865245133672325
6,2.354305100645406,0.8530136188428101,2.7599853608893525,0.00578039516613438,0.9510976976489831,3.757512503641829
7,2.421730509380268,0.9766309873828953,2.4796781390992364,0.013150102492078245,0.8151725351354051,4.028288483625131
8,2.39046352085469,1.0418973178840525,2.2943369560729714,0.021771151365974992,0.6765424329354237,4.104384608773956
9,2.6780679512151346,1.1556770209677563,2.3173152209711136,0.020486566759468573,0.7769792517231755,4.579156650707094
10,2.5868885741609855,1.0580610279116522,2.4449332372319357,0.014487895820866828,0.8463781832463175,4.327398965075654
11,1.5176455216401867,0.9977424419492646,1.521079446791098,0.12823990155711157,-0.12364079536635364,3.158931838646727
12,1.2962009489832982,1.0413027412190334,1.2447878005832005,0.21320976161532246,-0.4167420603220118,3.0091439582886084
