h,coef,se,t,pvalor,ci_low,ci_high
0,0.7108444012514075,0.15712330816312198,4.524118092736594,6.0647856273651716e-06,0.4523765593230718,0.9693122431797432
1,1.4626602183782278,0.2995819559100852,4.882337502386901,1.0483562236084281e-06,0.9698479009061376,1.955472535850318
2,1.6668902460717754,0.4648590634808914,3.5857970232741194,0.000336050270555584,0.9021970866457091,2.431583405497842
3,1.5954655820635881,0.5034758708377811,3.1689017775742503,0.0015301609673060148,0.7672477745354381,2.423683389591738
4,1.4063987436760403,0.5340326833161007,2.633544327180393,0.008449880513342141,0.5279149796210547,2.2848825077310257
5,1.3044871674553402,0.534246191417765,2.441734145064348,0.014616906263843347,0.4256521825731169,2.1833221523375634
6,1.1707223592338256,0.5208070020388681,2.2479005747823146,0.024582530523293643,0.3139948408798876,2.0274498775877636
7,0.9729062074024308,0.6175943097153924,1.5753160158661075,0.11518351895546276,-0.043036432079389675,1.9888488468842513
8,1.1910608716589146,0.6684116989518311,1.7819270271999654,0.07476113244814327,0.09152362688315252,2.2905981164346767
9,1.3490935830080184,0.7364138887258053,1.8319773753076742,0.06695479144131941,0.13769273605406873,2.560494429961968
10,1.3218482978381876,0.765310387328203,1.7272054838467958,0.08413076633581121,0.06291271068329363,2.5807838849930818
11,0.910655936664313,0.7768341740192749,1.172265545364277,0.24109046007398094,-0.36723627959739424,2.1885481529260202
12,0.701637947067247,0.7634245006909263,0.9190665827887889,0.3580607469173983,-0.5541953565693266,1.9574712507038208
