h,coef,se,t,pvalor,ci_low,ci_high
0,0.7345247194309779,0.184039589213375,3.991123445615671,6.576103751031434e-05,0.431779595174976,1.0372698436869796
1,1.5101068702479896,0.38706468749141304,3.9014328070976276,9.562500585724203e-05,0.8733854593246152,2.146828281171364
2,1.769866258681153,0.5564131494263009,3.180849087599751,0.001468441026320296,0.854566627874888,2.6851658894874184
3,1.6555586023171116,0.6227614493626367,2.65841535954335,0.007850906813013054,0.6311160181155744,2.680001186518649
4,1.4701082842153177,0.6913830720181153,2.126329590228669,0.03347582588227211,0.332783130745518,2.6074334376851174
5,1.3480582821666667,0.735363634318696,1.833185949446118,0.06677492266546374,0.13838510371241175,2.5577314606209214
6,1.1962505532428713,0.7101163939415248,1.684583771687121,0.09206890452144427,0.02810908520906308,2.3643920212766796
7,1.1126225811122368,0.700863715380935,1.5875020445415722,0.11239898427636417,-0.040298230689401304,2.265543392913875
8,1.2629019423620214,0.7042177398450404,1.7933401431209566,0.0729185522701409,0.10446376031692983,2.421340124407113
9,1.5782966686425222,0.7011110877811083,2.2511363693270776,0.024376901533137187,0.4249689292425989,2.731624408042445
10,1.6637408306407206,0.7498307788333017,2.2188217363248492,0.026498854630680014,0.43026919945993924,2.897212461821502
11,1.4717438103607527,0.77875134833724,1.8898764201219858,0.058774489853545595,0.19069784234599285,2.7527897783755124
12,1.1328639616789984,0.7929087343212898,1.4287444602923964,0.15307769398652032,-0.17147090627952344,2.43719882963752
