h,coef,se,t,pvalor,ci_low_90,ci_high_90,ci_low_95,ci_high_95
0,0.6832521850022653,0.15102439215705202,4.524118092736591,6.064785627365261e-06,0.43481705990391467,0.9316873101006158,0.3872443763744433,0.9792599936300872
1,1.405885434792033,0.2879533490064365,4.882337502386916,1.0483562236083466e-06,0.9322021756764451,1.879568693907621,0.8414968707394176,1.9702739988446485
2,1.6021880467547083,0.44681504177605386,3.5857970232741936,0.0003360502705554885,0.8671773030330997,2.3371987904763167,0.7264305648736428,2.477945528635774
3,1.5335358105399453,0.4839328947941857,3.168901777574245,0.0015301609673060417,0.7374661986035097,2.329605422476381,0.5850273367433413,2.482044284336549
4,1.3518078118213135,0.5133036106016884,2.633544327180439,0.008449880513341003,0.5074233723815361,2.196192251261091,0.3457327350420043,2.3578828886006225
5,1.2538520468082706,0.5135088311488841,2.441734145064265,0.014616906263846716,0.40913001956835615,2.098574074048185,0.24737473775645769,2.260329355860083
6,1.1252794684312646,0.5005912988568287,2.2479005747822622,0.024582530523296994,0.30180678181178133,1.9487521550507478,0.14412052267188025,2.1064384141906487
7,0.9351417706037128,0.5936216995099827,1.5753160158660726,0.11518351895547078,-0.041365925090208644,1.9116494662976344,-0.22835676043585318,2.098640301643279
8,1.144828518869974,0.6424665552488544,1.7819270271999352,0.07476113244814817,0.08797103548560847,2.2016860022543394,-0.1144059294177806,2.4040629671577287
9,1.2967270147166374,0.7078291643743063,1.8319773753076338,0.06695479144132542,0.13234803932090355,2.4611059901123715,-0.09061814745700292,2.684072176890278
10,1.2705392856010584,0.7356040132361359,1.727205483846651,0.0841307663358372,0.060470683827615,2.480607887374502,-0.17124458034176793,2.7123231515438846
11,0.8753078133777417,0.74668049132652,1.1722655453642667,0.24109046007398494,-0.35298159485438374,2.103597221609867,-0.5881859496222377,2.338801576377721
12,0.6744030895794378,0.7337913293866537,0.9190665827887935,0.35806074691739587,-0.5326836472616076,1.8814898264204833,-0.7638279160184035,2.1126340951772793
