h,coef,se,t,pvalor,ci_low_90,ci_high_90,ci_low_95,ci_high_95
0,0.16572412041249152,0.04993777182434013,3.318612632446609,0.0009046583023620959,0.083576485761452,0.24787175506353104,0.06784608763678486,0.2636021531881982
1,0.37312950360596936,0.09797012465015281,3.808604969508808,0.00013975301742976372,0.211968648556468,0.5342903586554707,0.18110805929166984,0.5651509479202689
2,0.4575148118491826,0.1477737064696054,3.0960501890320105,0.0019611716345826428,0.2144270647066817,0.7006025589916834,0.16787834716875605,0.7471512765296091
3,0.4611584179715075,0.16072010707065906,2.869326224184032,0.004113472972967884,0.1967738418402733,0.7255429941027416,0.14614700811301573,0.7761698278299992
4,0.43867281646938083,0.17528467995749486,2.502630672433869,0.012327410918604469,0.15032951793930177,0.7270161149994598,0.09511484375269091,0.7822307891860707
5,0.428427181974473,0.18437334117438223,2.323693757706881,0.020141913269204215,0.12513303574261425,0.7317213282063317,0.06705543327268382,0.7897989306762622
6,0.36549490967051257,0.19028047417178867,1.920821940671312,0.05475415940528383,0.05248352965792019,0.6785062896831049,-0.007454819706193216,0.7384446390472184
7,0.3528784239357406,0.22403466306278216,1.575106365736145,0.1152318949444719,-0.015658596802536062,0.7214154446740173,-0.08622951566731246,0.7919863635387936
8,0.41437620829840754,0.2401355668767141,1.7255928127929037,0.08442069328018156,0.019353200786212832,0.8093992158106023,-0.056289502779952094,0.8850419193767671
9,0.47717586520293204,0.2618337351035411,1.8224384455816391,0.06838848558583313,0.04645937095760694,0.9078923594482571,-0.03601825560000843,0.9903699860058726
10,0.5311032587384434,0.2785344069278721,1.9067779259169775,0.05654935098394695,0.07291415934209378,0.9892923581347931,-0.014824178840185942,1.0770306963170728
11,0.42626460488018825,0.28612414029309174,1.4897890280894976,0.1362797169444008,-0.0444096059019477,0.8969388156623241,-0.13453871009427154,0.987067919854648
12,0.3414470242652117,0.29293970633541433,1.1655880608901026,0.2437810372479824,-0.1404387926565449,0.8233328411869683,-0.23271480015220036,0.9156088486826237
