h,coef,se,t,pvalor,ci_low,ci_high,f_stat,modelo
0,1.2530634701071108,0.41120451554064613,3.0472998781630594,0.0023090722293965618,0.576632042042748,1.9294948981714737,0.24647979982643073,LP-IV (Kilian Instrumento)
1,2.0280912395342146,0.7143571150265404,2.8390439415709676,0.00452489253235248,0.8529737853155555,3.203208693752874,0.2471909877263033,LP-IV (Kilian Instrumento)
2,2.3431360087597892,1.0663614372234964,2.1973187766998143,0.027997687568479403,0.5889714445271377,4.097300572992441,0.25475762744279584,LP-IV (Kilian Instrumento)
3,3.5001810444208727,1.375061258663193,2.5454728088432064,0.0109129862734435,1.2382052739199203,5.762156814921825,0.25311429538588254,LP-IV (Kilian Instrumento)
4,5.931482667781107,2.234804765831382,2.6541390811713717,0.007951104719677861,2.2552288279884833,9.60773650757373,0.15417350242760045,LP-IV (Kilian Instrumento)
5,7.145139502057937,2.382255124994279,2.999317506799401,0.0027058516728578315,3.2263298214423477,11.063949182673525,0.16290149830476217,LP-IV (Kilian Instrumento)
6,8.439567467234912,2.7092155446675137,3.115133265733071,0.0018386182156610315,3.9829078962568527,12.896227038212972,0.1626729904602591,LP-IV (Kilian Instrumento)
7,8.547868613501429,2.7605126150934054,3.0964787361466923,0.001958339069795335,4.006825361672776,13.08891186533008,0.1876587136977126,LP-IV (Kilian Instrumento)
8,9.629927199756981,2.9563015052988315,3.2574239070326354,0.0011242839694873157,4.766811223540403,14.49304317597356,0.18339030096005707,LP-IV (Kilian Instrumento)
9,10.080680135533893,3.080172436933477,3.2727648668819014,0.0010650103497593807,5.013796476778323,15.147563794289463,0.1675383651388449,LP-IV (Kilian Instrumento)
10,8.48267708400077,2.7976567216670407,3.0320650200951724,0.002428868794015386,3.8805317768584873,13.084822391143053,0.22482896087770507,LP-IV (Kilian Instrumento)
11,9.16957815136429,3.1289694990393433,2.9305425170106436,0.0033837068609236173,4.02242332544457,14.316732977284008,0.2148532833163845,LP-IV (Kilian Instrumento)
12,9.655725976465613,3.0900194148860622,3.1248107794887905,0.0017791946828542443,4.57264403897804,14.738807913953185,0.24241922331459909,LP-IV (Kilian Instrumento)
