h,coef,se,t,pvalor,ci_low,ci_high,f_stat,modelo
0,4.345710711870844,1.7614969302119223,2.467055512465764,0.013622923614691345,1.4480482616722314,7.243373162069456,0.14769815674664774,LP-IV (Kilian Instrumento)
1,6.976822690148721,2.909016660556422,2.398344012513916,0.01646938952425261,2.1914902835334065,11.762155096764035,0.1481520457379326,LP-IV (Kilian Instrumento)
2,6.455206287078391,4.557268883892669,1.4164637750240812,0.15663976302918953,-1.04150102692505,13.95191360108183,0.15166353789900258,LP-IV (Kilian Instrumento)
3,10.463434906017186,5.710723650552133,1.832243257823471,0.06691518669017156,1.069294500858927,19.857575311175445,0.15259199133307277,LP-IV (Kilian Instrumento)
4,18.671970664132264,9.785130398342158,1.9081984505076963,0.05636557182979303,2.5754311588594128,34.76851016940512,0.07846470640801351,LP-IV (Kilian Instrumento)
5,21.598192078557883,9.759795947850513,2.2129757828917156,0.026899315292481577,5.543327744343788,37.653056412771974,0.09131588254214822,LP-IV (Kilian Instrumento)
6,24.948772032102188,10.84250718828078,2.3010150326732814,0.021390781389045776,7.112847707380304,42.78469635682407,0.08591575260650743,LP-IV (Kilian Instrumento)
7,24.39213808714923,11.218878014981124,2.1742047693697355,0.029689760361164694,5.937083752505281,42.84719242179318,0.10087900777896903,LP-IV (Kilian Instrumento)
8,25.876986689462587,12.169651705182227,2.126353926665242,0.033473800985575335,5.857909634437824,45.89606374448735,0.10169273178641976,LP-IV (Kilian Instrumento)
9,27.494131034734735,13.700677923241836,2.0067715764702183,0.04477399066428275,4.956515851001914,50.03174621846756,0.08966336400462559,LP-IV (Kilian Instrumento)
10,19.198955115529223,11.345404230368226,1.6922230998292163,0.09060344372997647,0.5357651565734898,37.86214507448496,0.13766501361476063,LP-IV (Kilian Instrumento)
11,23.309286895216154,11.473237854570563,2.03162238861199,0.042191898386640725,4.435810624447576,42.18276316598473,0.1276403058675944,LP-IV (Kilian Instrumento)
12,19.070699568388346,9.847518715571798,1.9365994743662696,0.05279432227775047,2.8715312812727376,35.26986785550395,0.15165947007278663,LP-IV (Kilian Instrumento)
