h,coef,se,t,pvalor,ci_low,ci_high,modelo,f_stat
0,0.16572412041249143,0.04993777182434014,3.3186126324466074,0.0009046583023621019,0.08357648576145191,0.24787175506353096,LP-OLS (Kilian Controle),
1,0.37312950360596964,0.09797012465015313,3.8086049695087985,0.00013975301742976908,0.21196864855646774,0.5342903586554715,LP-OLS (Kilian Controle),
2,0.45751481184918363,0.14777370646960483,3.096050189032029,0.001961171634582519,0.21442706470668368,0.7006025589916836,LP-OLS (Kilian Controle),
3,0.4611584179715046,0.1607201070706603,2.8693262241839914,0.004113472972968409,0.19677384184026836,0.7255429941027408,LP-OLS (Kilian Controle),
4,0.4386728164693808,0.1752846799574926,2.5026306724339005,0.01232741091860336,0.15032951793930543,0.7270161149994561,LP-OLS (Kilian Controle),
5,0.4284271819744728,0.18437334117437654,2.3236937577069514,0.02014191326920042,0.1251330357426234,0.7317213282063222,LP-OLS (Kilian Controle),
6,0.3654949096705088,0.19028047417179325,1.920821940671246,0.05475415940529217,0.05248352965790887,0.6785062896831087,LP-OLS (Kilian Controle),
7,0.3528784239357396,0.224034663062774,1.5751063657361979,0.11523189494445966,-0.015658596802523628,0.7214154446740029,LP-OLS (Kilian Controle),
8,0.4143762082984047,0.24013556687670828,1.7255928127929339,0.08442069328017614,0.019353200786219604,0.8093992158105898,LP-OLS (Kilian Controle),
9,0.47717586520293687,0.2618337351035417,1.8224384455816531,0.06838848558583101,0.04645937095761077,0.907892359448263,LP-OLS (Kilian Controle),
10,0.5311032587384424,0.2785344069278938,1.9067779259168258,0.05654935098396661,0.0729141593420572,0.9892923581348276,LP-OLS (Kilian Controle),
11,0.4262646048801823,0.2861241402930933,1.4897890280894688,0.13627971694440838,-0.044409605901956195,0.8969388156623208,LP-OLS (Kilian Controle),
12,0.3414470242652173,0.2929397063354216,1.1655880608900928,0.24378103724798628,-0.14043879265655124,0.8233328411869858,LP-OLS (Kilian Controle),
