Horizonte (h),Petroleo_Geral_Coef,Petroleo_Geral_Sig,Petroleo_Trans_Coef,Petroleo_Trans_Sig,Gasolina_Geral_Coef,Gasolina_Geral_Sig,Gasolina_Trans_Coef,Gasolina_Trans_Sig,Diesel_Geral_Coef,Diesel_Geral_Sig,Diesel_Trans_Coef,Diesel_Trans_Sig
0,-0.0038364987588486938,ns,0.16572412041249152,***,0.03598160356705938,***,0.2629617628704547,***,0.009853598473411858,ns,0.10878407514996703,***
1,0.039925323524492545,ns,0.37312950360596936,***,0.05813483541516859,***,0.3886841711645641,***,0.028198485973593562,**,0.16169254033201977,***
2,0.05406604247641321,ns,0.4575148118491826,***,0.05852274152691004,***,0.42682715549785183,***,0.023009016047214437,ns,0.14839483226022693,*
3,0.06267591533348657,ns,0.4611584179715075,***,0.05244119364809358,***,0.42208623473962087,***,0.023078948959126534,ns,0.10492848944890339,ns
4,0.058255478182636426,ns,0.43867281646938083,**,0.05777084066771261,**,0.43209316414292975,***,0.01159400075327366,ns,0.030761711246589853,ns
5,0.052019870752618366,ns,0.428427181974473,**,0.058570304587566305,**,0.44644449721470914,***,0.020727219338429113,ns,-0.0008699249506250381,ns
6,0.015333808317281344,ns,0.36549490967051257,*,0.04727431275898323,ns,0.45478720665725814,***,0.005079975506706799,ns,-0.02882404008628246,ns
7,0.011777343957621278,ns,0.3528784239357406,ns,0.050474647356496545,ns,0.46890017002215795,***,-0.0023833583111124313,ns,-0.04183902816889114,ns
8,0.00857772988005728,ns,0.41437620829840754,*,0.03612927512290704,ns,0.4509619254946465,***,-0.00608126298346754,ns,0.004752087743705913,ns
9,0.027856698111403136,ns,0.47717586520293204,*,0.03749540027410492,ns,0.4622204833028845,***,-0.01460064101199944,ns,-0.002747082320004271,ns
10,0.03436055780997124,ns,0.5311032587384434,*,0.04824008037843098,ns,0.4929100471385011,***,-0.0006802636256391156,ns,0.05546140433516467,ns
11,0.009721854405106789,ns,0.42626460488018825,ns,0.04903674022773524,ns,0.46844682221479184,***,0.0045802039459589775,ns,0.051952506110188215,ns
12,-0.0128219297907437,ns,0.3414470242652117,ns,0.04652087659477578,ns,0.43121112344271173,***,-0.0012054426925962322,ns,0.06609466903846511,ns
