h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.7943118508232175,0.195740013506584,4.057994257758135,4.949598460700106e-05,0.47231952860488685,1.1163041730415482,269
1,1.6578625161071026,0.412146924076638,4.022503673468702,5.7582755837388986e-05,0.979880826001033,2.335844206213172,268
2,1.9898380400396272,0.5965695069760215,3.3354672284978295,0.0008515619018414922,1.0084812010640718,2.9711948790151825,267
3,2.0138392580081566,0.6785270517505112,2.9679572138099934,0.002997860574929312,0.8976622578785656,3.1300162581377475,266
4,1.9160207995911478,0.7239772638939789,2.6465206784059103,0.00813245329249913,0.7250782004855525,3.106963398696743,265
5,1.7810702337088642,0.7488930601701043,2.3782704479920143,0.01739406324393363,0.5491411497290426,3.012999317688686,264
6,1.5484072361531873,0.7242632394581043,2.137906705456582,0.03252431592190777,0.35699420724460573,2.739820265061769,263
7,1.4518649425747379,0.7163814581680453,2.026664601687899,0.04269672494101688,0.27341744388830325,2.6303124412611725,262
8,1.696528154137789,0.7524305188825104,2.2547306516187393,0.024150240478676647,0.45877995057605925,2.9342763576995186,261
9,2.0098551877257713,0.7637016360571935,2.6317282729707987,0.008495177654795872,0.7535659964116879,3.2661443790398548,260
10,2.1358366713773247,0.7994818169127105,2.6715262638806467,0.007550716337055298,0.8206890825559159,3.4509842601987337,259
11,1.9825006895952846,0.8355341946396806,2.3727343564319674,0.01765695773610941,0.6080469394130099,3.3569544397775593,258
12,1.767701310806315,0.8810243253312102,2.006416009162709,0.04481188167508238,0.3184162956364742,3.2169863259761557,257
13,1.4945279429086025,0.8988267781801276,1.662754135935517,0.09636166077696066,0.01595789280229254,2.973097993014912,256
14,1.4566456561248022,0.9258942621524971,1.5732311082028165,0.11566531464237417,-0.06645040511605549,2.97974171736566,255
15,1.843708963713311,1.0456032047534163,1.7632969709079185,0.07785041593304563,0.12369169189394125,3.563726235532681,254
16,2.3437489193380143,1.0745161085043444,2.1812133859960072,0.029167637194740338,0.5761699208483677,4.111327917827661,253
17,2.6178498809180244,1.0252033990339091,2.5534931735350574,0.01066483691919401,0.9313902895072439,4.304309472328805,252
18,3.155584851022422,0.9940656910846755,3.174422856883033,0.001501347932749466,1.5203467891881308,4.790822912856713,251
19,2.9492436271108184,1.0058553907238716,2.9320751812925834,0.0033670522607218514,1.2946115093700497,4.603875744851587,250
20,2.670420636200104,1.096075692171274,2.4363469195363026,0.014836447715346117,0.8673761225783585,4.47346514982185,249
21,2.4319892978770428,1.1752884459555042,2.069270149167379,0.03852074318273906,0.49863980428023824,4.365338791473848,248
22,2.385705731281136,1.1349274776739802,2.1020776906121,0.03554647079197874,0.5187500305074384,4.2526614320548335,247
23,1.8890028564770307,1.1449870579863552,1.649802801962799,0.09898327551423519,0.0054991460894762145,3.7725065668645854,246
24,1.6030677537640408,1.235448031813541,1.2975598426514652,0.19443862891055852,-0.4292442585692342,3.6353797660973157,245
