h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.8166903137478589,0.15996454869259596,5.105445677950141,3.3001578409380556e-07,0.5535486311485386,1.0798319963471794,269
1,0.7774640849660374,0.17987385503585993,4.322273989241188,1.5442924492352967e-05,0.4815715934320478,1.0733565765000268,268
2,0.6013447283459308,0.2343958587514578,2.5655091841173188,0.010302449392645593,0.2157635406997827,0.9869259159920789,267
3,0.04029106926813583,0.18079324866187738,0.22285715626189603,0.8236466821511197,-0.2571138247806525,0.3376959633169241,266
4,0.15276392727332305,0.13501601536765614,1.1314504198434412,0.25786556025252994,-0.06933741800647131,0.3748652725531174,265
5,0.0023278083114273013,0.18075339777683558,0.012878365441856282,0.9897248350729674,-0.2950115310314672,0.29966714765432184,264
6,0.09912939304695248,0.1580955581408744,0.6270219999389302,0.5306448142814653,-0.1609378000947859,0.3591965861886909,263
7,0.10527988265759679,0.16790356971736584,0.6270258746423064,0.5306422744486701,-0.17092148952747,0.3814812548426636,262
8,0.30258945789575104,0.14161751370105305,2.1366669276125063,0.03262509178689742,0.06962864785751877,0.5355502679339833,261
9,0.07702709981050175,0.12473139304389556,0.6175438109906647,0.5368760932601848,-0.12815604174670647,0.28221024136770995,260
10,0.13252073320949762,0.1296012315797316,1.022526804677546,0.30653163274805617,-0.08067329273916088,0.3457147591581561,259
11,-0.30436720477759927,0.16555895563608844,-1.8384218697695958,0.06600026495540008,-0.5767116867989648,-0.0320227227562338,258
12,-0.01963355261279625,0.22821992859489626,-0.08602908928101084,0.9314432930396558,-0.3950553351514006,0.3557882299258081,257
13,-0.16143952064192849,0.17062787190936382,-0.9461497634318728,0.34407220501627656,-0.44212236993283194,0.119243328648975,256
14,-0.0814929315764798,0.12653740786305182,-0.6440224511685707,0.5195608754778172,-0.2896469675112,0.12666110435824043,255
15,0.2827616185088255,0.18473636233390875,1.530622422875997,0.12586273669069203,-0.021129697530454405,0.5866529345481053,254
16,0.2463506463216526,0.14444113094595004,1.705543599030924,0.08809308812928364,0.008744985915564774,0.4839563067277404,253
17,0.29165188457681335,0.1789666951327888,1.629643349900466,0.10317689677078223,-0.0027483289166241875,0.5860520980702508,252
18,-0.03150256067562946,0.1598726133211173,-0.19704788719725233,0.8437900637726283,-0.2944930095888674,0.23148788823760852,251
19,-0.40862654161722634,0.18538450119151598,-2.20421091833931,0.02750951427816007,-0.7135840460772701,-0.10366903715718256,250
20,-0.3991182921819713,0.17189197955153532,-2.32191340877723,0.020237598660585044,-0.6818805985442469,-0.1163559858196957,249
21,-0.36493333319621146,0.24469413366276144,-1.4913857056302144,0.1358602588443591,-0.767455183071454,0.037588516679031125,248
22,0.09623788485767484,0.11125393750095795,0.8650290229669056,0.3870228593134438,-0.08677484233140098,0.27925061204675067,247
23,0.17977081367199088,0.11569724864889919,1.5538037055447413,0.12023124639444202,-0.010551160355448286,0.37009278769943005,246
24,-0.5093473789906767,0.2137685192394815,-2.3827052776656177,0.01718594722072167,-0.8609965931396237,-0.15769816484172966,245
