h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.6800399043995113,0.2825200306316501,2.4070502288956215,0.016081957826005654,0.21529445401044695,1.1447853547885758,269
1,1.2086887859546263,0.37884049323160773,3.190495228332635,0.0014202918632212945,0.5854961745886316,1.831881397320621,268
2,0.3451292558659273,0.3163324161167305,1.0910334770704322,0.27525815223085515,-0.17523756864609447,0.865496080377949,267
3,0.024556541001012896,0.36259575250217274,0.0677242930496428,0.9460051106479092,-0.5719134718650613,0.621026553867087,266
4,-0.35787819619196193,0.27002951830557875,-1.3253299062918347,0.18506175401198743,-0.8020767538046389,0.08632036142071514,265
5,0.04396186739759597,0.30792686387917745,0.14276723649173226,0.8864740134570269,-0.46257782368365086,0.5505015584788429,264
6,0.5745742123223161,0.266395409119423,2.156847275340015,0.031017566195170286,0.13635376432086527,1.012794660323767,263
7,0.004519412337132335,0.29122927165005325,0.01551840002732606,0.9876186051612715,-0.4745527395272053,0.4835915642014699,262
8,-0.022842856663784657,0.35237760236093335,-0.06482493924340621,0.9483133845645442,-0.60250401254752,0.5568182992199507,261
9,0.23960791315795957,0.3115714153024243,0.769030473881521,0.44187522004264046,-0.27292706501452846,0.7521428913304476,260
10,-0.11991905581392981,0.35129909042675883,-0.3413588565465738,0.7328334446242459,-0.6978060595659481,0.4579679479380885,259
11,-0.989989726321057,0.2215559812676492,-4.468350259183961,7.88251619442035e-06,-1.35444931550634,-0.625530137135774,258
12,-0.15667675669322975,0.2802098932294455,-0.559140703019138,0.576065697903668,-0.6176220310556676,0.30426851766920815,257
13,-0.47672313801483,0.2434329584674173,-1.958334405563402,0.05019078614499911,-0.8771703546937315,-0.07627592133592853,256
14,-0.5926843300171358,0.3045208282787043,-1.9462850320198717,0.051620510556949994,-1.0936210925356045,-0.09174756749866719,255
15,-0.1944530321562666,0.24884919004599163,-0.7814091423015214,0.43456189577377136,-0.6038099497819228,0.21490388546938963,254
16,0.433335548920996,0.3519808065578862,1.2311340301725524,0.21827273974836658,-0.14567287786672678,1.0123439757087187,253
17,0.5305777452418358,0.40338080898572504,1.3153271881623203,0.18839996449093566,-0.13298368553968198,1.1941391760233535,252
18,-0.1877345751212258,0.29662942393996183,-0.6328926261854033,0.5268037634347138,-0.6756899775024631,0.3002208272600114,251
19,-0.9727195262391154,0.42782867421635884,-2.2736192893588,0.022988886666364554,-1.6764976953250257,-0.2689413571532051,250
20,0.052416079830550334,0.2562599032393931,0.20454265051986784,0.83792946613539,-0.36913146099825134,0.47396362065935205,249
21,-0.23665429813672118,0.18283929693570605,-1.2943295128723817,0.19555162645905866,-0.5374249415959577,0.06411634532251531,248
22,0.05372798039727349,0.24652348275055755,0.21794264707690197,0.8274737981611097,-0.35180314872739366,0.45925910952194066,247
23,-0.08950803608994652,0.2990328322131719,-0.2993251123212411,0.7646919955750926,-0.5814170450806143,0.40240097290072124,246
24,-0.7856952790243708,0.2872327156039257,-2.7353962008554444,0.006230523310048527,-1.2581930961928285,-0.31319746185591296,245
