h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.7427976197059699,0.028568300164116656,26.000763623975228,4.854632037073322e-149,0.695802765935998,0.7897924734759418,269
1,1.1027589286011938,0.08409434043519486,13.113354868999854,2.7610887009333705e-39,0.9644237385852983,1.2410941186170894,268
2,1.1812962458197416,0.162406270181806,7.27371082715795,3.497442588655279e-13,0.9141379313706707,1.4484545602688126,267
3,1.1772935452839863,0.19020538501593753,6.189591031743604,6.032050966138626e-10,0.8644056869327691,1.4901814036352037,266
4,1.1953911869390987,0.188148026140758,6.353461215930047,2.1052328537832655e-10,0.8858876839375518,1.5048946899406457,265
5,1.252933184892147,0.2120189904310456,5.909532831681109,3.430792976680112e-09,0.904161945633077,1.601704424151217,264
6,1.3008842706178192,0.21932739150202532,5.931243980557743,3.0064807268749227e-09,0.9400907115969875,1.6616778296386507,263
7,1.3405405115586375,0.2274489889573779,5.893807300281488,3.77397254853008e-09,0.9663869247237509,1.7146940983935242,262
8,1.298365590873593,0.2504927073366495,5.1832470680619664,2.1805587348813484e-07,0.8863050873048044,1.7104260944423815,261
9,1.3029127915450571,0.27411214331088063,4.753210769168208,2.0021144034284446e-06,0.8519983157986585,1.7538272672914559,260
10,1.3569765900199315,0.2849989495654074,4.761338917526448,1.9231276683852893e-06,0.8881533179848364,1.8257998620550266,259
11,1.327106907771055,0.2710538759062087,4.896100095725127,9.775728588861415e-07,0.8812232819053418,1.7729905336367684,258
12,1.2386930529334366,0.2688493564904435,4.607387085107146,4.077605000760102e-06,0.796435861506657,1.6809502443602162,257
13,1.205469683680968,0.27898756512982703,4.320872448634053,1.5541349525536344e-05,0.7465351390424024,1.6644042283195335,256
14,1.1921369638984056,0.2747302302752948,4.339300275414972,1.4293710542639215e-05,0.7402057350955457,1.6440681927012655,255
15,1.204271250993119,0.28551555134737855,4.217883212700793,2.4660648160734e-05,0.7345981690266814,1.6739443329595567,254
16,1.2301337543105435,0.25870299106182987,4.75500398840206,1.984424994863387e-06,0.8045673340138333,1.6557001746072537,253
17,1.1488516283587211,0.24225045727602892,4.742412630617568,2.1118791769083513e-06,0.7503496261396536,1.5473536305777886,252
18,1.094402333971942,0.25645015518800574,4.267505056370999,1.9767129210955516e-05,0.6725418286876725,1.5162628392562114,251
19,0.9787854443350071,0.24575165041659808,3.982823483283919,6.810133711267727e-05,0.5745239793997032,1.383046909270311,250
20,1.069662461568144,0.2452324238717235,4.361831297347795,1.2897830782243705e-05,0.6662551242991589,1.473069798837129,249
21,1.0753838852574715,0.22817369787007521,4.713005465992876,2.4408964690517935e-06,0.7000381522611978,1.4507296182537452,248
22,1.0525849858551815,0.22464992582689294,4.685445508075819,2.7935161714435093e-06,0.6830358578699425,1.4221341138404204,247
23,0.9740847542886876,0.24115780240662646,4.039200658522512,5.36336680420946e-05,0.5773801693297871,1.370789339247588,246
24,0.8527296698917886,0.23931564622656837,3.56320066546957,0.000366360407264378,0.4590554318490836,1.2464039079344935,245
