h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.12449098801591646,0.03847912095814938,3.23528669356338,0.0012152064589075748,0.06119283403976074,0.1877891419920722,269
1,0.21675134326462966,0.06438834737214164,3.36631319347093,0.0007618016074342307,0.11083251183745667,0.32267017469180265,268
2,0.22825879182225797,0.09609502392395834,2.375344554811528,0.01753257544696577,0.07018247746734649,0.3863351061771695,267
3,0.2462017552652741,0.1057241254069576,2.328718769888938,0.019873969094674968,0.07228556897082886,0.4201179415597194,266
4,0.26116676939121924,0.11403677805761442,2.290197722521333,0.02200985740302404,0.07357626948644352,0.44875726929599496,265
5,0.28423425110797007,0.1228102241941308,2.314418469415626,0.020644778740419256,0.0822114323086249,0.4862570699073152,264
6,0.25921600470686523,0.14162586014182257,1.8302872402489856,0.06720699836700415,0.02624146477356709,0.4921905446401634,263
7,0.22338740704852314,0.1605372972999331,1.3914984916630724,0.16407431671554928,-0.040696447009866826,0.4874712611069131,262
8,0.1910832868682462,0.17812268195373132,1.0727622376463064,0.2833778078301885,-0.10192852494564184,0.4840950986821342,261
9,0.21072374084540835,0.19488575742372852,1.0812680394455108,0.27957789996477167,-0.10986333011662508,0.5313108118074418,260
10,0.2306118485828651,0.20918763023739004,1.1024162772969055,0.2702807382355288,-0.11350180315764152,0.5747255003233718,259
11,0.2674049116009962,0.2185134829474149,1.223745592235821,0.22104821471564173,-0.0920497678475013,0.6268595910494937,258
12,0.3109472505691294,0.2396472858736138,1.297520434815682,0.19445217866081455,-0.0832725346929653,0.7051670358312241,257
13,0.32469879849350763,0.2620185734649758,1.239220541504514,0.21526383536040727,-0.10632175485637757,0.7557193518433929,256
14,0.3060493943421615,0.26578687436779536,1.1514842298745382,0.249533079391818,-0.13117001399286188,0.7432688026771849,255
15,0.31926094298795354,0.2691316042105096,1.1862632927280952,0.2355183379910395,-0.12346054593833472,0.7619824319142419,254
16,0.290822406481501,0.2735062259808359,1.0633118329886881,0.2876405607549335,-0.15909533525697406,0.740740148219976,253
17,0.2645822692360438,0.2722083180520264,0.9719845121906779,0.3310582536200939,-0.18320041395953962,0.7123649524316271,252
18,0.29314819355460653,0.27009316197621974,1.0853595530138473,0.2777624391188661,-0.15115505789627492,0.737451445005488,251
19,0.26819143282796487,0.27856722740113465,0.9627529962157798,0.3356714941520599,-0.19005165624690162,0.7264345219028314,250
20,0.2577231445377982,0.2718684230004013,0.9479701308945974,0.34314466028264423,-0.18950041129786194,0.7049467003734584,249
21,0.24657832871613916,0.2633084151945746,0.9364620136957167,0.34903536180392514,-0.18656401427893604,0.6797206717112143,248
22,0.24172181862659708,0.24693021910839125,0.9789073994240134,0.3276257357767278,-0.16447839180670654,0.6479220290599007,247
23,0.20709445926251485,0.2366783233268884,0.8750039139684381,0.3815717760793138,-0.18224138261021655,0.5964303011352463,246
24,0.17379444656157764,0.225109752899204,0.7720431670474823,0.44008886113907975,-0.19651109695761296,0.5440999900807683,245
