h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.3236807789694249,0.08946475263066929,3.617969864686848,0.00029692295850084665,0.1765112608919739,0.47085029704687587,269
1,0.1499979808326808,0.0673890317861049,2.225851549682143,0.026024126579990616,0.03914302354453822,0.26085293812082333,268
2,-0.04317357972913139,0.08668105489329318,-0.4980739999331951,0.6184318854973113,-0.18576391502859868,0.09941675557033591,267
3,-0.10201975267879905,0.06808344813528418,-1.4984516130276224,0.13401595523171037,-0.21401702486134153,0.009977519503743426,266
4,-0.18559450220686688,0.12432964225581403,-1.4927614914631344,0.13549963072249996,-0.39011676371768095,0.01892775930394719,265
5,-0.05240596255686233,0.1145403246577222,-0.4575328620157632,0.6472880876832954,-0.24082479661881534,0.13601287150509067,264
6,-0.03905597181109117,0.1056838981478223,-0.3695546104522257,0.7117143759885389,-0.21290598426425883,0.1347940406420765,263
7,-0.040793775156895314,0.09160139128075095,-0.44534012624181274,0.656073974009105,-0.19147806381373061,0.10989051349994,262
8,0.0711526690573325,0.047419382928219164,1.5004975742733615,0.13348556138294554,-0.006852215859588021,0.149157553974253,261
9,-0.05424733008251163,0.06257785622701549,-0.8668774124462978,0.3860091807742855,-0.15718790357595214,0.04869324341092886,260
10,0.11311022148075409,0.06615247027121975,1.7098412352102859,0.08729523554328131,0.004289407884597599,0.2219310350769106,259
11,0.029525148115768455,0.05191912602556444,0.5686757535408161,0.5695762052351939,-0.05588181419628506,0.11493211042782196,258
12,0.07059293351974827,0.0839242056860179,0.8411510474564948,0.40026332050347935,-0.06746238483375117,0.2086482518732477,257
13,0.022057480087280732,0.05706469109770832,0.3865346445057081,0.6991007498759874,-0.07181393676844947,0.11592889694301092,256
14,0.0236758763574302,0.06727994811807433,0.35190093065886036,0.7249125612232499,-0.08699963829680209,0.1343513910116625,255
15,-0.06216193623112381,0.051768777700373296,-1.200761134267143,0.22984387210584034,-0.14732157554823788,0.022997703085990258,254
16,-0.021919004933021197,0.06825921914776871,-0.32111420562210896,0.7481238453994898,-0.13420542043110073,0.09036741056505833,253
17,-0.05724068840623836,0.07483776615568617,-0.7648636690619501,0.44435272987536023,-0.18034881373234213,0.0658674369198654,252
18,-0.09975310171905583,0.07705082879604576,-1.2946402170845324,0.19544437196168085,-0.2265017150885511,0.026995511650439452,251
19,-0.08862344214401335,0.042526083518564774,-2.0839784624258844,0.037162126397783234,-0.15857884953205242,-0.018668034755974297,250
20,-0.005511745794853008,0.04061727935245496,-0.1356995318919575,0.8920588177941514,-0.07232717032964142,0.0613036787399354,249
21,0.01699641984729768,0.05093062569238571,0.33371708311525217,0.7385930574321663,-0.06678445941667682,0.10077729911127217,248
22,0.059945611502436144,0.0825733353067728,0.7259681503687463,0.46785829579342364,-0.0758875250772051,0.1957787480820774,247
23,-0.005548053056560811,0.038398092206705724,-0.1444877268040915,0.8851153473492407,-0.06871291473659172,0.0576168086234701,246
24,-0.1182247366023013,0.05214419070625966,-2.2672657299120567,0.023373997633349592,-0.20400193031409847,-0.03244754289050415,245
