h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.48133491786669647,0.1198427379031582,4.0163878620300775,5.909696434163593e-05,0.2841936140160012,0.6784762217173917,269
1,0.3814667284040406,0.11263332141195155,3.386801735241762,0.0007071246986563839,0.1961849146813803,0.5667485421267009,268
2,0.03924735728070791,0.12287826036317884,0.3194003330182936,0.7494229583279464,-0.1628873810167213,0.2413820955781371,267
3,0.07688783259903081,0.07827755079252859,0.9822462739389846,0.32597853566954116,-0.05187873845467872,0.20565440365274035,266
4,0.046531527174680475,0.08819787330301586,0.5275810564594346,0.5977901439825768,-0.09855397440878061,0.19161702875814157,265
5,0.02047472631656943,0.08653293676821758,0.2366119431657788,0.8129578539714211,-0.12187195466714848,0.16282140730028735,264
6,-0.09570197337642238,0.07502652762601296,-1.2755751386159166,0.2021057471718508,-0.2191206113212137,0.02771666456836895,263
7,-0.08537445841585269,0.08412986779994956,-1.0147936832476976,0.31020418546403594,-0.2237680909467697,0.053019174115064335,262
8,-0.002709286465706095,0.09589892999265853,-0.028251477528617917,0.9774615804580895,-0.16046302630362938,0.1550444533722172,261
9,0.07521101956081469,0.11820013014701533,0.6363023413533343,0.524579379188254,-0.11922819453102554,0.26965023365265495,260
10,0.10403097624197027,0.04807740562171131,2.1638225876936845,0.030477967902154283,0.024943643994255166,0.18311830848968538,259
11,-0.005559646468081578,0.06717636225480085,-0.08276194603979543,0.9340408279414781,-0.11606476237722897,0.10494546944106582,258
12,0.0714761495541352,0.09497159612296413,0.7526055417831634,0.4516869864867127,-0.08475212606814081,0.2277044251764112,257
13,0.05363906927136835,0.10674657073508456,0.5024898589434378,0.6153229841004364,-0.12195903958784576,0.22923717813058248,256
14,-0.029970220737742026,0.0669321773856647,-0.4477699950660942,0.6543192001148737,-0.14007365253716048,0.08013321106167641,255
15,0.05338453763837819,0.08283945288428528,0.6444337303017762,0.5192942177635393,-0.08288636235627109,0.18965543763302747,254
16,-0.059694414810153466,0.08778763742694205,-0.6799865739618735,0.49651296212284657,-0.20410507837747316,0.08471624875716621,253
17,-0.017029524332607907,0.11973183383112883,-0.1422305479478962,0.8868979032935055,-0.21398839098481484,0.17992934231959903,252
18,0.09280090940472036,0.16226961679013138,0.5718933170634328,0.5673942518282277,-0.17413261021504578,0.3597344290244865,251
19,-0.15159731823080866,0.08541855517973258,-1.77475863308419,0.07593774939136196,-0.29211084150146877,-0.011083794960148552,250
20,0.028547425517769103,0.05872185173809693,0.48614654805322516,0.6268632659919338,-0.06805002059140035,0.12514487162693855,249
21,-0.010701513335864396,0.04798650756761313,-0.22301088114791295,0.8235270378231032,-0.089639318284588,0.0682362916128592,248
22,-0.03057847921187585,0.07873782815706964,-0.3883581745597119,0.6977509917882885,-0.16010220653025542,0.09894524810650374,247
23,-0.0403197351675228,0.058004939187239264,-0.6951086533746922,0.4869872121864124,-0.1357378601305314,0.0550983897954858,246
24,-0.022994699428478444,0.08449943456846418,-0.2721284414021421,0.7855232613894895,-0.16199626929360203,0.11600687043664513,245
