h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.17483938398756552,0.05153205452941403,3.3928277376903107,0.0006917512536240479,0.09006915428667944,0.2596096136884516,269
1,0.4005158850621455,0.10847013668788966,3.692406936063738,0.00022214164075474554,0.22208251021056705,0.578949259913724,268
2,0.5194204016179017,0.16341090229142635,3.1786153453309343,0.0014798032672939448,0.25060946734850537,0.7882313358872981,267
3,0.560825400452725,0.18029373310105748,3.1106206012073283,0.0018669464130102798,0.2642422095014854,0.8574085914039646,266
4,0.5561497330304302,0.18446394938017038,3.0149508069147712,0.0025702093868869625,0.25270653630004997,0.8595929297608105,265
5,0.5506031199839767,0.1967458229517665,2.7985504938468786,0.005133254273934532,0.2269562412283208,0.8742499987396326,264
6,0.4776522581050692,0.20303242862187143,2.35259096956699,0.018643128966927453,0.1436639130220907,0.8116406031880478,263
7,0.47679468642880707,0.2311560017342356,2.0626532854508657,0.039145581221772,0.09654306357598952,0.8570463092816246,262
8,0.5731308617547506,0.24900677161590498,2.301667774074874,0.021353914876088197,0.16351472244658688,0.9827470010629142,261
9,0.616872977746501,0.27640876171169454,2.231741765081688,0.025632035186520106,0.16218056473076342,1.0715653907622384,260
10,0.664969989423573,0.28846022541540683,2.30523978987384,0.02115314755345726,0.19045291861522873,1.1394870602319171,259
11,0.5739380455158153,0.3008716166484032,1.9075845435646925,0.05644493441710136,0.07900423612919205,1.0688718549024385,258
12,0.5085079555393331,0.3270380818599448,1.5548891207021678,0.11997247884732341,-0.029469689120276032,1.0464856001989422,257
13,0.4157068729552129,0.3411588083433249,1.2185142601883714,0.2230286090790281,-0.14549936676955655,0.9769131126799824,256
14,0.4233909752745836,0.36344585580381916,1.1649354876758358,0.24404510731969375,-0.17447745752269894,1.0212594080718662,255
15,0.52183584649198,0.4030767383545966,1.2946315101738965,0.19544737698303438,-0.14122538810133145,1.1848970810852915,254
16,0.5477031254253811,0.398027781399544,1.3760424548747556,0.1688084896908254,-0.10705257497686871,1.202458825827631,253
17,0.5807681122051545,0.37086023252266015,1.5660026642777576,0.11734799342572795,-0.029296970294621527,1.1908331947049304,252
18,0.5701747362413837,0.3539762576896922,1.6107711290095013,0.10722961595819105,-0.012116207658160016,1.1524656801409274,251
19,0.3830605702276854,0.3416171120100358,1.1213155218536948,0.2621535807917832,-0.17889957902882353,0.9450207194841944,250
20,0.23243004492572333,0.3381049776574228,0.6874493435030933,0.4917996122280319,-0.3237526433207372,0.7886127331721839,249
21,0.1970552033072417,0.34777667966724374,0.5666141947636802,0.5709763288143881,-0.3750374347453743,0.7691478413598577,248
22,0.23260690645731755,0.3386045154409769,0.686957485355401,0.4921095199967218,-0.32439752144308953,0.7896113343577246,247
23,0.22303082302474175,0.3369495764291125,0.6619115696430116,0.5080278965789053,-0.33125123020114833,0.7773128762506318,246
24,0.09910736965891422,0.3681644341773418,0.2691932203618968,0.7877809971479183,-0.506523124562813,0.7047378638806414,245
