h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.035555869434993684,0.060683718514032495,0.5859210724994012,0.5579285557516666,-0.06426884752058977,0.13538058639057715,140
1,0.30735324238678774,0.07977713064306335,3.8526484959949134,0.0001168470705298866,0.1761198624789485,0.43858662229462697,139
2,0.41432831872479486,0.1232836507658703,3.360772625979835,0.0007772478163544992,0.2115267132149382,0.6171299242346515,138
3,0.4791989000450682,0.19768632700647876,2.4240366407807428,0.015349056752160006,0.15400489211941065,0.8043929079707257,137
4,0.6150938290418586,0.1852874606529957,3.319673262692069,0.000901228602528527,0.3102959562676807,0.9198917018160365,136
5,0.8050586745032728,0.16288701640461212,4.942436127036076,7.715238593266806e-07,0.5371095325176859,1.0730078164888597,135
6,0.8500514904284665,0.20505078193837595,4.145565710078262,3.38975770607759e-05,0.5127429541398381,1.187360026717095,134
7,0.9310339054364736,0.23744009657493198,3.9211317669871963,8.813405031069483e-05,0.5404449465707104,1.3216228643022367,133
8,0.9098652951738369,0.23604805439888032,3.85457655006265,0.00011593010686184149,0.5215662456876787,1.298164344659995,132
9,0.8949868911145487,0.19775531267466867,4.525728684654404,6.018775697689889e-06,0.5696794017647187,1.2202943804643787,131
10,0.9022658947434867,0.21842955389339666,4.130695131043635,3.6166795556838376e-05,0.5429492785888492,1.2615825108981242,130
11,0.9881635666766787,0.25061648280530796,3.9429312693863636,8.049172854536324e-05,0.5758994524619472,1.4004276808914102,129
12,0.8972819906050284,0.2984987654913029,3.0059822496357085,0.0026472445063143286,0.4062515213718352,1.3883124598382217,128
