h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,1.0106554561884613,0.04453598439395219,22.693008135814424,5.252009389691898e-114,0.93739376186041,1.0839171505165126,126
1,1.5266174088832722,0.10068710896834186,15.161994663718795,6.3122790150365196e-52,1.3609871146303498,1.6922477031361947,125
2,1.687126851828829,0.18322902606498492,9.207748837951385,3.330358701794961e-20,1.3857151039519287,1.9885385997057292,124
3,1.6673829373212006,0.2515066658322511,6.629577517572853,3.366490086025669e-11,1.2536544720271474,2.0811114026152535,123
4,1.6189979315109095,0.27878329477885105,5.807370677626877,6.346153411133214e-09,1.1603994115996996,2.0775964514221195,122
5,1.7359143402196813,0.28364051104351473,6.120121324817969,9.350413635300797e-10,1.2693256995530995,2.202502980886263,121
6,1.8664566246639067,0.30682746216452755,6.083082040626051,1.1789398268034254e-09,1.361725449403259,2.3711877999245545,120
7,1.9867786155519749,0.3206034483119777,6.196997025492533,5.755058827426534e-10,1.4593859430787717,2.514171288025178,119
8,1.8056166756735956,0.34185061032091096,5.281888114748662,1.2785927797929664e-07,1.2432724216956972,2.367960929651494,118
9,1.6779737843956182,0.3590851191895479,4.672913731938519,2.9695651912391093e-06,1.087278763328812,2.2686688054624247,117
10,1.6690699505328181,0.3684179228414851,4.530371209033034,5.8880139660251605e-06,1.063022467458575,2.275117433607061,116
11,1.5229146143867818,0.3483911775789865,4.371277783122133,1.2352152323029493e-05,0.9498111272693489,2.0960181015042147,115
12,1.3297865287268857,0.36838560479823107,3.6097678937677946,0.0003064711147574469,0.7237922088337956,1.935780848619976,114
