h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,1.5723952295462977,0.2664134947682776,5.90208551903102,3.5893501138828512e-09,1.1341450306524812,2.0106454284401143,126
1,3.301262469794441,0.5363371249105027,6.155200370187529,7.498263320927188e-10,2.4189878993166642,4.183537040272218,125
2,3.8532906603295913,0.7700031119900239,5.004253359926049,5.607896083319884e-07,2.586635541106002,5.119945779553181,124
3,3.8561426805389862,0.877646424292071,4.393731431936769,1.1142145303515262e-05,2.4124143125785293,5.299871048499443,123
4,3.704596080218341,0.9304314720352116,3.9815893932682265,6.845596532758152e-05,2.1740363087204178,5.235155851716264,122
5,3.2630545093733425,0.922120415170921,3.5386425196632416,0.00040219010705757144,1.7461664264171775,4.779942592329507,121
6,2.545756586781482,0.8780864718875302,2.8992094381196156,0.003741049087240639,1.1013043405264948,3.990208833036469,120
7,2.386899703945109,0.8171043266133328,2.921168847358985,0.0034872077836124826,1.0427630866661766,3.7310363212240416,119
8,2.660366442423657,0.8465250322102166,3.1426908138529934,0.0016740256303986482,1.2678327644378509,4.052900120409463,118
9,2.8400430229907685,0.8522704574460442,3.3323260218374595,0.0008612329988163627,1.4380581204920257,4.242027925489511,117
10,2.8283432715703754,0.8558915419949249,3.3045580342785374,0.0009512627909454676,1.4204016849887238,4.236284858152027,116
11,2.586024544421516,0.9195393211728271,2.8123044712467204,0.004918791870679482,1.0733823610922153,4.098666727750817,115
12,2.222799839131183,0.9811890690299631,2.265414392894449,0.02348726192708099,0.6087438205768938,3.836855857685472,114
