h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,1.323138890219392,0.3119652414425694,4.24130228130871,2.222266034751653e-05,0.8099560680463653,1.8363217123924185,126
1,2.736064728858309,0.5464482681017894,5.006996798366008,5.528584620784001e-07,1.8371573278308655,3.6349721298857527,125
2,3.1322545937928545,0.8301395451342364,3.77316634552852,0.00016118873826370791,1.7666750420470356,4.497834145538674,124
3,2.8796710865119266,0.9586158086375802,3.00398873100645,0.002664651944386235,1.3027480813031072,4.456594091720746,123
4,2.370341769305754,0.9773203673371106,2.4253477657118587,0.015293728502030748,0.7626497650362072,3.9780337735753006,122
5,2.1050186081263242,0.8872090246003447,2.372629842301884,0.017661954151610246,0.6455597626587573,3.5644774535938915,121
6,1.5031368971200885,0.9648501093333451,1.5578967992848838,0.11925771408435096,-0.0840415327332642,3.090315326973441,120
7,1.2907527843536417,1.1738364394653626,1.0996019044540226,0.2715056118341924,-0.64020815856688,3.2217137272741634,119
8,1.8995927152858705,1.2563463300540634,1.5119976632590846,0.13053445699934818,-0.16709699765306385,3.9662824282248046,118
9,2.1474626292841803,1.3161278321303822,1.6316520149932077,0.10275281400369417,-0.01756765457029852,4.312492913138659,117
10,2.3789100801806096,1.282421007681415,1.8550149022290419,0.06359409855474743,0.26932752254468184,4.488492637816537,116
11,1.7773719852880003,1.3302698651661002,1.3360988110980578,0.1815169785580737,-0.41092194291023465,3.9656659134862355,115
12,1.2529696481617598,1.3183787624521666,0.9503867051311213,0.3419157968285502,-0.915763416072054,3.4217027123955734,114
