h,coef,se,t,pvalor,ci_low,ci_high,nobs
0,0.25255682545977814,0.06815500392815917,3.705624105399411,0.00021087084402445424,0.1404418439979563,0.36467180692159995,269
1,0.5146373793131848,0.1261558158634494,4.079378947302964,4.515617634945274e-05,0.3071110622178105,0.722163696408559,268
2,0.632191030167649,0.17317923092098095,3.6505014302558494,0.00026172885187929673,0.3473111953026353,0.9170708650326627,267
3,0.661591882625518,0.18415611670569734,3.5925599130808017,0.00032744533606468627,0.3586550706446459,0.9645286946063902,266
4,0.6635270983910817,0.18836970771152062,3.5224724105175254,0.00042754153971657864,0.3536589292056303,0.9733952675765332,265
5,0.6661245817250738,0.19756874697479324,3.371609082533996,0.0007473043814799805,0.34112399295153895,0.9911251704986087,264
6,0.6073830120772236,0.210885420160642,2.8801564926325844,0.00397477824211636,0.2604764959129675,0.9542895282414796,263
7,0.6192327461112974,0.24112199171553772,2.5681305205948766,0.010224864886605909,0.22258706973923786,1.015878422483357,262
8,0.7043108811012808,0.26114873228468255,2.6969722385383816,0.00699731036010291,0.27472121649297804,1.1339005457095837,261
9,0.7505196899750253,0.2885262050601676,2.6012184571537142,0.009289327899276454,0.2758940826510496,1.225145297299001,260
10,0.8102561489782255,0.3014524312224573,2.687840816849461,0.007191567079597746,0.31436689961728326,1.3061453983391678,259
11,0.7178496642755965,0.31217906131144524,2.2994805009021224,0.02147766937336376,0.20431510841826905,1.231384220132924,258
12,0.6535036993173116,0.337938507649067,1.933794712723132,0.0531383731360394,0.09759485423459635,1.2094125444000268,257
13,0.5524569678617366,0.3509989751452784,1.5739560710485687,0.11549760558222072,-0.02493634625224639,1.1298502819757195,256
14,0.5431871344573623,0.36879074703899234,1.472887101475816,0.1407814806241823,-0.06347364442178005,1.1498479133365047,255
15,0.6395631101399603,0.406600777221271,1.5729510270756608,0.11573015837096352,-0.029295168389030568,1.308421388668951,254
16,0.6684370344027798,0.39793158045692906,1.679778804273941,0.09300036056891003,0.013839584551131434,1.3230344842544282,253
17,0.6910493463906696,0.3703669017869157,1.8658507092738352,0.062062255390287764,0.08179579295119321,1.300302899830146,252
18,0.6631905929039318,0.34958163575304607,1.8970979167007147,0.05781501613022277,0.08812880209017104,1.2382523837176924,251
19,0.47251202054118935,0.3364717818551367,1.4043139604040344,0.1602253789510546,-0.08098406061051056,1.0260081016928893,250
20,0.3248344741954991,0.33422148386186823,0.9719138053068763,0.3310934312018672,-0.22495986675727414,0.8746288151482724,249
21,0.2895775904630524,0.34723251386189413,0.8339587420613124,0.404304233527752,-0.28161989483976346,0.8607750757658683,248
22,0.33713855953707406,0.3337243431739157,1.0102306482370664,0.3123847988369559,-0.2118379849840173,0.8861151040581654,247
23,0.32370154218415775,0.3376790593353254,0.9586070952143718,0.3377567168365383,-0.23178051042245246,0.879183594790768,246
24,0.19114542464523118,0.3665325618625669,0.521496435879828,0.6020209877787602,-0.4118006396186913,0.7940914889091537,245
