h,coef_pre2015,se_pre2015,pvalor_pre2015,ci_low_pre2015,ci_high_pre2015,coef_pos2015,se_pos2015,pvalor_pos2015,ci_low_pos2015,ci_high_pos2015,diff_pos_menos_pre,pvalor_wald_diff,nobs
0,0.3582147829615878,0.03994579914106483,3.0326335604810355e-19,0.29250394337453617,0.42392562254863947,0.8015717875377828,0.0973074106830543,1.7581624574562112e-16,0.6415010969641585,0.9616424781114071,0.443357004576195,6.119065856448255e-06,269
1,0.5282061504386468,0.07481029902762872,1.6577636577850082e-12,0.4051432085381976,0.651269092339096,1.211668083376779,0.22505719539353333,7.292025104680003e-08,0.8414489969544167,1.5818871697991415,0.6834619329381322,0.0035237825575058657,268
2,0.48517861701429077,0.12053945312032333,5.696061805335489e-05,0.28689121663135886,0.6834660173972227,1.2696950702143877,0.35694832727215614,0.0003749947282785471,0.6825150718516908,1.8568750685770845,0.7845164532000969,0.042854999999568856,267
3,0.4714908578059729,0.1566259800211988,0.0026099157687177283,0.2138411206711009,0.7291405949408449,1.2144580439369255,0.431241006841125,0.004859641449228043,0.5050665876832748,1.9238495001905762,0.7429671861309526,0.12068918541486671,266
4,0.5554192077575206,0.18715999443473738,0.0030011789840611886,0.24754101691237762,0.8632973986026636,1.2411139786113305,0.4462985803839956,0.0054207588183328844,0.5069528138796577,1.9752751433430034,0.6856947708538099,0.17959313915301406,265
5,0.5934536592011753,0.21865439882794846,0.006645265673668517,0.2337671731292001,0.9531401452731505,1.2971947187871007,0.4606529375746512,0.0048626965646559935,0.5394206364767995,2.054968801097402,0.7037410595859254,0.19724941159882917,264
6,0.6460817790725868,0.23564693884183036,0.006111537385875281,0.2584425646777759,1.0337209934673977,1.4634224195021999,0.46533081314005836,0.0016613928389283827,0.6979532318868038,2.228891607117596,0.8173406404296131,0.15300570300574173,263
7,0.6003318094896316,0.24245304404073065,0.013283584171027384,0.20149655204262967,0.9991670669366335,1.6314891204625004,0.48115910110914417,0.0006970223311868549,0.8399823991379582,2.4229958417870425,1.0311573109728687,0.09349871969284874,262
8,0.493358221488997,0.26533921006164846,0.06297767153177278,0.05687522093758529,0.9298412220404086,1.5986814948878234,0.5173186569354826,0.00199939257701458,0.7476923042289545,2.4496706855466925,1.1053232733988265,0.09773997250400643,261
9,0.45408779769576696,0.2771247505104738,0.10130322409341973,-0.0017824168939624685,0.9099580122854964,1.6656345524450729,0.533036022340545,0.001779219146287239,0.7887902956948762,2.5424788091952695,1.211546754749306,0.07790803338295593,260
