h,coef_pre2015,se_pre2015,pvalor_pre2015,ci_low_pre2015,ci_high_pre2015,coef_pos2015,se_pos2015,pvalor_pos2015,ci_low_pos2015,ci_high_pos2015,diff_pos_menos_pre,pvalor_wald_diff,nobs
0,0.7267074474168231,0.06700004156045093,2.0749646656940085e-27,0.6164923790498813,0.836922515783765,0.7462321640915027,0.030223613933338007,1.3571907288863064e-134,0.6965143191711617,0.7959500090118438,0.019524716674679587,0.7847370210680901,269
1,0.9735132429278773,0.16271606459175933,2.192051463568754e-09,0.7058453166744332,1.2411811691813215,1.1304502296854413,0.09067535090529769,1.1299083313025258e-35,0.9812892774462266,1.279611181924656,0.15693698675756396,0.39558796498213045,268
2,0.9209288193343724,0.2541223060232789,0.00029012761075950135,0.5028976259260787,1.3389600127426662,1.2370783965678158,0.17597685268709876,2.068608123765794e-12,0.9475964738975384,1.5265603192380932,0.3161495772334434,0.29604432897912125,267
3,1.0471812052081977,0.28146914895232217,0.00019889802292316066,0.5841644551816277,1.5101979552347675,1.2052136962635387,0.21541560583838318,2.2083803456070164e-08,0.8508550246593984,1.559572367867679,0.158032491055341,0.6500227347474232,266
4,1.2989478483244905,0.34279434266308695,0.00015107726931622351,0.7350511546437125,1.8628445420052686,1.173198072037175,0.22091865577118158,1.092989529360944e-07,0.8097868832935814,1.5366092607807689,-0.12574977628731543,0.7580153854849436,265
5,1.4462104266240776,0.40908149177436265,0.00040737037474578686,0.773271372655251,2.1191494805929043,1.2115750020692104,0.25330017568446933,1.725615618526698e-06,0.7948962130682584,1.6282537910701624,-0.2346354245548672,0.6318743346660849,264
6,1.4337514931530653,0.4269320789736752,0.0007843309165879132,0.7314482232413696,2.136054763064761,1.2724799068140924,0.26747695999248433,1.961567519220548e-06,0.8324803076264558,1.712479506001729,-0.16127158633897287,0.7623904299356865,263
7,1.2470196992012026,0.44992128671494347,0.005577473408717037,0.5068991825551206,1.9871402158472846,1.3605363508463149,0.2811159644615694,1.299900852379566e-06,0.8981005893070332,1.8229721123855964,0.11351665164511227,0.8468089432247707,262
8,1.1124697305277573,0.49750188069234047,0.025344461251020207,0.2940791367888572,1.9308603242666575,1.3383152235258036,0.3152716376740588,2.186332460730147e-05,0.8196933795519769,1.8569370674996302,0.22584549299804624,0.7340198083300705,261
9,1.1366344972447235,0.5462524500644228,0.037453490339348285,0.23804921688874803,2.035219777600699,1.3385894142439625,0.34639521758579395,0.00011138929213914611,0.7687692813153314,1.9084095471725937,0.20195491699923895,0.7815102044596162,260
10,1.3178547292734766,0.6199236707769405,0.0335170956836131,0.29808029084540943,2.337629167701544,1.3653418628639349,0.3532411476838752,0.00011100570149816484,0.7842601749239602,1.9464235508039096,0.04748713359045831,0.9517489283675651,259
