h,coef_pre2015,se_pre2015,pvalor_pre2015,ci_low_pre2015,ci_high_pre2015,coef_pos2015,se_pos2015,pvalor_pos2015,ci_low_pos2015,ci_high_pos2015,diff_pos_menos_pre,pvalor_wald_diff,nobs
0,0.10623904381196328,0.07080781014044137,0.133514455645941,-0.010239803869062772,0.22271789149298932,0.3167884640888879,0.08389278994696629,0.000159296198626327,0.17878482462612832,0.45479210355164745,0.2105494202769246,0.02838853992787141,269
1,0.25155899594779385,0.12795380963471142,0.049296980038654785,0.041074979098693565,0.46204301279689414,0.6264988619815512,0.1541069702218071,4.79603117742749e-05,0.37299289596667856,0.8800048279964239,0.3749398660337574,0.02748219721693637,268
2,0.32264876840138595,0.18272901973723657,0.07744239141363321,0.022059530933631777,0.6232380058691401,0.7624291426701525,0.20827991982807895,0.000251626887924529,0.4198086745529626,1.1050496107873424,0.43978037426876654,0.06615774147904295,267
3,0.39683041078268144,0.2227430857178378,0.0748208371674157,0.030418034776838243,0.7632427867885246,0.7660957508843743,0.2192138931948113,0.0004745222266431654,0.40548889657890974,1.126702605189839,0.3692653401016929,0.18694244530803003,266
4,0.43548217611750095,0.2538290164179427,0.08622581526754738,0.017933444109985208,0.8530309081250167,0.7489245690452571,0.21689735846845998,0.0005545975887476824,0.3921284143646404,1.1057207237258737,0.3134423929277561,0.2999951473772865,265
5,0.4727881763272006,0.28854374905501046,0.10131075703675695,-0.001866290868291598,0.9474426435226928,0.7329682224494531,0.223553181844856,0.0010427915542836033,0.365223238314665,1.1007132065842413,0.26018004612225254,0.4363869051449233,264
6,0.5380832514826221,0.3249567353846767,0.09774992957940185,0.003529421774829067,1.0726370811904151,0.6101551601621016,0.24758402366555937,0.013722879132534277,0.20287944123225643,1.0174308790919468,0.07207190867947944,0.8549642423545565,263
7,0.5474426180535606,0.3479692225007655,0.11566091610779913,-0.02496675296019857,1.1198519890673198,0.6226040460730357,0.29850959336920796,0.0370050208824166,0.13155576498068855,1.1136523271653829,0.07516142801947501,0.8672768503240049,262
8,0.5451658667281863,0.35061285521309854,0.1199712881659342,-0.031592280097360814,1.1219240135537336,0.7509089879402956,0.34057275972636497,0.027465211851128074,0.1906667981904252,1.3111511776901659,0.20574312121210925,0.6723493712688045,261
9,0.4922847786734623,0.36282084378264823,0.1748364826845804,-0.10455550934899405,1.0891250666959187,0.8488397832924679,0.39349283482165087,0.03099067034551018,0.20154407001085217,1.4961354965740836,0.3565550046190056,0.5103797507963407,260
10,0.3963235969862463,0.41432072180842905,0.3387882075417249,-0.2852339903886195,1.0778811843611122,0.9905521920237158,0.40287294981200866,0.01394329193140246,0.3278261895829615,1.65327819446447,0.5942285950374695,0.30748614552591114,259
11,0.3234295654087689,0.445206215349545,0.46754985778392144,-0.4089346588412327,1.0557937896587704,0.8928281544124669,0.40601379985308017,0.02787725531826094,0.22493545365415002,1.5607208551707838,0.569398589003698,0.3428577479790289,258
12,0.3895527961336292,0.47182703483738603,0.40901612680736965,-0.38660267617387084,1.1657082684411293,0.7606390507704828,0.4279295060657102,0.07548817981663924,0.05669501329238957,1.464583088248576,0.3710862546368536,0.5490608961847132,257
13,0.34595914441042797,0.4893193748737039,0.479553337895274,-0.45897122725681494,1.1508895160776709,0.6350208151880842,0.4405781089272094,0.14948995713405672,-0.08973017399717531,1.3597718043733438,0.2890616707776562,0.6489228327925662,256
14,0.28784778100491926,0.5028502011244247,0.5670290257393563,-0.5393407998447594,1.1150363618545978,0.6538019214667076,0.4712722861880358,0.16534650092992476,-0.12144098931261127,1.4290448322460265,0.3659541404617883,0.5844053338619577,255
15,0.2257588307832649,0.5347445007697571,0.6728930960852446,-0.6538958729829856,1.1054135345495153,0.8332044512719117,0.5269086049271541,0.11380777920415854,-0.03356020383325675,1.69996910637708,0.6074456204886468,0.40853431653718375,254
16,0.215401392736051,0.5528339624226649,0.6968092341218852,-0.6940104754492328,1.1248132609213348,0.8830913660357339,0.5101434492159719,0.08344020827167783,0.04390539207546018,1.7222773399960076,0.6676899732996829,0.3654043357749013,253
17,0.2921658100149196,0.5792725059540453,0.6140036560852393,-0.660737462279485,1.2450690823093242,0.8781488433158322,0.45531937432830005,0.053775109848683916,0.12914847254577866,1.6271492140858856,0.5859830333009126,0.4106017091478581,252
18,0.2779512446617999,0.5895262451026752,0.6372962903133508,-0.6918194285321008,1.2477219178557006,0.8458574881595047,0.3901145488579677,0.03014130442094166,0.20411905528814778,1.4875959210308616,0.5679062434977048,0.38671087255733716,251
19,0.31174494441913864,0.5816237820763424,0.5919649703777858,-0.6450261770964445,1.2685160659347219,0.5372928533311783,0.3508116975731924,0.12562845241972062,-0.03979238917672323,1.1143780958390797,0.22554790891203963,0.7180675887768423,250
20,0.25011210380303794,0.5935239867076725,0.6734616712214168,-0.7262348543310833,1.2264590619371591,0.3487386504074134,0.32945152350494394,0.2898078936023142,-0.19320910575821942,0.8906864065730462,0.09862654660437548,0.8746807862375194,249
21,0.21390490233498832,0.6011111615504975,0.7219535306756788,-0.7749229584155801,1.2027327630855567,0.31616161473682725,0.3404751034176411,0.35310185223731616,-0.24391993038519233,0.8762431598588468,0.10225671240183892,0.8694866634601464,248
22,0.2257537744840769,0.6144268879738467,0.7133044841792879,-0.784978456232901,1.236486005201055,0.38166365669605606,0.3058722894233442,0.212108842788019,-0.12149625940534514,0.8848235727974573,0.15590988221197916,0.8007446747979013,247
23,0.304329737550479,0.6132275987557071,0.6197001594398998,-0.7044296624026591,1.313089137503617,0.3159085539069246,0.29825101924452246,0.28950706494711,-0.17471437275031482,0.8065314805641641,0.011578816356445643,0.9850496121042328,246
24,0.36160617628543124,0.6183166471798609,0.5586663245018901,-0.6555247083254399,1.3787370608963023,0.07986972526497896,0.31785037646290765,0.801596949373113,-0.44299414401650417,0.602733594546462,-0.2817364510204523,0.6541232214282572,245
