h,coef_iv,se_iv,t_iv,pvalor_iv,ci_low,ci_high,nobs,first_stage_f,first_stage_pvalue,metodo
0,0.9907283419667622,0.23385366498512894,4.2365311744409215,2.2699941679821686e-05,0.6060390630662251,1.3754176208672992,266,132.0949694160739,1.7037059166152745e-24,2SLS_manual_aproximado
1,1.9182739555755213,0.41637906891891585,4.607037429994059,4.084465010858444e-06,1.2333303872039045,2.603217523947138,265,131.3866232296289,2.2364332189421406e-24,2SLS_manual_aproximado
2,2.4938111275292587,0.6093363565587321,4.092667540163243,4.264389204521163e-05,1.4914528209901443,3.4961694340683733,264,130.85546481920002,2.7734301070831034e-24,2SLS_manual_aproximado
3,2.369020280601936,0.6808818661946255,3.479341128354808,0.0005026483047135306,1.2489696107117767,3.4890709504920947,263,130.3466085272875,3.4148631236445395e-24,2SLS_manual_aproximado
4,2.253987333178368,0.734052477751579,3.0706078945232735,0.002136234875919126,1.0464710072770205,3.4615036590797157,262,129.82241258491456,4.225447018360874e-24,2SLS_manual_aproximado
5,2.1552885196460134,0.8997505503647558,2.395428953916468,0.016600931120297185,0.6751988642959901,3.6353781749960365,261,127.82558758640003,8.396184987712395e-24,2SLS_manual_aproximado
6,2.246399938514326,1.0945156133504335,2.052414703923544,0.04012937673833598,0.4459217545528631,4.046878122475789,260,126.82197712609877,1.2126134188079096e-23,2SLS_manual_aproximado
7,2.435304004094685,1.1936423102183418,2.0402292908410877,0.04132749366463807,0.4717624037855128,4.398845604403857,259,125.04648189130958,2.2485681860889602e-23,2SLS_manual_aproximado
8,2.881664788277063,1.26384064992246,2.2800855380414142,0.02260261578156988,0.8026469191546162,4.960682657399509,258,125.03527363704013,2.3566031689147054e-23,2SLS_manual_aproximado
9,2.882238034125366,1.3399402318538325,2.1510198482045246,0.031474633095305266,0.6780363527258118,5.086439715524921,257,124.93288722135031,2.5443452062452835e-23,2SLS_manual_aproximado
10,3.009921753881292,1.4689620483526757,2.0490126053676336,0.04046088233391558,0.5934791843411404,5.426364323421444,256,124.4006113990949,3.156518672275813e-23,2SLS_manual_aproximado
11,2.9209557419099212,1.4865709454754599,1.9648949488755765,0.049426397479519234,0.4755465366027898,5.366364947217052,255,123.38497133857236,4.5780995046324765e-23,2SLS_manual_aproximado
12,2.34415397096397,1.4057179494273924,1.6675848607601844,0.0953981656361436,0.031747944155909646,4.65655999777203,254,122.58963001208176,6.184203102625548e-23,2SLS_manual_aproximado
13,2.010365304548229,1.31248560978475,1.5317236924814228,0.12559063326678113,-0.14867352354768482,4.169404132644143,253,122.10049344864636,7.565918288532424e-23,2SLS_manual_aproximado
14,1.5693446533275794,1.2671423203473076,1.2384912319063277,0.21553397122534812,-0.5151044636437414,3.6537937702989005,252,119.50630899848039,1.8329917066761392e-22,2SLS_manual_aproximado
15,1.6121150952280068,1.32709114268572,1.2147734570554556,0.22445250698872288,-0.5709498344900024,3.795180024946016,251,117.79534379066276,3.34018551505506e-22,2SLS_manual_aproximado
16,1.9478518037705659,1.3512335527782335,1.4415359948438538,0.14943331592163267,-0.27492739054962834,4.17063099809076,250,117.4953005400129,3.841242647982076e-22,2SLS_manual_aproximado
17,2.1120900527751156,1.4288068931718014,1.4782193891061775,0.139349065815773,-0.23829728649249793,4.462477392042729,249,117.28884928772771,4.284891052349094e-22,2SLS_manual_aproximado
18,1.8281994182063852,1.5715223708302948,1.163330189973992,0.244695561302809,-0.7569548818094498,4.41335371822222,248,116.65603643541132,5.493378181763075e-22,2SLS_manual_aproximado
19,1.3040719920781731,1.5778976153197664,0.8264617294664575,0.4085422189595982,-1.2915695851228424,3.8997135692791884,247,116.68872519785498,5.66900634811968e-22,2SLS_manual_aproximado
20,0.5612886774954848,1.6640070460659835,0.3373114788320601,0.7358821073957269,-2.176002913283058,3.2985802682740277,246,114.20914707183123,1.3288595875090784e-21,2SLS_manual_aproximado
21,0.3142253624495666,1.676827559861824,0.18739277071248744,0.8513526903426044,-2.444155973523134,3.0726066984222675,245,114.06106496870169,1.4537857191245034e-21,2SLS_manual_aproximado
22,0.3538224972916695,1.7353073126223406,0.20389615990091364,0.8384346460010722,-2.5007580319720812,3.2084030265554198,244,112.87073674672057,2.2377886954728618e-21,2SLS_manual_aproximado
23,0.7512551034269161,1.6751785602033828,0.44846270199142624,0.6538192984029039,-2.004413628107649,3.506923834961481,243,111.37512980075495,3.810171872054202e-21,2SLS_manual_aproximado
24,0.37180932252531373,1.6796920715457704,0.22135564537323127,0.8248155256432421,-2.3912841351674783,3.134902780218106,242,111.98786109701021,3.2457093930875682e-21,2SLS_manual_aproximado
