h,coef_iv,se_iv,t_iv,pvalor_iv,ci_low,ci_high,nobs,first_stage_f,first_stage_pvalue,metodo
0,1.0914843177777365,0.4525718922746695,2.4117368674661437,0.01587673521613917,0.3470035549859052,1.8359650805695678,266,127.10254376451482,8.554565543425317e-24,2SLS_manual_aproximado
1,2.568492770779713,0.8165119935823473,3.1456889684017533,0.0016569611494169527,1.2253305413367517,3.911655000222674,265,126.27170914080523,1.1695170227042076e-23,2SLS_manual_aproximado
2,2.828775713405099,1.023115397892824,2.7648647642593938,0.00569463991315472,1.1457508838714032,4.511800542938794,264,125.707228758545,1.4660586979699537e-23,2SLS_manual_aproximado
3,2.362107442312595,1.0832270030311753,2.18062090005396,0.029211467963600798,0.5801990223263116,4.144015862298878,263,125.46620047070569,1.6540555902771755e-23,2SLS_manual_aproximado
4,1.5610395744968923,1.1613238150124885,1.3441897551029773,0.17888703369624925,-0.34933810119865116,3.471417250192436,262,124.86518216239278,2.0982924618137784e-23,2SLS_manual_aproximado
5,2.0283390838266997,1.2484178494662972,1.624727718122439,0.10422058854599021,-0.02530827854535911,4.0819864461987585,261,123.02209151976923,3.991842471291133e-23,2SLS_manual_aproximado
6,2.738709295045072,1.3546645534218356,2.021688164887158,0.043208577309211765,0.5102861046661524,4.967132485423992,260,121.87490970959092,6.055341471629095e-23,2SLS_manual_aproximado
7,2.655263820965341,1.4020209620477881,1.8938831107682368,0.05824052674393009,0.34893933839672986,4.9615883035339525,259,120.01924237990669,1.1595952371408265e-22,2SLS_manual_aproximado
8,2.6508840397112676,1.4660410473091758,1.8081922362111176,0.07057658654669334,0.23924651688767318,5.062521562534862,258,120.01373219080308,1.209980595167254e-22,2SLS_manual_aproximado
9,2.0357345198774195,1.57791266176843,1.290143978942339,0.1970006726059601,-0.559931808731648,4.6314008484864875,257,119.80324871882186,1.3506706355189218e-22,2SLS_manual_aproximado
10,1.6617024461183878,1.6865402895284627,0.985272902423802,0.3244900393035125,-1.1126563301559333,4.436061222392709,256,119.10022941163388,1.7721225233073269e-22,2SLS_manual_aproximado
11,0.8208075123852954,1.806707789179271,0.4543111604993753,0.6496048843995201,-2.1512268008146056,3.7928418255851963,255,118.11615451801569,2.5500013802613315e-22,2SLS_manual_aproximado
12,0.11670719693241804,2.1056730686940477,0.055425126847825724,0.9557997782713319,-3.3471250010692906,3.580539394934126,254,117.21355766006826,3.5730799869398616e-22,2SLS_manual_aproximado
13,0.1306074833300659,2.088460548091525,0.06253768281589876,0.9501346541062314,-3.3049101182804925,3.5661250849406247,253,116.7589550911099,4.321029671135723e-22,2SLS_manual_aproximado
14,0.022894445127374263,2.0401403773618134,0.011221995006529885,0.9910463313705925,-3.3331364756328092,3.3789253658875573,252,114.41992757866483,9.72729324831775e-22,2SLS_manual_aproximado
15,-1.6306121141828231,2.072277319205115,-0.7868696429145372,0.43135817989485004,-5.0395083042752375,1.778284075909591,251,112.71471333367987,1.780012668605279e-21,2SLS_manual_aproximado
16,-0.574141567379082,2.233169672564938,-0.25709715407322525,0.7971037744484627,-4.247705678748405,3.0994225439902414,250,112.06400562417753,2.2970771879139208e-21,2SLS_manual_aproximado
17,1.097708786407662,2.492634208867125,0.4403810163973311,0.659661171801931,-3.002674487178759,5.198092059994083,249,111.81026495848867,2.598383303049762e-21,2SLS_manual_aproximado
18,0.8409461265014196,2.3795585761693303,0.35340425527796615,0.7237853961367597,-3.0734277312971288,4.755319984299968,248,110.73558745858624,3.860291097118272e-21,2SLS_manual_aproximado
19,0.6954452996129081,2.4380377574221113,0.2852479611916452,0.7754541782154687,-3.315126811346465,4.706017410572281,247,111.28271723008173,3.3477005082574406e-21,2SLS_manual_aproximado
20,1.2698030843967294,2.67980497559507,0.47384160263929676,0.6356128651045622,-3.1384761004571606,5.678082269250619,246,108.82711154855652,7.870958670017148e-21,2SLS_manual_aproximado
21,0.8585016271066251,2.6760487083090037,0.3208094174224178,0.7483548222542815,-3.543598498061686,5.260601752274936,245,108.92085258763704,7.928581811570716e-21,2SLS_manual_aproximado
22,0.878514811574775,2.6748005181012067,0.32844124473193126,0.7425780622063507,-3.5215320407017097,5.27856166385126,244,108.93240800720483,8.210839380371795e-21,2SLS_manual_aproximado
23,0.9131109761632384,2.608840103932572,0.3500064932254041,0.7263338246139928,-3.3784309948058433,5.20465294713232,243,107.91379951110926,1.1976131774143546e-20,2SLS_manual_aproximado
24,-0.32668576291123186,2.5663742496010826,-0.12729466988768762,0.8987071788033911,-4.548371403505012,3.8949998776825487,242,108.06855446728999,1.1826766670529392e-20,2SLS_manual_aproximado
