h,coef_iv,se_iv,t_iv,pvalor_iv,ci_low,ci_high,nobs,first_stage_f,first_stage_pvalue,metodo
0,0.29535515015604263,0.10969835710531936,2.6924300231085287,0.00709334193954771,0.11490135271779228,0.475808947594293,266,132.4296441720939,1.5302643910281775e-24,2SLS_manual_aproximado
1,0.550191484822128,0.19811700043609906,2.777103850810559,0.005484565201293552,0.22428901910474502,0.8760939505395109,265,131.58018463307465,2.1017039566359504e-24,2SLS_manual_aproximado
2,0.6228222882229149,0.251277762662689,2.478620796456951,0.01318914425602205,0.2094703686427915,1.0361742078030383,264,130.77663432130464,2.844529085982189e-24,2SLS_manual_aproximado
3,0.49967650695021937,0.25790856970724696,1.9374172309101794,0.052694362017084856,0.0754169097817981,0.9239361041186407,263,130.5780588528978,3.1704107033947994e-24,2SLS_manual_aproximado
4,0.3796661052926901,0.2592649209800174,1.4643944265871298,0.14308621006744712,-0.04682468971943854,0.8061569003048188,262,129.70665393235637,4.3854344442083284e-24,2SLS_manual_aproximado
5,0.40027335874953324,0.29049741549769853,1.3778895693917264,0.1682373858475006,-0.07759488974418083,0.8781416072432473,261,128.0772924091558,7.742134577345546e-24,2SLS_manual_aproximado
6,0.3855001280129078,0.33277084853660976,1.1584552243929414,0.24667831393387318,-0.16190791782981528,0.9329081738556309,260,126.6447127234412,1.2840292982091121e-23,2SLS_manual_aproximado
7,0.3209542737173409,0.3580418995745958,0.8964154030538878,0.37003094377521095,-0.26802465108286916,0.909933198517551,259,124.366708970971,2.802991789982561e-23,2SLS_manual_aproximado
8,0.3572044623305235,0.36441506217992303,0.9802132222354755,0.3269808791092461,-0.24225831495544992,0.9566672396164969,258,124.38384419144697,2.909810374417737e-23,2SLS_manual_aproximado
9,0.22554668963700159,0.37764313388643844,0.5972482203392212,0.5503416693500219,-0.3956762656061897,0.8467696448801929,257,124.63850567522134,2.7982389305047425e-23,2SLS_manual_aproximado
10,0.18727629577818194,0.4051652738593571,0.4622219816478897,0.6439221413343309,-0.4792205797204605,0.8537731712768244,256,123.81019530358121,3.8202360694292e-23,2SLS_manual_aproximado
11,0.11727161230763815,0.4437926039017399,0.2642486857072617,0.7915882980908796,-0.612767221110724,0.8473104457260003,255,122.9753679318381,5.2269614088577496e-23,2SLS_manual_aproximado
12,-0.05178751552707801,0.5109607916329129,-0.10135320826002531,0.919270079527202,-0.8923180177632197,0.7887429867090636,254,122.33291437737667,6.720169098304703e-23,2SLS_manual_aproximado
13,-0.13292478281898165,0.5148145843170802,-0.2581993340287962,0.7962530718736173,-0.9797947740205786,0.7139452083826152,253,121.762790804525,8.44001879452353e-23,2SLS_manual_aproximado
14,-0.19662830201275855,0.5307082846604251,-0.3705016629589109,0.7110087377183214,-1.0696434302791578,0.6763868262536408,252,119.17161842241704,2.0441407388126951e-22,2SLS_manual_aproximado
15,-0.2991742931198739,0.5595068026575488,-0.5347107339872439,0.5928498978629309,-1.2195629834915418,0.6212143972517938,251,117.29190754298665,3.9379348141921864e-22,2SLS_manual_aproximado
16,-0.26662015880387085,0.6022614282146479,-0.4426983803267019,0.6579839141377593,-1.2573402082169667,0.7240998906092249,250,116.72462113824433,4.9418697106573715e-22,2SLS_manual_aproximado
17,-0.12414630988935434,0.6677799519797297,-0.18590901017813538,0.8525161162816017,-1.2226443308960098,0.9743517111173011,249,116.50012115836782,5.543872933323393e-22,2SLS_manual_aproximado
18,-0.12048949290996469,0.6909624735922708,-0.1743792137994808,0.8615674490270371,-1.2571227619692502,1.0161437761493208,248,115.45909775519306,8.12408714151919e-22,2SLS_manual_aproximado
19,-0.12028627982944362,0.6678355914338758,-0.18011361085320876,0.8570633774369497,-1.2188758277381693,0.9783032680792821,247,116.3533508554791,6.323749856099519e-22,2SLS_manual_aproximado
20,-0.15081822210663887,0.6855023118245422,-0.22001125234022778,0.8258623913072571,-1.2784695250580107,0.9768330808447331,246,113.7832912606011,1.5280229989011934e-21,2SLS_manual_aproximado
21,-0.16580346990814854,0.7002564311577018,-0.23677536189711715,0.8128310664640981,-1.3177252991625679,0.9861183593462708,245,114.18041928402748,1.3980948263517743e-21,2SLS_manual_aproximado
22,-0.11962433006771733,0.6645106629793757,-0.1800186764970393,0.8571379059966802,-1.2127443706687904,0.9734957105333557,244,114.50770556292377,1.309870286798901e-21,2SLS_manual_aproximado
23,0.03000217510467225,0.6391589602437889,0.04694008372068941,0.9625609810986885,-1.0214143144963606,1.081418664705705,243,113.38346499869253,1.9718651195401958e-21,2SLS_manual_aproximado
24,-0.12110581068442902,0.6280206546776775,-0.19283730524210993,0.8470863864224184,-1.1541997876292085,0.9119881662603505,242,113.59525593173849,1.91883519841277e-21,2SLS_manual_aproximado
