h,nobs,first_stage_f,first_stage_pvalue,coef_instrumento,pvalor_instrumento,r2_first_stage
0,266,132.0949694160739,1.7037059166152745e-24,0.5390738444605544,1.426300526765961e-30,0.6165125556998643
1,265,131.3866232296289,2.2364332189421406e-24,0.5381566807708618,2.037872171099008e-30,0.6162521149448107
2,264,130.85546481920002,2.7734301070831034e-24,0.5367219116831694,2.663073988473323e-30,0.6162070568510953
3,263,130.3466085272875,3.4148631236445395e-24,0.5363331273772326,3.441228809813531e-30,0.615585993835394
4,262,129.82241258491456,4.225447018360874e-24,0.5359221469527862,4.4812927822199744e-30,0.6158415288175754
5,261,127.82558758640003,8.396184987712395e-24,0.5344894789558472,1.225530032875973e-29,0.614626101098633
6,260,126.82197712609877,1.2126134188079096e-23,0.5373728898107619,2.0320807051038834e-29,0.6152827134370591
7,259,125.04648189130958,2.2485681860889602e-23,0.5358624349956902,4.971638781520486e-29,0.6157805084149506
8,258,125.03527363704013,2.3566031689147054e-23,0.5361685870032691,4.999799322823945e-29,0.6158432066907729
9,257,124.93288722135031,2.5443452062452835e-23,0.5361745494636447,5.2645426475922e-29,0.615696745121359
10,256,124.4006113990949,3.156518672275813e-23,0.5354870466852475,6.884235130786995e-29,0.6154927220734607
11,255,123.38497133857236,4.5780995046324765e-23,0.5350576363255447,1.14855452144591e-28,0.6149044472255196
12,254,122.58963001208176,6.184203102625548e-23,0.534701717144023,1.7149051161833212e-28,0.6144580518220562
13,253,122.10049344864636,7.565918288532424e-23,0.5337843701457431,2.1943670037614403e-28,0.6147874695485473
14,252,119.50630899848039,1.8329917066761392e-22,0.5295838930551846,8.11368899610261e-28,0.615728814482615
15,251,117.79534379066276,3.34018551505506e-22,0.5285947848596491,1.922340859933998e-27,0.614999158281841
16,250,117.4953005400129,3.841242647982076e-22,0.5293711689399494,2.236293166778758e-27,0.6150975105431359
17,249,117.28884928772771,4.284891052349094e-22,0.5293204945569991,2.4816166646667893e-27,0.6147841466200044
18,248,116.65603643541132,5.493378181763075e-22,0.5374019540504283,3.414316198379399e-27,0.6183999828164366
19,247,116.68872519785498,5.66900634811968e-22,0.5381518030721066,3.3585021090479804e-27,0.618788200812877
20,246,114.20914707183123,1.3288595875090784e-21,0.53646842602924,1.1726425972705273e-26,0.6157886964797853
21,245,114.06106496870169,1.4537857191245034e-21,0.5364287548340708,1.2635670312799467e-26,0.6157492652232033
22,244,112.87073674672057,2.2377886954728618e-21,0.5329087873263277,2.303108058213779e-26,0.6169080009424455
23,243,111.37512980075495,3.810171872054202e-21,0.5314835236290903,4.8969796549267446e-26,0.616089096965873
24,242,111.98786109701021,3.2457093930875682e-21,0.532390422433353,3.595046103401904e-26,0.6160093002572947
