h,nobs,first_stage_f,first_stage_pvalue,coef_instrumento,pvalor_instrumento,r2_first_stage
0,266,132.4296441720939,1.5302643910281775e-24,0.5361992286098912,1.2050245281823082e-30,0.6173099334596304
1,265,131.58018463307465,2.1017039566359504e-24,0.5349153500381413,1.848547569926679e-30,0.6174167627773359
2,264,130.77663432130464,2.844529085982189e-24,0.5334336988597841,2.7709582594092036e-30,0.6176825903838119
3,263,130.5780588528978,3.1704107033947994e-24,0.5329323063930913,3.0624937120055538e-30,0.6171437339077442
4,262,129.70665393235637,4.3854344442083284e-24,0.5322550447172333,4.7504070463342324e-30,0.6173478815874143
5,261,128.0772924091558,7.742134577345546e-24,0.531413862400464,1.0795585737766382e-29,0.615892728609378
6,260,126.6447127234412,1.2840292982091121e-23,0.5334962215875003,2.2219410978552664e-29,0.6160701697814004
7,259,124.366708970971,2.802991789982561e-23,0.5314624732853538,7.00286549372938e-29,0.6168221293094714
8,258,124.38384419144697,2.909810374417737e-23,0.53179029561407,6.942653094768932e-29,0.61689832937121
9,257,124.63850567522134,2.7982389305047425e-23,0.531964768248268,6.106454996469267e-29,0.6167942757528284
10,256,123.81019530358121,3.8202360694292e-23,0.5309523998265653,9.270004819502238e-29,0.6165314622813534
11,255,122.9753679318381,5.2269614088577496e-23,0.5306268831723893,1.4119088420072683e-28,0.615924368651629
12,254,122.33291437737667,6.720169098304703e-23,0.5303306780415492,1.9517907077953756e-28,0.6154736703481962
13,253,121.762790804525,8.44001879452353e-23,0.5291742659351311,2.6015512833776366e-28,0.6163481611917627
14,252,119.17161842241704,2.0441407388126951e-22,0.5253138080983171,9.604940675027199e-28,0.6170816376612095
15,251,117.29190754298665,3.9379348141921864e-22,0.5238985801273363,2.4777930811275557e-27,0.6165475417486794
16,250,116.72462113824433,4.9418697106573715e-22,0.524218006568053,3.298262602219293e-27,0.6165092544468626
17,249,116.50012115836782,5.543872933323393e-22,0.524143338439961,3.6935667262597016e-27,0.6162209021360767
18,248,115.45909775519306,8.12408714151919e-22,0.5322400516488655,6.243357009575452e-27,0.619620910131724
19,247,116.3533508554791,6.323749856099519e-22,0.5337971734059126,3.977277965698096e-27,0.6211741379649132
20,246,113.7832912606011,1.5280229989011934e-21,0.5311078233547125,1.453572284481321e-26,0.6192344335217321
21,245,114.18041928402748,1.3980948263517743e-21,0.531664457874573,1.189754993183294e-26,0.6194751068823784
22,244,114.50770556292377,1.309870286798901e-21,0.5308206706389663,1.0087350435862732e-26,0.6207942947994651
23,243,113.38346499869253,1.9718651195401958e-21,0.529467723031597,1.7783174255807633e-26,0.6208962384297771
24,242,113.59525593173849,1.91883519841277e-21,0.5295779484687302,1.5981630238289252e-26,0.6205077579640099
