h,nobs,first_stage_f,first_stage_pvalue,coef_instrumento,pvalor_instrumento,r2_first_stage,arquivo,h_ref,instrumento_forte_regra_10
0.0,266.0,132.0949694160739,1.7037059166152745e-24,0.5390738444605544,1.4263005267659612e-30,0.6165125556998643,output_petroleo_lp_modelo5_lpiv_oil_supply_news\resumo_modelo5_primeiro_estagio.csv,0,True
3.0,263.0,130.3466085272875,3.4148631236445395e-24,0.5363331273772326,3.441228809813531e-30,0.615585993835394,output_petroleo_lp_modelo5_lpiv_oil_supply_news\resumo_modelo5_primeiro_estagio.csv,3,True
6.0,260.0,126.82197712609876,1.2126134188079097e-23,0.5373728898107619,2.0320807051038842e-29,0.6152827134370591,output_petroleo_lp_modelo5_lpiv_oil_supply_news\resumo_modelo5_primeiro_estagio.csv,6,True
12.0,254.0,122.58963001208176,6.184203102625548e-23,0.534701717144023,1.714905116183321e-28,0.6144580518220562,output_petroleo_lp_modelo5_lpiv_oil_supply_news\resumo_modelo5_primeiro_estagio.csv,12,True
18.0,248.0,116.65603643541132,5.493378181763075e-22,0.5374019540504283,3.4143161983793986e-27,0.6183999828164366,output_petroleo_lp_modelo5_lpiv_oil_supply_news\resumo_modelo5_primeiro_estagio.csv,18,True
24.0,242.0,111.9878610970102,3.2457093930875682e-21,0.532390422433353,3.595046103401904e-26,0.6160093002572947,output_petroleo_lp_modelo5_lpiv_oil_supply_news\resumo_modelo5_primeiro_estagio.csv,24,True
0.0,266.0,132.0949694160739,1.7037059166152745e-24,0.5390738444605544,1.4263005267659612e-30,0.6165125556998643,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_diesel.csv,0,True
3.0,263.0,130.3466085272875,3.4148631236445395e-24,0.5363331273772326,3.441228809813531e-30,0.615585993835394,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_diesel.csv,3,True
6.0,260.0,126.82197712609876,1.2126134188079097e-23,0.5373728898107619,2.0320807051038836e-29,0.6152827134370591,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_diesel.csv,6,True
12.0,254.0,122.58963001208176,6.184203102625548e-23,0.534701717144023,1.714905116183321e-28,0.6144580518220562,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_diesel.csv,12,True
18.0,248.0,116.65603643541132,5.493378181763075e-22,0.5374019540504283,3.4143161983793986e-27,0.6183999828164366,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_diesel.csv,18,True
24.0,242.0,111.9878610970102,3.2457093930875682e-21,0.532390422433353,3.595046103401904e-26,0.6160093002572947,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_diesel.csv,24,True
0.0,266.0,127.10254376451482,8.554565543425317e-24,0.5355167880472899,1.7641848850470237e-29,0.6184729939292053,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_etanol.csv,0,True
3.0,263.0,125.46620047070569,1.6540555902771758e-23,0.5324280325908495,4.0238555449088243e-29,0.6183051718119539,output_petroleo_lp_modelo5_lpiv_oil_supply_news\B_lpiv_oil_supply_news\primeiro_estagio_petroleo_brl_iv_oil_supply_news_para_etanol.csv,3,True
